theme,indicateur,milieu,territoire,valeur,unite,base_de_calcul,annee,extrait_de_la_source,source_id,attribution
Population,Catholiques,ensemble,Haïti,54.7,%,population,2003,"elle concerne 54,7 % de la population",SRC-021,"IHSI — Institut haïtien de statistique et d'informatique, Recensement général de la population et de l'habitat 2003, page « Résultats RGPH 2003 »"
Population,Baptistes,ensemble,Haïti,15.4,%,population,2003,"avec respectivement 15,4 % et 7,9 %",SRC-021,"IHSI — Institut haïtien de statistique et d'informatique, Recensement général de la population et de l'habitat 2003, page « Résultats RGPH 2003 »"
Population,Pentecôtistes,ensemble,Haïti,7.9,%,population,2003,"avec respectivement 15,4 % et 7,9 %",SRC-021,"IHSI — Institut haïtien de statistique et d'informatique, Recensement général de la population et de l'habitat 2003, page « Résultats RGPH 2003 »"
Population,Sans religion pratiquée,ensemble,Haïti,10.2,%,population,2003,"Près de 10,2 % de la population ne pratiquent aucune religion",SRC-021,"IHSI — Institut haïtien de statistique et d'informatique, Recensement général de la population et de l'habitat 2003, page « Résultats RGPH 2003 »"
Population,Célibataires,ensemble,Haïti,50.8,%,population de 10 ans et plus,2003,"les célibataires représentent 50,8 % de la population âgée de dix (10) ans et plus",SRC-021,"IHSI — Institut haïtien de statistique et d'informatique, Recensement général de la population et de l'habitat 2003, page « Résultats RGPH 2003 »"
Population,Personnes en union,ensemble,Haïti,44.1,%,population de 10 ans et plus,2003,"les personnes en union 44,1 %",SRC-021,"IHSI — Institut haïtien de statistique et d'informatique, Recensement général de la population et de l'habitat 2003, page « Résultats RGPH 2003 »"
Natalité et fécondité,Taux brut de natalité,ensemble,Haïti,28,naissances pour 1 000 habitants,,2003,il est de 28 naissances vivantes pour mille habitants dans l'ensemble du pays,SRC-021,"IHSI — Institut haïtien de statistique et d'informatique, Recensement général de la population et de l'habitat 2003, page « Résultats RGPH 2003 »"
Natalité et fécondité,Taux brut de natalité,urbain,Haïti,25,naissances pour 1 000 habitants,,2003,Ce taux est de 25 ‰ en milieu urbain,SRC-021,"IHSI — Institut haïtien de statistique et d'informatique, Recensement général de la population et de l'habitat 2003, page « Résultats RGPH 2003 »"
Natalité et fécondité,Taux brut de natalité,rural,Haïti,30,naissances pour 1 000 habitants,,2003,et de 30 ‰ en milieu rural,SRC-021,"IHSI — Institut haïtien de statistique et d'informatique, Recensement général de la population et de l'habitat 2003, page « Résultats RGPH 2003 »"
Natalité et fécondité,Enfants par femme (ISF),ensemble,Haïti,4,enfants par femme,,2003,Cet indicateur est de 4 enfants dans l'ensemble du pays et en milieu rural,SRC-021,"IHSI — Institut haïtien de statistique et d'informatique, Recensement général de la population et de l'habitat 2003, page « Résultats RGPH 2003 »"
Natalité et fécondité,Enfants par femme (ISF),rural,Haïti,4,enfants par femme,,2003,Cet indicateur est de 4 enfants dans l'ensemble du pays et en milieu rural,SRC-021,"IHSI — Institut haïtien de statistique et d'informatique, Recensement général de la population et de l'habitat 2003, page « Résultats RGPH 2003 »"
Natalité et fécondité,Enfants par femme (ISF),urbain,Haïti,3,enfants par femme,,2003,Il est de 3 enfants en milieu urbain,SRC-021,"IHSI — Institut haïtien de statistique et d'informatique, Recensement général de la population et de l'habitat 2003, page « Résultats RGPH 2003 »"
Natalité et fécondité,Âge moyen à la maternité,ensemble,Haïti,28,ans,,2003,est à la fois de 28 ans dans l'ensemble du pays et en milieu urbain,SRC-021,"IHSI — Institut haïtien de statistique et d'informatique, Recensement général de la population et de l'habitat 2003, page « Résultats RGPH 2003 »"
Natalité et fécondité,Âge moyen à la maternité,urbain,Haïti,28,ans,,2003,est à la fois de 28 ans dans l'ensemble du pays et en milieu urbain,SRC-021,"IHSI — Institut haïtien de statistique et d'informatique, Recensement général de la population et de l'habitat 2003, page « Résultats RGPH 2003 »"
Natalité et fécondité,Âge moyen à la maternité,rural,Haïti,29,ans,,2003,et de 29 ans en milieu rural,SRC-021,"IHSI — Institut haïtien de statistique et d'informatique, Recensement général de la population et de l'habitat 2003, page « Résultats RGPH 2003 »"
Migration,Nés dans la commune du département de recensement,ensemble,Haïti,90.4,%,population,2003,"(90,4 %) est née dans la commune du département où elle a été recensée",SRC-021,"IHSI — Institut haïtien de statistique et d'informatique, Recensement général de la population et de l'habitat 2003, page « Résultats RGPH 2003 »"
Migration,Immigrants (nés ailleurs),ensemble,Haïti,9.6,%,population,2003,"Les immigrants (9,6 %) résident majoritairement en milieu urbain",SRC-021,"IHSI — Institut haïtien de statistique et d'informatique, Recensement général de la population et de l'habitat 2003, page « Résultats RGPH 2003 »"
Économie,"Taux d'activité, 15 ans et plus",ensemble,Haïti,54.4,%,personnes de 15 ans et plus,2003,"la population active représente 54,4 % des personnes de quinze (15) ans et plus",SRC-021,"IHSI — Institut haïtien de statistique et d'informatique, Recensement général de la population et de l'habitat 2003, page « Résultats RGPH 2003 »"
Économie,"Taux d'activité, 10 ans et plus",ensemble,Haïti,47.7,%,personnes de 10 ans et plus,2003,"Pour la population de dix (10) ans et plus, ce taux est de 47,7 %",SRC-021,"IHSI — Institut haïtien de statistique et d'informatique, Recensement général de la population et de l'habitat 2003, page « Résultats RGPH 2003 »"
Économie,"Taux d'activité des hommes, 15 ans et plus",ensemble,Haïti,65.5,%,hommes de 15 ans et plus,2003,"ces taux sont respectivement de 65,5 % et 56,9 % pour les hommes",SRC-021,"IHSI — Institut haïtien de statistique et d'informatique, Recensement général de la population et de l'habitat 2003, page « Résultats RGPH 2003 »"
Économie,"Taux d'activité des femmes, 15 ans et plus",ensemble,Haïti,46.4,%,femmes de 15 ans et plus,2003,"de 46,4 % et 39,3 % pour les femmes",SRC-021,"IHSI — Institut haïtien de statistique et d'informatique, Recensement général de la population et de l'habitat 2003, page « Résultats RGPH 2003 »"
Économie,"Taux d'activité, 15 ans et plus",urbain,Haïti,50.0,%,personnes de 15 ans et plus,2003,"50,0 % et 43,3% en milieu urbain",SRC-021,"IHSI — Institut haïtien de statistique et d'informatique, Recensement général de la population et de l'habitat 2003, page « Résultats RGPH 2003 »"
Économie,"Taux d'activité, 15 ans et plus",rural,Haïti,57.8,%,personnes de 15 ans et plus,2003,"57,8 % et 50,9 % en milieu rural",SRC-021,"IHSI — Institut haïtien de statistique et d'informatique, Recensement général de la population et de l'habitat 2003, page « Résultats RGPH 2003 »"
Économie,"Actifs occupés dans l'agriculture, l'élevage et la pêche",ensemble,Haïti,49.6,%,actifs occupés,2003,"Moins de cinquante pour cent des actifs occupés (49,6 %)",SRC-021,"IHSI — Institut haïtien de statistique et d'informatique, Recensement général de la population et de l'habitat 2003, page « Résultats RGPH 2003 »"
Économie,Actifs occupés dans le commerce,ensemble,Haïti,25.3,%,actifs occupés,2003,"vient en second rang avec une proportion de 25,3 %",SRC-021,"IHSI — Institut haïtien de statistique et d'informatique, Recensement général de la population et de l'habitat 2003, page « Résultats RGPH 2003 »"
Économie,Travailleurs indépendants,ensemble,Haïti,82.1,%,actifs occupés,2003,"essentiellement des travailleurs indépendants (82,1 %)",SRC-021,"IHSI — Institut haïtien de statistique et d'informatique, Recensement général de la population et de l'habitat 2003, page « Résultats RGPH 2003 »"
Économie,Employés,ensemble,Haïti,12.7,%,actifs occupés,2003,"(12,7 %) et les aides familiaux (2,2 %)",SRC-021,"IHSI — Institut haïtien de statistique et d'informatique, Recensement général de la population et de l'habitat 2003, page « Résultats RGPH 2003 »"
Économie,Aides familiaux,ensemble,Haïti,2.2,%,actifs occupés,2003,"(12,7 %) et les aides familiaux (2,2 %)",SRC-021,"IHSI — Institut haïtien de statistique et d'informatique, Recensement général de la population et de l'habitat 2003, page « Résultats RGPH 2003 »"
Bâtiment,Maisons basses,ensemble,Haïti,72.5,%,bâtiments,2003,"le type de bâtiment le plus courant dans l'ensemble du pays (72,5 %)",SRC-021,"IHSI — Institut haïtien de statistique et d'informatique, Recensement général de la population et de l'habitat 2003, page « Résultats RGPH 2003 »"
Bâtiment,Maisons basses,urbain,Haïti,78.3,%,bâtiments,2003,"en milieu urbain (78,3 %) et en milieu rural (69,2 %)",SRC-021,"IHSI — Institut haïtien de statistique et d'informatique, Recensement général de la population et de l'habitat 2003, page « Résultats RGPH 2003 »"
Bâtiment,Maisons basses,rural,Haïti,69.2,%,bâtiments,2003,"en milieu urbain (78,3 %) et en milieu rural (69,2 %)",SRC-021,"IHSI — Institut haïtien de statistique et d'informatique, Recensement général de la population et de l'habitat 2003, page « Résultats RGPH 2003 »"
Bâtiment,Ajoupas,ensemble,Haïti,17.6,%,bâtiments,2003,"représente 17,6 % dans l'ensemble du pays",SRC-021,"IHSI — Institut haïtien de statistique et d'informatique, Recensement général de la population et de l'habitat 2003, page « Résultats RGPH 2003 »"
Bâtiment,Maisons à étage,ensemble,Haïti,4.8,%,bâtiments,2003,"Les maisons à étage (4,8 %)",SRC-021,"IHSI — Institut haïtien de statistique et d'informatique, Recensement général de la population et de l'habitat 2003, page « Résultats RGPH 2003 »"
Bâtiment,Toiture en tôle,ensemble,Haïti,69.2,%,bâtiments,2003,"est généralement en tôle (69,2 %)",SRC-021,"IHSI — Institut haïtien de statistique et d'informatique, Recensement général de la population et de l'habitat 2003, page « Résultats RGPH 2003 »"
Bâtiment,Toiture en tôle,urbain,Haïti,62.8,%,bâtiments,2003,"en milieu urbain (62,8 %) et en milieu rural (72,7 %)",SRC-021,"IHSI — Institut haïtien de statistique et d'informatique, Recensement général de la population et de l'habitat 2003, page « Résultats RGPH 2003 »"
Bâtiment,Toiture en tôle,rural,Haïti,72.7,%,bâtiments,2003,"en milieu urbain (62,8 %) et en milieu rural (72,7 %)",SRC-021,"IHSI — Institut haïtien de statistique et d'informatique, Recensement général de la population et de l'habitat 2003, page « Résultats RGPH 2003 »"
Bâtiment,Murs en ciment ou bloc,urbain,Haïti,78.7,%,bâtiments,2003,"le matériau «ciment/bloc » (78,7 %)",SRC-021,"IHSI — Institut haïtien de statistique et d'informatique, Recensement général de la population et de l'habitat 2003, page « Résultats RGPH 2003 »"
Bâtiment,Murs en terre,rural,Haïti,33.4,%,bâtiments,2003,"le matériau « terre » (33,4 %)",SRC-021,"IHSI — Institut haïtien de statistique et d'informatique, Recensement général de la population et de l'habitat 2003, page « Résultats RGPH 2003 »"
Bâtiment,Sol en terre battue,rural,Haïti,64.8,%,bâtiments,2003,"en terre battue (64,8 %)",SRC-021,"IHSI — Institut haïtien de statistique et d'informatique, Recensement général de la population et de l'habitat 2003, page « Résultats RGPH 2003 »"
Bâtiment,Sol en ciment,urbain,Haïti,74.2,%,bâtiments,2003,"le ciment est le plus utilisé (74,2 %)",SRC-021,"IHSI — Institut haïtien de statistique et d'informatique, Recensement général de la population et de l'habitat 2003, page « Résultats RGPH 2003 »"
Logement,Logements raccordés à un réseau de distribution d'eau,ensemble,Haïti,8.5,%,logements,2003,"seulement 8,5 % des logements sont connectés à un service de distribution d'eau",SRC-021,"IHSI — Institut haïtien de statistique et d'informatique, Recensement général de la population et de l'habitat 2003, page « Résultats RGPH 2003 »"
Logement,Eau de boisson prise à la source,ensemble,Haïti,31.9,%,ménages,2003,"Un nombre important de ménages (31,9 %) utilise la source",SRC-021,"IHSI — Institut haïtien de statistique et d'informatique, Recensement général de la population et de l'habitat 2003, page « Résultats RGPH 2003 »"
Logement,Eau de boisson achetée au seau (boquite),urbain,Haïti,43.5,%,ménages,2003,"achat par boquite (43,5 %), robinet (22,6 %)",SRC-021,"IHSI — Institut haïtien de statistique et d'informatique, Recensement général de la population et de l'habitat 2003, page « Résultats RGPH 2003 »"
Logement,Eau de boisson au robinet,urbain,Haïti,22.6,%,ménages,2003,"achat par boquite (43,5 %), robinet (22,6 %)",SRC-021,"IHSI — Institut haïtien de statistique et d'informatique, Recensement général de la population et de l'habitat 2003, page « Résultats RGPH 2003 »"
Logement,Eau de boisson prise à la source,rural,Haïti,50.4,%,ménages,2003,"en milieu rural : source (50,4 %)",SRC-021,"IHSI — Institut haïtien de statistique et d'informatique, Recensement général de la population et de l'habitat 2003, page « Résultats RGPH 2003 »"
Logement,Ménages recensés,ensemble,Haïti,1793198,ménages,,2003,"Des 1 793 198 ménages, 1 475 545",SRC-021,"IHSI — Institut haïtien de statistique et d'informatique, Recensement général de la population et de l'habitat 2003, page « Résultats RGPH 2003 »"
Logement,Ménages s'éclairant au moins à la lampe à pétrole,ensemble,Haïti,1475545,ménages,,2003,"Des 1 793 198 ménages, 1 475 545",SRC-021,"IHSI — Institut haïtien de statistique et d'informatique, Recensement général de la population et de l'habitat 2003, page « Résultats RGPH 2003 »"
Logement,Ménages éclairés à l'électricité,urbain,Haïti,406544,ménages,,2003,"En milieu urbain, 406 544 ménages utilisent l'électricité",SRC-021,"IHSI — Institut haïtien de statistique et d'informatique, Recensement général de la population et de l'habitat 2003, page « Résultats RGPH 2003 »"
Logement,Cuisson au charbon de bois,urbain,Haïti,68.5,%,ménages,2003,"c'est le charbon de bois qui est prédominant (68,5 %",SRC-021,"IHSI — Institut haïtien de statistique et d'informatique, Recensement général de la population et de l'habitat 2003, page « Résultats RGPH 2003 »"
Logement,Cuisson au bois ou à la paille,rural,Haïti,90.9,%,ménages,2003,"c'est le bois/paille qui est le plus utilisé (90,9 %",SRC-021,"IHSI — Institut haïtien de statistique et d'informatique, Recensement général de la population et de l'habitat 2003, page « Résultats RGPH 2003 »"
Logement,Logements sans lieux d'aisances,ensemble,Haïti,29.8,%,logements occupés,2003,"Parmi les 29,8 % de locaux qui ne disposent pas de lieux d'aisances",SRC-021,"IHSI — Institut haïtien de statistique et d'informatique, Recensement général de la population et de l'habitat 2003, page « Résultats RGPH 2003 »"
Logement,Latrines individuelles,ensemble,Haïti,37.5,%,logements occupés,2003,"les latrines individuelles (37,5 %)",SRC-021,"IHSI — Institut haïtien de statistique et d'informatique, Recensement général de la population et de l'habitat 2003, page « Résultats RGPH 2003 »"
Logement,Déchets jetés sur un terrain vide,ensemble,Haïti,36.3,%,ménages,2003,"le jetage sur terrain vide (36,3 %)",SRC-021,"IHSI — Institut haïtien de statistique et d'informatique, Recensement général de la population et de l'habitat 2003, page « Résultats RGPH 2003 »"
Logement,Déchets jetés dans une ravine,urbain,Haïti,26.0,%,ménages,2003,"jetage dans une ravine (26,0%)",SRC-021,"IHSI — Institut haïtien de statistique et d'informatique, Recensement général de la population et de l'habitat 2003, page « Résultats RGPH 2003 »"
