pcode_commune,commune,pct_zone_inondable,noeuds_echantillon,source_id,source,limite_connue
HT0131,Croix-Des-Bouquets,28.0,6119,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0822,Dame Marie,11.9,958,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0112,Delmas,8.0,249,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0544,Desdunes,59.7,960,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0541,Dessalines,37.4,4473,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0342,Dondon,9.6,1147,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0512,Ennery,2.1,2026,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0412,Ferrier,99.1,652,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0135,Fonds-Verrettes,0.7,2728,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT1013,Fonds des Negres,2.1,816,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0411,Fort-Liberte,41.7,2276,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0133,Ganthier,20.1,4664,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0511,Gonaives,20.0,5432,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT1032,Grand-Boucan,5.2,422,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0123,Grand-Goave,3.6,2340,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0232,Grand Gosier,3.7,756,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0331,Grande Riviere Du Nord,5.0,1207,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0543,Grande Saline,91.8,486,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0116,Gressier,8.6,849,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0521,Gros Morne,5.9,3807,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0611,Hinche,10.1,5559,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0716,Ile a Vache,53.4,438,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0211,Jacmel,7.8,4196,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0934,Jean Rabel,9.3,4626,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0811,Jeremie,4.9,3979,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0115,Kenscoff,0.0,1939,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT1023,L'Asile,3.5,1487,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0513,L'Estere,50.3,1658,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0533,La Chapelle,4.0,1395,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0912,La Tortue,0.9,1722,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0214,La Vallee,0.0,809,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0345,La Victoire,5.5,292,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0631,Lascahobas,1.1,1399,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0121,Leogane,27.7,3615,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0752,Les Anglais,7.7,1136,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0711,Les Cayes,53.3,2067,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0823,Les Irois,3.6,1192,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0361,Limbe,9.2,1144,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0313,Limonade,57.2,1255,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0612,Maissade,19.1,2818,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0715,Maniche,3.6,1244,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0212,Marigot,3.6,1798,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0552,Marmelade,0.0,1078,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0323,Milot,64.4,671,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT1011,Miragoane,5.6,1614,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0621,Mirebalais,13.3,3102,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0931,Mole Saint Nicolas,0.8,2217,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0443,Mombin Crochu,0.0,1914,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0423,Mont-Organise,4.2,978,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0814,Moron,2.2,1714,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0421,Ouanaminthe,28.5,1940,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT1014,Paillant,0.0,621,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0413,Perches,12.5,391,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0834,Pestel,1.7,2774,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0114,Petion-Ville,3.7,1499,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0122,Petit-Goave,5.8,3609,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT1022,Petit Trou de Nippes,19.4,1465,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0542,Petite Riviere de l'Artibonite,21.1,4843,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT1012,Petite Riviere de Nippes,12.6,857,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0344,Pignon,37.2,1375,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0372,Pilate,5.4,1299,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0322,Plaine du Nord,55.8,963,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0371,Plaisance,5.8,1164,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT1025,Plaisance du Sud,5.4,867,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
