indicateur_id,nom,definition,unite,categorie,methode_calcul,niveau_territorial_min,frequence,source_primaire,statut,dependance,comparabilite,limites_connues,sens_interpretation,regle_agregation,numerateur,denominateur,facteur_ratio,type_indicateur,dimensions,population_reference,nature_periode,regle_confidentialite,niveau_diffusion,responsable_validation,date_prochaine_revision,version
IND-POP-007,Population de 5 à 19 ans,Population résidente estimée d'âge scolarisable.,habitants,Démographie,"Somme des tranches quinquennales du COD-PS 2024 : 5-9, 10-14, 15-19. La borne haute est 19 ans et non 18 : la source est quinquennale, découper la tranche 15-19 reviendrait à inventer une répartition.",Commune,Annuelle,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),Disponible,,"Comparable entre les 140 communes du référentiel CNIGS 2018 : la projection couvre l'ensemble du pays, sans zone aveugle. Comparable dans le temps seulement face à un autre millésime COD-PS construit sur le même découpage.","Toutes ces valeurs dérivent d'une projection (COD-PS 2024), non d'un dénombrement : statut E, jamais O — le dernier recensement date de 2003. La source est quinquennale : aucune borne d'âge intermédiaire (5-18 ans, âge médian) n'en est tirée, faute de pouvoir répartir une tranche sans inventer. La dernière tranche est ouverte (80 ans et plus). Anomalie de source connue : le COD-PS 2024 attribue 3 987 habitants à Gressier (HT0116), hors de proportion avec les communes voisines ; ses effectifs par âge héritent de l'anomalie et ne doivent pas être lus. Enfin, la désagrégation communale est plus fragile que le total : le rapport de masculinité à la naissance est biologiquement stable (101,8 hommes pour 100 femmes au niveau national sur la tranche 0-4), mais il s'étale de 89 à 116 selon la commune. Une structure par âge et sexe se lit au niveau communal avec prudence, et l'écart d'une seule tranche ne veut rien dire à lui seul.",Dénominateur des indicateurs d'offre scolaire. Recouvre en partie les moins de 15 ans : les deux ne s'additionnent pas.,somme,,,,effectif,âge — groupes construits sur les tranches quinquennales,IND-POP-001 — population totale,observation,"Aucune — agrégat territorial, aucune donnée personnelle, aucun seuil de diffusion requis",Ouvert — publié dans l'édition publique,Atmart Data,2027-08-11,v1.2026.07
IND-POP-008,Population féminine,"Population résidente estimée de sexe féminin, tous âges confondus.",habitants,Démographie,"Colonne F_TL du COD-PS 2024, égale à la somme des 17 tranches féminines.",Commune,Annuelle,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),Disponible,,"Comparable entre les 140 communes du référentiel CNIGS 2018 : la projection couvre l'ensemble du pays, sans zone aveugle. Comparable dans le temps seulement face à un autre millésime COD-PS construit sur le même découpage.","Toutes ces valeurs dérivent d'une projection (COD-PS 2024), non d'un dénombrement : statut E, jamais O — le dernier recensement date de 2003. La source est quinquennale : aucune borne d'âge intermédiaire (5-18 ans, âge médian) n'en est tirée, faute de pouvoir répartir une tranche sans inventer. La dernière tranche est ouverte (80 ans et plus). Anomalie de source connue : le COD-PS 2024 attribue 3 987 habitants à Gressier (HT0116), hors de proportion avec les communes voisines ; ses effectifs par âge héritent de l'anomalie et ne doivent pas être lus. Enfin, la désagrégation communale est plus fragile que le total : le rapport de masculinité à la naissance est biologiquement stable (101,8 hommes pour 100 femmes au niveau national sur la tranche 0-4), mais il s'étale de 89 à 116 selon la commune. Une structure par âge et sexe se lit au niveau communal avec prudence, et l'écart d'une seule tranche ne veut rien dire à lui seul.",À lire avec la population masculine ; l'écart entre les deux se lit dans le rapport de masculinité.,somme,,,,effectif,sexe,IND-POP-001 — population totale,observation,"Aucune — agrégat territorial, aucune donnée personnelle, aucun seuil de diffusion requis",Ouvert — publié dans l'édition publique,Atmart Data,2027-08-11,v1.2026.07
IND-POP-009,Population masculine,"Population résidente estimée de sexe masculin, tous âges confondus.",habitants,Démographie,"Colonne M_TL du COD-PS 2024, égale à la somme des 17 tranches masculines.",Commune,Annuelle,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),Disponible,,"Comparable entre les 140 communes du référentiel CNIGS 2018 : la projection couvre l'ensemble du pays, sans zone aveugle. Comparable dans le temps seulement face à un autre millésime COD-PS construit sur le même découpage.","Toutes ces valeurs dérivent d'une projection (COD-PS 2024), non d'un dénombrement : statut E, jamais O — le dernier recensement date de 2003. La source est quinquennale : aucune borne d'âge intermédiaire (5-18 ans, âge médian) n'en est tirée, faute de pouvoir répartir une tranche sans inventer. La dernière tranche est ouverte (80 ans et plus). Anomalie de source connue : le COD-PS 2024 attribue 3 987 habitants à Gressier (HT0116), hors de proportion avec les communes voisines ; ses effectifs par âge héritent de l'anomalie et ne doivent pas être lus. Enfin, la désagrégation communale est plus fragile que le total : le rapport de masculinité à la naissance est biologiquement stable (101,8 hommes pour 100 femmes au niveau national sur la tranche 0-4), mais il s'étale de 89 à 116 selon la commune. Une structure par âge et sexe se lit au niveau communal avec prudence, et l'écart d'une seule tranche ne veut rien dire à lui seul.",À lire avec la population féminine ; l'écart entre les deux se lit dans le rapport de masculinité.,somme,,,,effectif,sexe,IND-POP-001 — population totale,observation,"Aucune — agrégat territorial, aucune donnée personnelle, aucun seuil de diffusion requis",Ouvert — publié dans l'édition publique,Atmart Data,2027-08-11,v1.2026.07
IND-POP-010,Part des moins de 15 ans,Part des moins de 15 ans dans la population totale.,%,Démographie,IND-POP-003 ÷ IND-POP-001 × 100.,Commune,Annuelle,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),Disponible,,"Comparable entre les 140 communes du référentiel CNIGS 2018 : la projection couvre l'ensemble du pays, sans zone aveugle. Comparable dans le temps seulement face à un autre millésime COD-PS construit sur le même découpage.","Toutes ces valeurs dérivent d'une projection (COD-PS 2024), non d'un dénombrement : statut E, jamais O — le dernier recensement date de 2003. La source est quinquennale : aucune borne d'âge intermédiaire (5-18 ans, âge médian) n'en est tirée, faute de pouvoir répartir une tranche sans inventer. La dernière tranche est ouverte (80 ans et plus). Anomalie de source connue : le COD-PS 2024 attribue 3 987 habitants à Gressier (HT0116), hors de proportion avec les communes voisines ; ses effectifs par âge héritent de l'anomalie et ne doivent pas être lus. Enfin, la désagrégation communale est plus fragile que le total : le rapport de masculinité à la naissance est biologiquement stable (101,8 hommes pour 100 femmes au niveau national sur la tranche 0-4), mais il s'étale de 89 à 116 selon la commune. Une structure par âge et sexe se lit au niveau communal avec prudence, et l'écart d'une seule tranche ne veut rien dire à lui seul.","Élevé = population jeune. Se recalcule sur les totaux à chaque agrégation, jamais en moyennant les parts communales.",ratio_recalcule,IND-POP-003,IND-POP-001,100,ratio,âge — groupes construits sur les tranches quinquennales,IND-POP-001 — population totale,observation,"Aucune — agrégat territorial, aucune donnée personnelle, aucun seuil de diffusion requis",Ouvert — publié dans l'édition publique,Atmart Data,2027-08-11,v1.2026.07
IND-POP-011,Part des 65 ans et plus,Part des 65 ans et plus dans la population totale.,%,Démographie,IND-POP-005 ÷ IND-POP-001 × 100.,Commune,Annuelle,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),Disponible,,"Comparable entre les 140 communes du référentiel CNIGS 2018 : la projection couvre l'ensemble du pays, sans zone aveugle. Comparable dans le temps seulement face à un autre millésime COD-PS construit sur le même découpage.","Toutes ces valeurs dérivent d'une projection (COD-PS 2024), non d'un dénombrement : statut E, jamais O — le dernier recensement date de 2003. La source est quinquennale : aucune borne d'âge intermédiaire (5-18 ans, âge médian) n'en est tirée, faute de pouvoir répartir une tranche sans inventer. La dernière tranche est ouverte (80 ans et plus). Anomalie de source connue : le COD-PS 2024 attribue 3 987 habitants à Gressier (HT0116), hors de proportion avec les communes voisines ; ses effectifs par âge héritent de l'anomalie et ne doivent pas être lus. Enfin, la désagrégation communale est plus fragile que le total : le rapport de masculinité à la naissance est biologiquement stable (101,8 hommes pour 100 femmes au niveau national sur la tranche 0-4), mais il s'étale de 89 à 116 selon la commune. Une structure par âge et sexe se lit au niveau communal avec prudence, et l'écart d'une seule tranche ne veut rien dire à lui seul.",Élevé = population plus âgée : besoins de santé et de prise en charge accrus.,ratio_recalcule,IND-POP-005,IND-POP-001,100,ratio,âge — groupes construits sur les tranches quinquennales,IND-POP-001 — population totale,observation,"Aucune — agrégat territorial, aucune donnée personnelle, aucun seuil de diffusion requis",Ouvert — publié dans l'édition publique,Atmart Data,2027-08-11,v1.2026.07
IND-POP-012,Ratio de dépendance démographique,Nombre de personnes hors de la tranche d'âge d'activité pour 100 personnes de 15 à 64 ans.,dépendants / 100 personnes de 15-64 ans,Démographie,IND-POP-006 ÷ IND-POP-004 × 100.,Commune,Annuelle,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),Disponible,,"Comparable entre les 140 communes du référentiel CNIGS 2018 : la projection couvre l'ensemble du pays, sans zone aveugle. Comparable dans le temps seulement face à un autre millésime COD-PS construit sur le même découpage.","Toutes ces valeurs dérivent d'une projection (COD-PS 2024), non d'un dénombrement : statut E, jamais O — le dernier recensement date de 2003. La source est quinquennale : aucune borne d'âge intermédiaire (5-18 ans, âge médian) n'en est tirée, faute de pouvoir répartir une tranche sans inventer. La dernière tranche est ouverte (80 ans et plus). Anomalie de source connue : le COD-PS 2024 attribue 3 987 habitants à Gressier (HT0116), hors de proportion avec les communes voisines ; ses effectifs par âge héritent de l'anomalie et ne doivent pas être lus. Enfin, la désagrégation communale est plus fragile que le total : le rapport de masculinité à la naissance est biologiquement stable (101,8 hommes pour 100 femmes au niveau national sur la tranche 0-4), mais il s'étale de 89 à 116 selon la commune. Une structure par âge et sexe se lit au niveau communal avec prudence, et l'écart d'une seule tranche ne veut rien dire à lui seul.",Élevé = charge démographique forte sur la tranche d'âge active. Ce n'est pas une charge économique mesurée : c'est un rapport entre des âges.,ratio_recalcule,IND-POP-006,IND-POP-004,100,ratio,âge — groupes construits sur les tranches quinquennales,IND-POP-001 — population totale,observation,"Aucune — agrégat territorial, aucune donnée personnelle, aucun seuil de diffusion requis",Ouvert — publié dans l'édition publique,Atmart Data,2027-08-11,v1.2026.07
IND-POP-013,Rapport de masculinité,Nombre d'hommes pour 100 femmes.,hommes / 100 femmes,Démographie,IND-POP-009 ÷ IND-POP-008 × 100.,Commune,Annuelle,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),Disponible,,"Comparable entre les 140 communes du référentiel CNIGS 2018 : la projection couvre l'ensemble du pays, sans zone aveugle. Comparable dans le temps seulement face à un autre millésime COD-PS construit sur le même découpage.","Toutes ces valeurs dérivent d'une projection (COD-PS 2024), non d'un dénombrement : statut E, jamais O — le dernier recensement date de 2003. La source est quinquennale : aucune borne d'âge intermédiaire (5-18 ans, âge médian) n'en est tirée, faute de pouvoir répartir une tranche sans inventer. La dernière tranche est ouverte (80 ans et plus). Anomalie de source connue : le COD-PS 2024 attribue 3 987 habitants à Gressier (HT0116), hors de proportion avec les communes voisines ; ses effectifs par âge héritent de l'anomalie et ne doivent pas être lus. Enfin, la désagrégation communale est plus fragile que le total : le rapport de masculinité à la naissance est biologiquement stable (101,8 hommes pour 100 femmes au niveau national sur la tranche 0-4), mais il s'étale de 89 à 116 selon la commune. Une structure par âge et sexe se lit au niveau communal avec prudence, et l'écart d'une seule tranche ne veut rien dire à lui seul.",Proche de 95-100 dans une population sans mouvement marqué. Un écart net signale une migration sélective — ou une limite de la projection.,ratio_recalcule,IND-POP-009,IND-POP-008,100,ratio,sexe,IND-POP-001 — population totale,observation,"Aucune — agrégat territorial, aucune donnée personnelle, aucun seuil de diffusion requis",Ouvert — publié dans l'édition publique,Atmart Data,2027-08-11,v1.2026.07
IND-SAN-001,Établissements de santé recensés,Nombre d'établissements de santé en fonctionnement recensés.,nombre,Santé,"Comptage dans le référentiel organisations, catégorie Santé.",Section communale,Irrégulière,OCHA Haïti — Location of health facilities (2023),Disponible,,NON comparable entre communes hors zone couverte : la source ne couvre que 14 communes sur 140.,"COUVERTURE PARTIELLE — 14 communes (Artibonite, Centre, Nord, Ouest). Une commune absente n'a pas zéro établissement : elle n'est pas couverte, d'où le statut N. Recensement de 2023.","Plus élevé = offre plus dense, à rapporter à la population.",somme,,,,effectif,aucune — une valeur par territoire,IND-POP-001 — population totale,relevé,"Aucune — agrégat territorial, aucune donnée personnelle, aucun seuil de diffusion requis",Ouvert — publié dans l'édition publique,Atmart Data,2027-07-31,v1.2026.07
IND-SAN-002,Part d'établissements de santé publics,Part des établissements de santé de statut public.,%,Santé,Établissements de statut « Public » ÷ total recensé × 100.,Commune,Irrégulière,OCHA Haïti,Disponible,,Comparable entre communes du même millésime.,Le statut « Mixte » est compté hors public.,"Neutre : décrit la structure de l'offre, pas sa qualité.",ratio_recalcule,IND-SAN-004,IND-SAN-001,100,ratio,statut public / privé,IND-POP-001 — population totale,relevé,"Aucune — agrégat territorial, aucune donnée personnelle, aucun seuil de diffusion requis",Ouvert — publié dans l'édition publique,Atmart Data,2027-08-12,v1.2026.07
IND-SAN-003,Complétude du géocodage sanitaire,Part des établissements de santé dont la source fournit des coordonnées.,%,Qualité,Établissements géocodés ÷ total recensé × 100.,Commune,Irrégulière,OCHA Haïti,Disponible,,Comparable entre communes.,"Mesure la qualité de la SOURCE, pas celle du système de santé.",Une valeur basse signale une commune où toute analyse spatiale sanitaire sera fragile.,ratio_recalcule,IND-SAN-005,IND-SAN-001,100,score composite,géocodage oui / non,IND-POP-001 — population totale,relevé,"Aucune — agrégat territorial, aucune donnée personnelle, aucun seuil de diffusion requis",Ouvert — publié dans l'édition publique,Atmart Data,2027-08-12,v1.2026.07
IND-SAN-004,Établissements de santé publics,Nombre d'établissements de santé de statut public.,nombre,Santé,Comptage des établissements dont le statut source est « Public ».,Commune,Irrégulière,OCHA Haïti — établissements de santé (2023),Disponible,,Mêmes limites de couverture que les établissements recensés.,Le statut « Mixte » n'est pas compté comme public.,Numérateur de la part d'établissements publics ; publié séparément pour que ce taux soit recalculable à tout niveau.,somme,,,,effectif,statut public / privé,IND-POP-001 — population totale,relevé,"Aucune — agrégat territorial, aucune donnée personnelle, aucun seuil de diffusion requis",Ouvert — publié dans l'édition publique,Atmart Data,2027-08-12,v1.2026.07
IND-SAN-005,Établissements de santé géocodés,Nombre d'établissements de santé dont la source fournit des coordonnées.,nombre,Qualité,Comptage des établissements avec latitude et longitude renseignées.,Commune,Irrégulière,OCHA Haïti — établissements de santé (2023),Disponible,,Mêmes limites de couverture que les établissements recensés.,"Mesure la qualité de la source, pas celle du système de santé.",Numérateur de la complétude du géocodage.,somme,,,,score composite,géocodage oui / non,IND-POP-001 — population totale,relevé,"Aucune — agrégat territorial, aucune donnée personnelle, aucun seuil de diffusion requis",Ouvert — publié dans l'édition publique,Atmart Data,2027-08-12,v1.2026.07
IND-SAN-010,Établissements de santé pour 10 000 habitants,Nombre d'établissements de santé recensés rapporté à la population de la commune.,établissements / 10 000 hab.,Santé,IND-SAN-001 ÷ IND-POP-001 × 10 000.,Commune,Annuelle,OCHA Haïti + IHSI (population),Disponible,,"Comparable entre les 14 communes couvertes par la source OCHA 2023, et entre elles seulement.","Le numérateur ne couvre que 14 communes sur 140 : le ratio décrit les établissements recensés, pas l'offre de soins. Le dénominateur est une projection (COD-PS 2024, statut E), et les millésimes diffèrent — 2023 pour les établissements, 2024 pour la population. Un dispensaire et un hôpital comptent chacun pour un : l'indicateur ne mesure ni la capacité, ni le plateau technique, ni le personnel. L'écart observé entre les 14 communes couvertes va de 0,61 à 7,12 : un tel rapport traduit d'abord l'inégale exhaustivité du recensement, pas l'offre réelle.","Élevé = beaucoup d'établissements recensés au regard de la population. À lire avec le temps d'accès, qu'un ratio communal ne capte pas.",ratio_recalcule,IND-SAN-001,IND-POP-001,10000,ratio,aucune — une valeur par territoire,IND-POP-001 — population totale,relevé,"Aucune — agrégat territorial, aucune donnée personnelle, aucun seuil de diffusion requis",Ouvert — publié dans l'édition publique,Atmart Data,2027-08-13,v1.2026.08
