indicateur_id,nom,definition,unite,categorie,methode_calcul,niveau_territorial_min,frequence,source_primaire,statut,dependance,comparabilite,limites_connues,sens_interpretation,regle_agregation,numerateur,denominateur,facteur_ratio,version
IND-SAN-005,Établissements de santé géocodés,Nombre d'établissements de santé dont la source fournit des coordonnées.,nombre,Qualité,Comptage des établissements avec latitude et longitude renseignées.,Commune,Irrégulière,OCHA Haïti — établissements de santé (2023),Disponible,,Mêmes limites de couverture que les établissements recensés.,"Mesure la qualité de la source, pas celle du système de santé.",Numérateur de la complétude du géocodage.,somme,,,,v1.2026.07
IND-SAN-010,Établissements de santé pour 10 000 habitants,Nombre d'établissements de santé rapporté à la population.,établissements / 10 000 hab.,Santé,IND-SAN-001 ÷ population × 10 000.,Commune,Annuelle,OCHA Haïti + IHSI (population),"Définition prête, donnée absente",Population communale — estimations IHSI 2024 à reconstituer (SRC-003).,Sera comparable entre communes une fois la population intégrée.,Le dénominateur détermine tout : une population estimée produit un indicateur estimé (statut E).,Élevé = offre dense au regard de la population.,non_agregeable,,,,v1.2026.07
IND-EDU-001,Écoles recensées,Nombre d'établissements scolaires recensés.,nombre,Éducation,"Comptage dans le référentiel organisations, catégorie Éducation.",Commune,Irrégulière,OCHA Haïti — Cartographie des institutions scolaires (2022),Disponible,,"NON comparable entre départements : la source ne couvre que le Sud, l'Ouest, les Nippes et la Grande'Anse.","COUVERTURE PARTIELLE — 4 départements sur 10, 49 communes sur 140. Une valeur nulle signifie « non recensé », jamais « aucune école ».",À lire uniquement à l'intérieur de la zone couverte.,somme,,,,v1.2026.07
IND-EDU-002,Part d'écoles publiques,Part des écoles de statut public parmi les écoles recensées.,%,Éducation,"Écoles « Public » ÷ total recensé × 100, après harmonisation des libellés (PUBLIQUE / Public → Public).",Commune,Irrégulière,OCHA Haïti (2022),Disponible,,Uniquement dans la zone couverte.,Hérite de la couverture partielle de IND-EDU-001.,Une part faible traduit le poids du secteur non public.,ratio_recalcule,IND-EDU-003,IND-EDU-001,100,v1.2026.07
IND-EDU-003,Écoles publiques,Nombre d'établissements scolaires de statut public.,nombre,Éducation,Comptage après harmonisation des libellés de statut.,Commune,Irrégulière,OCHA Haïti — institutions scolaires (2022),Disponible,,Mêmes limites de couverture que les écoles recensées.,Hérite de la couverture partielle du recensement scolaire.,Numérateur de la part d'écoles publiques.,somme,,,,v1.2026.07
IND-EDU-010,Écoles pour 10 000 enfants,Nombre d'écoles rapporté à la population d'âge scolaire.,écoles / 10 000 enfants,Éducation,IND-EDU-001 ÷ population 5-18 ans × 10 000.,Commune,Annuelle,MENFP/OCHA + IHSI,"Définition prête, donnée absente",Population par âge — IHSI ; registre scolaire national — MENFP/SIGEEE.,Non comparable tant que le registre scolaire reste partiel.,Cumule la couverture partielle des écoles et l'absence de population par âge.,Élevé = offre scolaire dense.,non_agregeable,,,,v1.2026.07
IND-MAR-001,Marchés suivis pour les prix,Nombre de marchés inclus dans le dispositif de suivi des prix.,nombre,Marchés,"Comptage dans le référentiel organisations, catégorie Marché.",Section communale,Continue (PAM),PAM — Haiti Food Prices,Disponible,,Comparable dans le temps si le dispositif de suivi ne change pas.,"Ne recense pas tous les marchés du pays, seulement ceux suivis.","Mesure la couverture du suivi, pas l'activité commerciale.",somme,,,,v1.2026.07
IND-QUA-001,Score de complétude administrative,Part des dimensions du backbone documentées pour la commune.,%,Qualité,"Cinq dimensions testées : superficie connue, localités recensées, au moins un établissement de santé recensé, au moins une école recensée, au moins un marché suivi. Score = dimensions renseignées ÷ 5 × 100.",Commune,À chaque version du backbone,Atmart — calcul sur le backbone,Disponible,,Comparable entre communes d'une même version du backbone.,"Mesure ce que NOUS savons de la commune, pas la réalité de la commune. Un score faible désigne un angle mort documentaire.","Élevé = commune bien documentée. Bas = toute analyse y sera fragile, et c'est une information en soi.",moyenne_simple,,,,v1.2026.07
IND-BUD-001,Dépense publique par habitant,Dépense publique exécutée rapportée à la population.,HTG / habitant,Finances publiques,Dépense exécutée de l'exercice ÷ population. L'exercice fiscal (1er octobre – 30 septembre) est fourni par le référentiel temps : ne jamais rapporter à une année civile.,Département,Annuelle (exercice fiscal),MEF + IHSI,À construire,Budget ouvert Haïti (SRC à créer) ; population IHSI.,Exige de corriger de l'inflation pour comparer deux exercices.,Une dépense votée n'est pas une dépense exécutée.,À interpréter avec la structure de la dépense.,non_agregeable,,,,v1.2026.07
IND-ACC-001,Temps d'accès au centre de santé le plus proche,Temps de trajet médian depuis les localités habitées jusqu'à l'établissement de santé le plus proche.,minutes,Accessibilité,"Calcul d'isochrones sur le réseau routier depuis chaque localité, puis médiane pondérée par la population.",Section communale,À chaque mise à jour du réseau,MTPTC / OSM (réseau) + OCHA (établissements) + population,À construire,Réseau routier exploitable ; population par localité ; géocodage complet des établissements (aujourd'hui 66 %).,Comparable si le réseau et la méthode ne changent pas.,Le réseau OSM est sous licence ODbL : incompatible avec une licence Atmart propriétaire sans partage à l'identique.,"Bas = service accessible. C'est l'indicateur le plus difficile à reproduire, donc le plus différenciant.",non_agregeable,,,,v1.2026.07
IND-PRX-001,Volatilité des prix par marché,Dispersion du prix réel d'un produit sur un marché donné.,coefficient de variation (%),Marchés,"Écart-type ÷ moyenne du prix réel mensuel sur 12 mois glissants, après correction de l'inflation.",Marché,Mensuelle,CNSA / PAM / FEWS NET + IPC (BRH),À construire,Séries de prix harmonisées ; IPC mensuel pour le prix réel ; unités locales à normaliser.,Comparable entre marchés si les unités sont harmonisées.,"Les unités de mesure locales (marmite, gode) varient d'un marché à l'autre : sans harmonisation, l'indicateur est faux.","Élevé = marché instable, signal d'alerte alimentaire.",non_agregeable,,,,v1.2026.07
