atmart_geo_id,pcode_commune,nom_commune,profession,effectif,statut_valeur,source_id,date_extraction,limite_connue
HTC-0231,HT0231,Belle-Anse,Notaire,1,E,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0232,HT0232,Grand Gosier,Arpenteur,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0232,HT0232,Grand Gosier,Notaire,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0233,HT0233,Thiotte,Arpenteur,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0233,HT0233,Thiotte,Notaire,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0234,HT0234,Anse-à-Pître,Arpenteur,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0234,HT0234,Anse-à-Pître,Notaire,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0311,HT0311,Cap-Haïtien,Arpenteur,7,E,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0311,HT0311,Cap-Haïtien,Notaire,12,E,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0312,HT0312,Quartier Morin,Arpenteur,1,E,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0312,HT0312,Quartier Morin,Notaire,1,E,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0313,HT0313,Limonade,Arpenteur,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0313,HT0313,Limonade,Notaire,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0321,HT0321,Acul du Nord,Arpenteur,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0321,HT0321,Acul du Nord,Notaire,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0322,HT0322,Plaine du Nord,Arpenteur,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0322,HT0322,Plaine du Nord,Notaire,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0323,HT0323,Milot,Arpenteur,1,E,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0323,HT0323,Milot,Notaire,2,E,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0331,HT0331,Grande Rivière Du Nord,Arpenteur,1,E,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0331,HT0331,Grande Rivière Du Nord,Notaire,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0332,HT0332,Bahon,Arpenteur,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0332,HT0332,Bahon,Notaire,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0341,HT0341,Saint-Raphaël,Arpenteur,8,E,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0341,HT0341,Saint-Raphaël,Notaire,1,E,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0342,HT0342,Dondon,Arpenteur,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0342,HT0342,Dondon,Notaire,1,E,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0343,HT0343,Ranquitte,Arpenteur,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0343,HT0343,Ranquitte,Notaire,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0344,HT0344,Pignon,Arpenteur,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0344,HT0344,Pignon,Notaire,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0345,HT0345,La Victoire,Arpenteur,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0345,HT0345,La Victoire,Notaire,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0351,HT0351,Borgne,Arpenteur,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0351,HT0351,Borgne,Notaire,1,E,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0352,HT0352,Port-Margot,Arpenteur,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0352,HT0352,Port-Margot,Notaire,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0361,HT0361,Limbé,Arpenteur,2,E,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0361,HT0361,Limbé,Notaire,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0362,HT0362,Bas Limbé,Arpenteur,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0362,HT0362,Bas Limbé,Notaire,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0371,HT0371,Plaisance,Arpenteur,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0371,HT0371,Plaisance,Notaire,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0372,HT0372,Pilate,Arpenteur,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0372,HT0372,Pilate,Notaire,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0411,HT0411,Fort-Liberté,Arpenteur,1,E,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0411,HT0411,Fort-Liberté,Notaire,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0412,HT0412,Ferrier,Arpenteur,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0412,HT0412,Ferrier,Notaire,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0413,HT0413,Perches,Arpenteur,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0413,HT0413,Perches,Notaire,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0421,HT0421,Ouanaminthe,Arpenteur,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0421,HT0421,Ouanaminthe,Notaire,1,E,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0422,HT0422,Capotille,Arpenteur,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0422,HT0422,Capotille,Notaire,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0423,HT0423,Mont-Organisé,Arpenteur,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0423,HT0423,Mont-Organisé,Notaire,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0431,HT0431,Trou du Nord,Arpenteur,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0431,HT0431,Trou du Nord,Notaire,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0432,HT0432,Sainte Suzanne,Arpenteur,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0432,HT0432,Sainte Suzanne,Notaire,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0433,HT0433,Terrier Rouge,Arpenteur,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0433,HT0433,Terrier Rouge,Notaire,1,E,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0434,HT0434,Caracol,Arpenteur,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0434,HT0434,Caracol,Notaire,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0441,HT0441,Vallières,Arpenteur,2,E,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0441,HT0441,Vallières,Notaire,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0442,HT0442,Carice,Arpenteur,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0442,HT0442,Carice,Notaire,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0443,HT0443,Mombin Crochu,Arpenteur,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0443,HT0443,Mombin Crochu,Notaire,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0511,HT0511,Gonaïves,Arpenteur,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0511,HT0511,Gonaïves,Notaire,8,E,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0512,HT0512,Ennery,Arpenteur,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0512,HT0512,Ennery,Notaire,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0513,HT0513,L'Estère,Arpenteur,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
