pcode_commune,atmart_geo_id,nom_commune,caisse,sigle,numero_agrement,adresse_siege,nombre_comptoirs,localisation_comptoirs,federation,source_id,source,millesime,limite_connue,date_extraction
HT0121,HTC-0121,Léogâne,Caisse Léogânaisse d’Epargne et de Financement,CLEF,06-cp-08-050,"132, Rue de la Rédemption, Léogâne",1,Siège,LE LEVIER,SRC-053,BRH — liste des caisses populaires agréées,mars 2025,"La commune est celle du SIÈGE, déduite de la dernière partie de l'adresse. Les comptoirs desservent d'autres communes : leur libellé est publié tel quel, sans être rattaché — il nomme souvent des localités, pas des communes. Ni téléphone ni courriel ne sont repris : un atlas territorial n'en a pas besoin.",2026-08-21
HT0231,HTC-0231,Belle-Anse,Coopérative pour le Développement de Belle - Anse,CODEB,E-30CEC/10-2017-7 _,"2, angle des Rues Moison et Toussaint Louverture, Belle-Anse",1,Siège,LE LEVIER,SRC-053,BRH — liste des caisses populaires agréées,mars 2025,"La commune est celle du SIÈGE, déduite de la dernière partie de l'adresse. Les comptoirs desservent d'autres communes : leur libellé est publié tel quel, sans être rattaché — il nomme souvent des localités, pas des communes. Ni téléphone ni courriel ne sont repris : un atlas territorial n'en a pas besoin.",2026-08-21
HT0621,HTC-0621,Mirebalais,Coopérative d’Epargne et de Crédit de Mirebalais,CODECREM,50-cp-05-003,"151, Rue Louverture, Mirebalais",1,Siège,NON-FÉDÉRÉE,SRC-053,BRH — liste des caisses populaires agréées,mars 2025,"La commune est celle du SIÈGE, déduite de la dernière partie de l'adresse. Les comptoirs desservent d'autres communes : leur libellé est publié tel quel, sans être rattaché — il nomme souvent des localités, pas des communes. Ni téléphone ni courriel ne sont repris : un atlas territorial n'en a pas besoin.",2026-08-21
HT0632,HTC-0632,Belladère,Coopérative pour le Développement Economique et Social,COOPDES,50-cp-05-002,"10, Rue St-Charles, Belladère",2,"Siège/ Croix-Fer, Belladère",NON-FÉDÉRÉE,SRC-053,BRH — liste des caisses populaires agréées,mars 2025,"La commune est celle du SIÈGE, déduite de la dernière partie de l'adresse. Les comptoirs desservent d'autres communes : leur libellé est publié tel quel, sans être rattaché — il nomme souvent des localités, pas des communes. Ni téléphone ni courriel ne sont repris : un atlas territorial n'en a pas besoin.",2026-08-21
HT0631,HTC-0631,Lascahobas,Coopérative d’Epargne et de Crédit de Lascahobas,COOPECLAS,50-cp-05-006,"Derrière Lycée, Route petitFonds, Lascahobas",4,Lascahobas/ Thomonde/ Hinche/ Maissade,LE LEVIER,SRC-053,BRH — liste des caisses populaires agréées,mars 2025,"La commune est celle du SIÈGE, déduite de la dernière partie de l'adresse. Les comptoirs desservent d'autres communes : leur libellé est publié tel quel, sans être rattaché — il nomme souvent des localités, pas des communes. Ni téléphone ni courriel ne sont repris : un atlas territorial n'en a pas besoin.",2026-08-21
HT0542,HTC-0542,Petite Rivière de l'Artibonite,Coopérative d’Epargne et de crédit de Petite- Rivière de l’Artibonite,COOPECPRA,03-cp-08-218,"Rues Pétion et Louverture, Petite-Rivière de l’Artibonite",2,Siège/ Savane-à-Roches,LE LEVIER,SRC-053,BRH — liste des caisses populaires agréées,mars 2025,"La commune est celle du SIÈGE, déduite de la dernière partie de l'adresse. Les comptoirs desservent d'autres communes : leur libellé est publié tel quel, sans être rattaché — il nomme souvent des localités, pas des communes. Ni téléphone ni courriel ne sont repris : un atlas territorial n'en a pas besoin.",2026-08-21
HT0921,HTC-0921,Saint-Louis du Nord,Coopérative d'Epargne et de Crédit de St-Louis du Nord,COOPECS,00-cp-05-005,"Rue Sténio Vincent, St-Louis du Nord",2,"Siège/ Rue Bazin, Anse-à-Foleur",LE SOCIÉTAIRE,SRC-053,BRH — liste des caisses populaires agréées,mars 2025,"La commune est celle du SIÈGE, déduite de la dernière partie de l'adresse. Les comptoirs desservent d'autres communes : leur libellé est publié tel quel, sans être rattaché — il nomme souvent des localités, pas des communes. Ni téléphone ni courriel ne sont repris : un atlas territorial n'en a pas besoin.",2026-08-21
HT0211,HTC-0211,Jacmel,Coopérative des Employés du Sud-Est,COOPESE,E-20-CEC/01-2016- 07,"11, Rue D’Estaing, Bloc Raquet, Jacmel",1,Siège,LE SOCIÉTAIRE,SRC-053,BRH — liste des caisses populaires agréées,mars 2025,"La commune est celle du SIÈGE, déduite de la dernière partie de l'adresse. Les comptoirs desservent d'autres communes : leur libellé est publié tel quel, sans être rattaché — il nomme souvent des localités, pas des communes. Ni téléphone ni courriel ne sont repris : un atlas territorial n'en a pas besoin.",2026-08-21
HT0118,HTC-0118,Tabarre,Coopérative de Solidarité pour le Développement,COSODEV,10-cp-05-016,"1, Carrefour Fleuriot, Tabarre",3,Siège/ Croix des Bouquets/Fleuriot,LE LEVIER,SRC-053,BRH — liste des caisses populaires agréées,mars 2025,"La commune est celle du SIÈGE, déduite de la dernière partie de l'adresse. Les comptoirs desservent d'autres communes : leur libellé est publié tel quel, sans être rattaché — il nomme souvent des localités, pas des communes. Ni téléphone ni courriel ne sont repris : un atlas territorial n'en a pas besoin.",2026-08-21
HT1011,HTC-1011,Miragoâne,Coopérative Têtes Ensemble Miragoâne,COTEM,50-cp-05- 0013,"Rue Alexandre pétion, Grande rue, Miragoâne",2,Siège/ Petite Rivière de Nippes,LE SOCIÉTAIRE,SRC-053,BRH — liste des caisses populaires agréées,mars 2025,"La commune est celle du SIÈGE, déduite de la dernière partie de l'adresse. Les comptoirs desservent d'autres communes : leur libellé est publié tel quel, sans être rattaché — il nomme souvent des localités, pas des communes. Ni téléphone ni courriel ne sont repris : un atlas territorial n'en a pas besoin.",2026-08-21
HT0213,HTC-0213,Cayes-Jacmel,Caisse Populaire Avenir de Cayes-Jacmel,CPAC,30-cp-07-019,"87, Rue Sténio Vincent, Cayes Jacmel",2,"Siège/ Canyette, Cap Rouge",LE LEVIER,SRC-053,BRH — liste des caisses populaires agréées,mars 2025,"La commune est celle du SIÈGE, déduite de la dernière partie de l'adresse. Les comptoirs desservent d'autres communes : leur libellé est publié tel quel, sans être rattaché — il nomme souvent des localités, pas des communes. Ni téléphone ni courriel ne sont repris : un atlas territorial n'en a pas besoin.",2026-08-21
HT0443,HTC-0443,Mombin Crochu,Caisse Populaire pour l'Avancement de Mombin,CPAM,E-60-CEC/01-2018- 03,"Angle des Rues Nativité et Toussaint, Mombin- Crochu",1,Siège,LE LEVIER,SRC-053,BRH — liste des caisses populaires agréées,mars 2025,"La commune est celle du SIÈGE, déduite de la dernière partie de l'adresse. Les comptoirs desservent d'autres communes : leur libellé est publié tel quel, sans être rattaché — il nomme souvent des localités, pas des communes. Ni téléphone ni courriel ne sont repris : un atlas territorial n'en a pas besoin.",2026-08-21
HT0821,HTC-0821,Anse d'Hainault,Caisse Populaire Concorde,CPC (Anse- d'Hainault),09-cp-08-114,"23, Rue du Quai, Anse- d’Hainault",1,Siège,LE LEVIER,SRC-053,BRH — liste des caisses populaires agréées,mars 2025,"La commune est celle du SIÈGE, déduite de la dernière partie de l'adresse. Les comptoirs desservent d'autres communes : leur libellé est publié tel quel, sans être rattaché — il nomme souvent des localités, pas des communes. Ni téléphone ni courriel ne sont repris : un atlas territorial n'en a pas besoin.",2026-08-21
HT0751,HTC-0751,Chardonnières,Caisse Populaire de la Côte Sud,CPCS,CEC/CNC- 12/E-005,"8, Portail, Chardonnières",2,Siège/ Port-à-Piment,LE LEVIER,SRC-053,BRH — liste des caisses populaires agréées,mars 2025,"La commune est celle du SIÈGE, déduite de la dernière partie de l'adresse. Les comptoirs desservent d'autres communes : leur libellé est publié tel quel, sans être rattaché — il nomme souvent des localités, pas des communes. Ni téléphone ni courriel ne sont repris : un atlas territorial n'en a pas besoin.",2026-08-21
HT0411,HTC-0411,Fort-Liberté,Caisse Populaire Le Dauphin,CPD,02-cp-08-180,"11, Rue Cluny, Fort- Liberté",2,"Siège/ 9, Grande Rue, Ferrier, Nord-Est",LE LEVIER,SRC-053,BRH — liste des caisses populaires agréées,mars 2025,"La commune est celle du SIÈGE, déduite de la dernière partie de l'adresse. Les comptoirs desservent d'autres communes : leur libellé est publié tel quel, sans être rattaché — il nomme souvent des localités, pas des communes. Ni téléphone ni courriel ne sont repris : un atlas territorial n'en a pas besoin.",2026-08-21
HT0822,HTC-0822,Dame Marie,Caisse Populaire de Dame-Marie,CPDAM,E-70-CEC/01- 2018- 17,"14, Rue Frère Portier, Dame-Marie",1,Siège,LE LEVIER,SRC-053,BRH — liste des caisses populaires agréées,mars 2025,"La commune est celle du SIÈGE, déduite de la dernière partie de l'adresse. Les comptoirs desservent d'autres communes : leur libellé est publié tel quel, sans être rattaché — il nomme souvent des localités, pas des communes. Ni téléphone ni courriel ne sont repris : un atlas territorial n'en a pas besoin.",2026-08-21
HT0211,HTC-0211,Jacmel,Caisse Populaire Espoir,CPE,E-30-CEC/01-1980- 06,"12, Rue Vallières, Jacmel",2,Côte-de-Fer/Anse-à-Pitres,LE SOCIÉTAIRE,SRC-053,BRH — liste des caisses populaires agréées,mars 2025,"La commune est celle du SIÈGE, déduite de la dernière partie de l'adresse. Les comptoirs desservent d'autres communes : leur libellé est publié tel quel, sans être rattaché — il nomme souvent des localités, pas des communes. Ni téléphone ni courriel ne sont repris : un atlas territorial n'en a pas besoin.",2026-08-21
HT0311,HTC-0311,Cap-Haïtien,Caisse Populaire Fraternité,CPF,80-CP-05-008,"Rue 15 H, Cap-Haitien",4,"Siège/ Limonade/ Plaine du Nord/ Rue 10A, Cap-Haïtien",LE LEVIER,SRC-053,BRH — liste des caisses populaires agréées,mars 2025,"La commune est celle du SIÈGE, déduite de la dernière partie de l'adresse. Les comptoirs desservent d'autres communes : leur libellé est publié tel quel, sans être rattaché — il nomme souvent des localités, pas des communes. Ni téléphone ni courriel ne sont repris : un atlas territorial n'en a pas besoin.",2026-08-21
HT0212,HTC-0212,Marigot,Caisse Ressource Confiance de Marigot,CPRCM,30-cp-05-012,"242, Rue Felses, Marigot",3,Siège/ Peredo/ Bainet,LE LEVIER,SRC-053,BRH — liste des caisses populaires agréées,mars 2025,"La commune est celle du SIÈGE, déduite de la dernière partie de l'adresse. Les comptoirs desservent d'autres communes : leur libellé est publié tel quel, sans être rattaché — il nomme souvent des localités, pas des communes. Ni téléphone ni courriel ne sont repris : un atlas territorial n'en a pas besoin.",2026-08-21
HT0112,HTC-0112,Delmas,Caisse Populaire Sainte Anne,CPSA,06-cp-08-032,"Plaza 60, Delmas 60",3,Siège Carrefour/ Delmas 60,LE LEVIER,SRC-053,BRH — liste des caisses populaires agréées,mars 2025,"La commune est celle du SIÈGE, déduite de la dernière partie de l'adresse. Les comptoirs desservent d'autres communes : leur libellé est publié tel quel, sans être rattaché — il nomme souvent des localités, pas des communes. Ni téléphone ni courriel ne sont repris : un atlas territorial n'en a pas besoin.",2026-08-21
HT0715,HTC-0715,Maniche,Caisse Populaire Sainte-Rose de Maniche,CPSRM,E-07/CEC/011,"17 A, Rue Dolciné Point du Jour, Maniche",1,Siège,LE LEVIER,SRC-053,BRH — liste des caisses populaires agréées,mars 2025,"La commune est celle du SIÈGE, déduite de la dernière partie de l'adresse. Les comptoirs desservent d'autres communes : leur libellé est publié tel quel, sans être rattaché — il nomme souvent des localités, pas des communes. Ni téléphone ni courriel ne sont repris : un atlas territorial n'en a pas besoin.",2026-08-21
HT0371,HTC-0371,Plaisance,Caisse Populaire de Plaisance,CPUP,E-80-CEC/01-2016- 04,"Rue de la Martinière, Plaisance",1,Siège,LE LEVIER,SRC-053,BRH — liste des caisses populaires agréées,mars 2025,"La commune est celle du SIÈGE, déduite de la dernière partie de l'adresse. Les comptoirs desservent d'autres communes : leur libellé est publié tel quel, sans être rattaché — il nomme souvent des localités, pas des communes. Ni téléphone ni courriel ne sont repris : un atlas territorial n'en a pas besoin.",2026-08-21
HT0233,HTC-0233,Thiotte,Caisse Populaire pour la Promotion Economique et Sociale,CREPES,30-cp-05-006,"6, rue Royer, Thiotte",1,Siège,LE LEVIER,SRC-053,BRH — liste des caisses populaires agréées,mars 2025,"La commune est celle du SIÈGE, déduite de la dernière partie de l'adresse. Les comptoirs desservent d'autres communes : leur libellé est publié tel quel, sans être rattaché — il nomme souvent des localités, pas des communes. Ni téléphone ni courriel ne sont repris : un atlas territorial n'en a pas besoin.",2026-08-21
HT0121,HTC-0121,Léogâne,Kès Popilè Men Kontre,KEPOMEK,10-cp-06-013,"Route Belle Fortune, Darbonne, Léogane",3,Siège/Léogâne/ Carrefour Dufort,LE LEVIER,SRC-053,BRH — liste des caisses populaires agréées,mars 2025,"La commune est celle du SIÈGE, déduite de la dernière partie de l'adresse. Les comptoirs desservent d'autres communes : leur libellé est publié tel quel, sans être rattaché — il nomme souvent des localités, pas des communes. Ni téléphone ni courriel ne sont repris : un atlas territorial n'en a pas besoin.",2026-08-21
HT0111,HTC-0111,Port-au-Prince,Koperativ Fad La Site,KOFAS,10-cp-05-064,"1, 2ème Impasse Lavaud, Lalue, Port-au-Prince",2,"Siège/ 55, entre Thor 73 et 75, Route Nationale # 3, Carrefour",LE LEVIER,SRC-053,BRH — liste des caisses populaires agréées,mars 2025,"La commune est celle du SIÈGE, déduite de la dernière partie de l'adresse. Les comptoirs desservent d'autres communes : leur libellé est publié tel quel, sans être rattaché — il nomme souvent des localités, pas des communes. Ni téléphone ni courriel ne sont repris : un atlas territorial n'en a pas besoin.",2026-08-21
HT0911,HTC-0911,Port-de-Paix,Koperativ Pou Lespwa,KOPLES,00-cp-05-003,"Angle des Rues Notre Dame & Dumarsais E, Port-de-Paix",2,"Siège/ La Source, Bassin Bleu",LE LEVIER,SRC-053,BRH — liste des caisses populaires agréées,mars 2025,"La commune est celle du SIÈGE, déduite de la dernière partie de l'adresse. Les comptoirs desservent d'autres communes : leur libellé est publié tel quel, sans être rattaché — il nomme souvent des localités, pas des communes. Ni téléphone ni courriel ne sont repris : un atlas territorial n'en a pas besoin.",2026-08-21
HT0631,HTC-0631,Lascahobas,Koperativ Solidarite pou Developman Sant,KOSODES,E-50-CEC/01- 2018- 20,"Rue Nouvelle, Lascahobas",1,Siège,NON-FÉDÉRÉE,SRC-053,BRH — liste des caisses populaires agréées,mars 2025,"La commune est celle du SIÈGE, déduite de la dernière partie de l'adresse. Les comptoirs desservent d'autres communes : leur libellé est publié tel quel, sans être rattaché — il nomme souvent des localités, pas des communes. Ni téléphone ni courriel ne sont repris : un atlas territorial n'en a pas besoin.",2026-08-21
HT0114,HTC-0114,Pétion-Ville,Koperativ Tèt Ansanm pou Lavi Miyò,KOTELAM,10-cp-06-024,"62, angle des Rues Villate et Rebecca, Pétion- Ville",2,Siège/ Rte de Delmas,LE LEVIER,SRC-053,BRH — liste des caisses populaires agréées,mars 2025,"La commune est celle du SIÈGE, déduite de la dernière partie de l'adresse. Les comptoirs desservent d'autres communes : leur libellé est publié tel quel, sans être rattaché — il nomme souvent des localités, pas des communes. Ni téléphone ni courriel ne sont repris : un atlas territorial n'en a pas besoin.",2026-08-21
HT0532,HTC-0532,Verrettes,Kès Popilè Dezam,KPD,90-cp-05-004,"Grand Rue, Desarmes, Verettes",1,Siège,LE LEVIER,SRC-053,BRH — liste des caisses populaires agréées,mars 2025,"La commune est celle du SIÈGE, déduite de la dernière partie de l'adresse. Les comptoirs desservent d'autres communes : leur libellé est publié tel quel, sans être rattaché — il nomme souvent des localités, pas des communes. Ni téléphone ni courriel ne sont repris : un atlas territorial n'en a pas besoin.",2026-08-21
HT0521,HTC-0521,Gros Morne,Kès Popilè Espwa Gwomòn,KPEGM,03-cp-09-022,"90, Rue Sténio Vincent, Gros-Morne",2,Siège/ Gonaives,LE LEVIER,SRC-053,BRH — liste des caisses populaires agréées,mars 2025,"La commune est celle du SIÈGE, déduite de la dernière partie de l'adresse. Les comptoirs desservent d'autres communes : leur libellé est publié tel quel, sans être rattaché — il nomme souvent des localités, pas des communes. Ni téléphone ni courriel ne sont repris : un atlas territorial n'en a pas besoin.",2026-08-21
HT0142,HTC-0142,Cabaret,Kès Popilè Kabarè,KPK,06-cp-08-136,"Route Nationale # 1, Cabaret",3,Siège/Arcahaie/ Bon Repos,LE SOCIÉTAIRE,SRC-053,BRH — liste des caisses populaires agréées,mars 2025,"La commune est celle du SIÈGE, déduite de la dernière partie de l'adresse. Les comptoirs desservent d'autres communes : leur libellé est publié tel quel, sans être rattaché — il nomme souvent des localités, pas des communes. Ni téléphone ni courriel ne sont repris : un atlas territorial n'en a pas besoin.",2026-08-21
HT1023,HTC-1023,L'Asile,Kès Popilè Lazil Nippes,KPLAN,E-10-CEC/01- 002,"Gerveau, en face de l'EFACAP, l'Asile",1,Siège,LE LEVIER,SRC-053,BRH — liste des caisses populaires agréées,mars 2025,"La commune est celle du SIÈGE, déduite de la dernière partie de l'adresse. Les comptoirs desservent d'autres communes : leur libellé est publié tel quel, sans être rattaché — il nomme souvent des localités, pas des communes. Ni téléphone ni courriel ne sont repris : un atlas territorial n'en a pas besoin.",2026-08-21
HT0323,HTC-0323,Milot,Kès Poplilè Leve Kanpe Milo,KPLKM,01-cp-08-128,"Rue Républicaine, Milot",2,"Siège/ Blvd Lamadonne, Grande Riviere du Nord",LE LEVIER,SRC-053,BRH — liste des caisses populaires agréées,mars 2025,"La commune est celle du SIÈGE, déduite de la dernière partie de l'adresse. Les comptoirs desservent d'autres communes : leur libellé est publié tel quel, sans être rattaché — il nomme souvent des localités, pas des communes. Ni téléphone ni courriel ne sont repris : un atlas territorial n'en a pas besoin.",2026-08-21
HT0123,HTC-0123,Grand-Goâve,Kès Popilè Dano,KPODA,06-cp-08-144,"Route de Dano KM 5, Grand-Goave",2,Siège/Grand-Goave,LE SOCIÉTAIRE,SRC-053,BRH — liste des caisses populaires agréées,mars 2025,"La commune est celle du SIÈGE, déduite de la dernière partie de l'adresse. Les comptoirs desservent d'autres communes : leur libellé est publié tel quel, sans être rattaché — il nomme souvent des localités, pas des communes. Ni téléphone ni courriel ne sont repris : un atlas territorial n'en a pas besoin.",2026-08-21
HT0442,HTC-0442,Carice,Kès Popilè Sent-Elèn Karis,KPSEK,E-60-CEC/01-2016- 04,"Rue Vincent, Carice Nord-Est",2,Siège/ En face de l'église catholique de Mont- Organisé,LE LEVIER,SRC-053,BRH — liste des caisses populaires agréées,mars 2025,"La commune est celle du SIÈGE, déduite de la dernière partie de l'adresse. Les comptoirs desservent d'autres communes : leur libellé est publié tel quel, sans être rattaché — il nomme souvent des localités, pas des communes. Ni téléphone ni courriel ne sont repris : un atlas territorial n'en a pas besoin.",2026-08-21
HT0433,HTC-0433,Terrier Rouge,Kès Popilè Têt Ansanm Terye-Wouj,KPTAT,60-cp-05-007,"98, Rue Chancerelles, Terrier-Rouge",3,"Siège/ Rue du Marché, Pêches/ En face de la Mairie Ouanaminthe",LE LEVIER,SRC-053,BRH — liste des caisses populaires agréées,mars 2025,"La commune est celle du SIÈGE, déduite de la dernière partie de l'adresse. Les comptoirs desservent d'autres communes : leur libellé est publié tel quel, sans être rattaché — il nomme souvent des localités, pas des communes. Ni téléphone ni courriel ne sont repris : un atlas territorial n'en a pas besoin.",2026-08-21
HT0116,HTC-0116,Gressier,Men Ale Men Vini,MAMEV,10-cp-05-014,"Rte Nationale #2, La Colline, Gressier",1,Siège,LE LEVIER,SRC-053,BRH — liste des caisses populaires agréées,mars 2025,"La commune est celle du SIÈGE, déduite de la dernière partie de l'adresse. Les comptoirs desservent d'autres communes : leur libellé est publié tel quel, sans être rattaché — il nomme souvent des localités, pas des communes. Ni téléphone ni courriel ne sont repris : un atlas territorial n'en a pas besoin.",2026-08-21
,,,Mouvement Coopératif d’Epargne et de Crédit de Fermathe,MOCECF,E-10-CEC /01-2018- 49,"120, Impasse Noel, Fermathe 55",1,Siège,LE LEVIER,SRC-053,BRH — liste des caisses populaires agréées,mars 2025,"La commune est celle du SIÈGE, déduite de la dernière partie de l'adresse. Les comptoirs desservent d'autres communes : leur libellé est publié tel quel, sans être rattaché — il nomme souvent des localités, pas des communes. Ni téléphone ni courriel ne sont repris : un atlas territorial n'en a pas besoin.",2026-08-21
