pcode_commune,nom_commune,radios_fm,radios_am,televisions,stations_total,radios_communautaires,source_id,licence,attribution,millesime,limite_connue,date_extraction
HT0135,Fonds-Verrettes,1,0,0,1,0,SRC-058,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","CONATEL — Conseil National des Télécommunications, liste des stations de radiodiffusion autorisées 2023-2024",année 2023-2024,"Stations AUTORISÉES par le CONATEL, rattachées à la commune que le document nomme dans sa colonne « Ville ». Une commune sans station n'a pas de station autorisée — ce n'est pas une commune sans radio : les stations non autorisées, par définition, n'y figurent pas.",2026-08-24
HT0141,Arcahaie,3,0,1,4,0,SRC-058,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","CONATEL — Conseil National des Télécommunications, liste des stations de radiodiffusion autorisées 2023-2024",année 2023-2024,"Stations AUTORISÉES par le CONATEL, rattachées à la commune que le document nomme dans sa colonne « Ville ». Une commune sans station n'a pas de station autorisée — ce n'est pas une commune sans radio : les stations non autorisées, par définition, n'y figurent pas.",2026-08-24
HT0211,Jacmel,54,0,10,64,1,SRC-058,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","CONATEL — Conseil National des Télécommunications, liste des stations de radiodiffusion autorisées 2023-2024",année 2023-2024,"Stations AUTORISÉES par le CONATEL, rattachées à la commune que le document nomme dans sa colonne « Ville ». Une commune sans station n'a pas de station autorisée — ce n'est pas une commune sans radio : les stations non autorisées, par définition, n'y figurent pas.",2026-08-24
HT0212,Marigot,2,0,0,2,0,SRC-058,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","CONATEL — Conseil National des Télécommunications, liste des stations de radiodiffusion autorisées 2023-2024",année 2023-2024,"Stations AUTORISÉES par le CONATEL, rattachées à la commune que le document nomme dans sa colonne « Ville ». Une commune sans station n'a pas de station autorisée — ce n'est pas une commune sans radio : les stations non autorisées, par définition, n'y figurent pas.",2026-08-24
HT0213,Cayes-Jacmel,1,0,0,1,0,SRC-058,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","CONATEL — Conseil National des Télécommunications, liste des stations de radiodiffusion autorisées 2023-2024",année 2023-2024,"Stations AUTORISÉES par le CONATEL, rattachées à la commune que le document nomme dans sa colonne « Ville ». Une commune sans station n'a pas de station autorisée — ce n'est pas une commune sans radio : les stations non autorisées, par définition, n'y figurent pas.",2026-08-24
HT0214,La Vallée,1,0,0,1,0,SRC-058,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","CONATEL — Conseil National des Télécommunications, liste des stations de radiodiffusion autorisées 2023-2024",année 2023-2024,"Stations AUTORISÉES par le CONATEL, rattachées à la commune que le document nomme dans sa colonne « Ville ». Une commune sans station n'a pas de station autorisée — ce n'est pas une commune sans radio : les stations non autorisées, par définition, n'y figurent pas.",2026-08-24
HT0231,Belle-Anse,3,0,0,3,0,SRC-058,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","CONATEL — Conseil National des Télécommunications, liste des stations de radiodiffusion autorisées 2023-2024",année 2023-2024,"Stations AUTORISÉES par le CONATEL, rattachées à la commune que le document nomme dans sa colonne « Ville ». Une commune sans station n'a pas de station autorisée — ce n'est pas une commune sans radio : les stations non autorisées, par définition, n'y figurent pas.",2026-08-24
HT0233,Thiotte,1,0,0,1,0,SRC-058,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","CONATEL — Conseil National des Télécommunications, liste des stations de radiodiffusion autorisées 2023-2024",année 2023-2024,"Stations AUTORISÉES par le CONATEL, rattachées à la commune que le document nomme dans sa colonne « Ville ». Une commune sans station n'a pas de station autorisée — ce n'est pas une commune sans radio : les stations non autorisées, par définition, n'y figurent pas.",2026-08-24
HT0311,Cap-Haïtien,70,0,18,88,1,SRC-058,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","CONATEL — Conseil National des Télécommunications, liste des stations de radiodiffusion autorisées 2023-2024",année 2023-2024,"Stations AUTORISÉES par le CONATEL, rattachées à la commune que le document nomme dans sa colonne « Ville ». Une commune sans station n'a pas de station autorisée — ce n'est pas une commune sans radio : les stations non autorisées, par définition, n'y figurent pas.",2026-08-24
HT0312,Quartier Morin,2,0,0,2,0,SRC-058,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","CONATEL — Conseil National des Télécommunications, liste des stations de radiodiffusion autorisées 2023-2024",année 2023-2024,"Stations AUTORISÉES par le CONATEL, rattachées à la commune que le document nomme dans sa colonne « Ville ». Une commune sans station n'a pas de station autorisée — ce n'est pas une commune sans radio : les stations non autorisées, par définition, n'y figurent pas.",2026-08-24
HT0313,Limonade,2,0,0,2,0,SRC-058,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","CONATEL — Conseil National des Télécommunications, liste des stations de radiodiffusion autorisées 2023-2024",année 2023-2024,"Stations AUTORISÉES par le CONATEL, rattachées à la commune que le document nomme dans sa colonne « Ville ». Une commune sans station n'a pas de station autorisée — ce n'est pas une commune sans radio : les stations non autorisées, par définition, n'y figurent pas.",2026-08-24
HT0321,Acul du Nord,1,0,0,1,0,SRC-058,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","CONATEL — Conseil National des Télécommunications, liste des stations de radiodiffusion autorisées 2023-2024",année 2023-2024,"Stations AUTORISÉES par le CONATEL, rattachées à la commune que le document nomme dans sa colonne « Ville ». Une commune sans station n'a pas de station autorisée — ce n'est pas une commune sans radio : les stations non autorisées, par définition, n'y figurent pas.",2026-08-24
HT0322,Plaine du Nord,3,0,0,3,0,SRC-058,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","CONATEL — Conseil National des Télécommunications, liste des stations de radiodiffusion autorisées 2023-2024",année 2023-2024,"Stations AUTORISÉES par le CONATEL, rattachées à la commune que le document nomme dans sa colonne « Ville ». Une commune sans station n'a pas de station autorisée — ce n'est pas une commune sans radio : les stations non autorisées, par définition, n'y figurent pas.",2026-08-24
HT0344,Pignon,1,1,1,3,0,SRC-058,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","CONATEL — Conseil National des Télécommunications, liste des stations de radiodiffusion autorisées 2023-2024",année 2023-2024,"Stations AUTORISÉES par le CONATEL, rattachées à la commune que le document nomme dans sa colonne « Ville ». Une commune sans station n'a pas de station autorisée — ce n'est pas une commune sans radio : les stations non autorisées, par définition, n'y figurent pas.",2026-08-24
HT0352,Port-Margot,1,0,0,1,0,SRC-058,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","CONATEL — Conseil National des Télécommunications, liste des stations de radiodiffusion autorisées 2023-2024",année 2023-2024,"Stations AUTORISÉES par le CONATEL, rattachées à la commune que le document nomme dans sa colonne « Ville ». Une commune sans station n'a pas de station autorisée — ce n'est pas une commune sans radio : les stations non autorisées, par définition, n'y figurent pas.",2026-08-24
HT0361,Limbé,5,0,0,5,0,SRC-058,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","CONATEL — Conseil National des Télécommunications, liste des stations de radiodiffusion autorisées 2023-2024",année 2023-2024,"Stations AUTORISÉES par le CONATEL, rattachées à la commune que le document nomme dans sa colonne « Ville ». Une commune sans station n'a pas de station autorisée — ce n'est pas une commune sans radio : les stations non autorisées, par définition, n'y figurent pas.",2026-08-24
HT0371,Plaisance,1,0,0,1,0,SRC-058,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","CONATEL — Conseil National des Télécommunications, liste des stations de radiodiffusion autorisées 2023-2024",année 2023-2024,"Stations AUTORISÉES par le CONATEL, rattachées à la commune que le document nomme dans sa colonne « Ville ». Une commune sans station n'a pas de station autorisée — ce n'est pas une commune sans radio : les stations non autorisées, par définition, n'y figurent pas.",2026-08-24
HT0411,Fort-Liberté,10,0,0,10,0,SRC-058,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","CONATEL — Conseil National des Télécommunications, liste des stations de radiodiffusion autorisées 2023-2024",année 2023-2024,"Stations AUTORISÉES par le CONATEL, rattachées à la commune que le document nomme dans sa colonne « Ville ». Une commune sans station n'a pas de station autorisée — ce n'est pas une commune sans radio : les stations non autorisées, par définition, n'y figurent pas.",2026-08-24
HT0412,Ferrier,1,0,0,1,0,SRC-058,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","CONATEL — Conseil National des Télécommunications, liste des stations de radiodiffusion autorisées 2023-2024",année 2023-2024,"Stations AUTORISÉES par le CONATEL, rattachées à la commune que le document nomme dans sa colonne « Ville ». Une commune sans station n'a pas de station autorisée — ce n'est pas une commune sans radio : les stations non autorisées, par définition, n'y figurent pas.",2026-08-24
HT0421,Ouanaminthe,10,0,0,10,0,SRC-058,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","CONATEL — Conseil National des Télécommunications, liste des stations de radiodiffusion autorisées 2023-2024",année 2023-2024,"Stations AUTORISÉES par le CONATEL, rattachées à la commune que le document nomme dans sa colonne « Ville ». Une commune sans station n'a pas de station autorisée — ce n'est pas une commune sans radio : les stations non autorisées, par définition, n'y figurent pas.",2026-08-24
HT0423,Mont-Organisé,1,0,0,1,0,SRC-058,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","CONATEL — Conseil National des Télécommunications, liste des stations de radiodiffusion autorisées 2023-2024",année 2023-2024,"Stations AUTORISÉES par le CONATEL, rattachées à la commune que le document nomme dans sa colonne « Ville ». Une commune sans station n'a pas de station autorisée — ce n'est pas une commune sans radio : les stations non autorisées, par définition, n'y figurent pas.",2026-08-24
HT0431,Trou du Nord,2,0,0,2,0,SRC-058,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","CONATEL — Conseil National des Télécommunications, liste des stations de radiodiffusion autorisées 2023-2024",année 2023-2024,"Stations AUTORISÉES par le CONATEL, rattachées à la commune que le document nomme dans sa colonne « Ville ». Une commune sans station n'a pas de station autorisée — ce n'est pas une commune sans radio : les stations non autorisées, par définition, n'y figurent pas.",2026-08-24
HT0432,Sainte Suzanne,2,0,0,2,0,SRC-058,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","CONATEL — Conseil National des Télécommunications, liste des stations de radiodiffusion autorisées 2023-2024",année 2023-2024,"Stations AUTORISÉES par le CONATEL, rattachées à la commune que le document nomme dans sa colonne « Ville ». Une commune sans station n'a pas de station autorisée — ce n'est pas une commune sans radio : les stations non autorisées, par définition, n'y figurent pas.",2026-08-24
HT0433,Terrier Rouge,2,0,0,2,0,SRC-058,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","CONATEL — Conseil National des Télécommunications, liste des stations de radiodiffusion autorisées 2023-2024",année 2023-2024,"Stations AUTORISÉES par le CONATEL, rattachées à la commune que le document nomme dans sa colonne « Ville ». Une commune sans station n'a pas de station autorisée — ce n'est pas une commune sans radio : les stations non autorisées, par définition, n'y figurent pas.",2026-08-24
HT0434,Caracol,2,0,0,2,0,SRC-058,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","CONATEL — Conseil National des Télécommunications, liste des stations de radiodiffusion autorisées 2023-2024",année 2023-2024,"Stations AUTORISÉES par le CONATEL, rattachées à la commune que le document nomme dans sa colonne « Ville ». Une commune sans station n'a pas de station autorisée — ce n'est pas une commune sans radio : les stations non autorisées, par définition, n'y figurent pas.",2026-08-24
HT0443,Mombin Crochu,1,0,0,1,0,SRC-058,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","CONATEL — Conseil National des Télécommunications, liste des stations de radiodiffusion autorisées 2023-2024",année 2023-2024,"Stations AUTORISÉES par le CONATEL, rattachées à la commune que le document nomme dans sa colonne « Ville ». Une commune sans station n'a pas de station autorisée — ce n'est pas une commune sans radio : les stations non autorisées, par définition, n'y figurent pas.",2026-08-24
HT0511,Gonaïves,53,0,9,62,1,SRC-058,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","CONATEL — Conseil National des Télécommunications, liste des stations de radiodiffusion autorisées 2023-2024",année 2023-2024,"Stations AUTORISÉES par le CONATEL, rattachées à la commune que le document nomme dans sa colonne « Ville ». Une commune sans station n'a pas de station autorisée — ce n'est pas une commune sans radio : les stations non autorisées, par définition, n'y figurent pas.",2026-08-24
HT0512,Ennery,1,0,1,2,0,SRC-058,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","CONATEL — Conseil National des Télécommunications, liste des stations de radiodiffusion autorisées 2023-2024",année 2023-2024,"Stations AUTORISÉES par le CONATEL, rattachées à la commune que le document nomme dans sa colonne « Ville ». Une commune sans station n'a pas de station autorisée — ce n'est pas une commune sans radio : les stations non autorisées, par définition, n'y figurent pas.",2026-08-24
HT0513,L'Estère,2,0,0,2,0,SRC-058,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","CONATEL — Conseil National des Télécommunications, liste des stations de radiodiffusion autorisées 2023-2024",année 2023-2024,"Stations AUTORISÉES par le CONATEL, rattachées à la commune que le document nomme dans sa colonne « Ville ». Une commune sans station n'a pas de station autorisée — ce n'est pas une commune sans radio : les stations non autorisées, par définition, n'y figurent pas.",2026-08-24
HT0521,Gros Morne,8,0,0,8,0,SRC-058,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","CONATEL — Conseil National des Télécommunications, liste des stations de radiodiffusion autorisées 2023-2024",année 2023-2024,"Stations AUTORISÉES par le CONATEL, rattachées à la commune que le document nomme dans sa colonne « Ville ». Une commune sans station n'a pas de station autorisée — ce n'est pas une commune sans radio : les stations non autorisées, par définition, n'y figurent pas.",2026-08-24
HT0523,Anse Rouge,1,0,0,1,0,SRC-058,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","CONATEL — Conseil National des Télécommunications, liste des stations de radiodiffusion autorisées 2023-2024",année 2023-2024,"Stations AUTORISÉES par le CONATEL, rattachées à la commune que le document nomme dans sa colonne « Ville ». Une commune sans station n'a pas de station autorisée — ce n'est pas une commune sans radio : les stations non autorisées, par définition, n'y figurent pas.",2026-08-24
HT0531,Saint-Marc,27,0,6,33,0,SRC-058,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","CONATEL — Conseil National des Télécommunications, liste des stations de radiodiffusion autorisées 2023-2024",année 2023-2024,"Stations AUTORISÉES par le CONATEL, rattachées à la commune que le document nomme dans sa colonne « Ville ». Une commune sans station n'a pas de station autorisée — ce n'est pas une commune sans radio : les stations non autorisées, par définition, n'y figurent pas.",2026-08-24
HT0532,Verrettes,1,0,0,1,0,SRC-058,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","CONATEL — Conseil National des Télécommunications, liste des stations de radiodiffusion autorisées 2023-2024",année 2023-2024,"Stations AUTORISÉES par le CONATEL, rattachées à la commune que le document nomme dans sa colonne « Ville ». Une commune sans station n'a pas de station autorisée — ce n'est pas une commune sans radio : les stations non autorisées, par définition, n'y figurent pas.",2026-08-24
HT0533,La Chapelle,2,0,0,2,0,SRC-058,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","CONATEL — Conseil National des Télécommunications, liste des stations de radiodiffusion autorisées 2023-2024",année 2023-2024,"Stations AUTORISÉES par le CONATEL, rattachées à la commune que le document nomme dans sa colonne « Ville ». Une commune sans station n'a pas de station autorisée — ce n'est pas une commune sans radio : les stations non autorisées, par définition, n'y figurent pas.",2026-08-24
HT0541,Dessalines,5,0,1,6,0,SRC-058,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","CONATEL — Conseil National des Télécommunications, liste des stations de radiodiffusion autorisées 2023-2024",année 2023-2024,"Stations AUTORISÉES par le CONATEL, rattachées à la commune que le document nomme dans sa colonne « Ville ». Une commune sans station n'a pas de station autorisée — ce n'est pas une commune sans radio : les stations non autorisées, par définition, n'y figurent pas.",2026-08-24
HT0542,Petite Rivière de l'Artibonite,3,0,0,3,0,SRC-058,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","CONATEL — Conseil National des Télécommunications, liste des stations de radiodiffusion autorisées 2023-2024",année 2023-2024,"Stations AUTORISÉES par le CONATEL, rattachées à la commune que le document nomme dans sa colonne « Ville ». Une commune sans station n'a pas de station autorisée — ce n'est pas une commune sans radio : les stations non autorisées, par définition, n'y figurent pas.",2026-08-24
HT0544,Desdunes,1,0,0,1,0,SRC-058,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","CONATEL — Conseil National des Télécommunications, liste des stations de radiodiffusion autorisées 2023-2024",année 2023-2024,"Stations AUTORISÉES par le CONATEL, rattachées à la commune que le document nomme dans sa colonne « Ville ». Une commune sans station n'a pas de station autorisée — ce n'est pas une commune sans radio : les stations non autorisées, par définition, n'y figurent pas.",2026-08-24
HT0551,Saint-Michel de l'Attalaye,1,0,0,1,0,SRC-058,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","CONATEL — Conseil National des Télécommunications, liste des stations de radiodiffusion autorisées 2023-2024",année 2023-2024,"Stations AUTORISÉES par le CONATEL, rattachées à la commune que le document nomme dans sa colonne « Ville ». Une commune sans station n'a pas de station autorisée — ce n'est pas une commune sans radio : les stations non autorisées, par définition, n'y figurent pas.",2026-08-24
HT0611,Hinche,32,0,8,40,1,SRC-058,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","CONATEL — Conseil National des Télécommunications, liste des stations de radiodiffusion autorisées 2023-2024",année 2023-2024,"Stations AUTORISÉES par le CONATEL, rattachées à la commune que le document nomme dans sa colonne « Ville ». Une commune sans station n'a pas de station autorisée — ce n'est pas une commune sans radio : les stations non autorisées, par définition, n'y figurent pas.",2026-08-24
HT0614,Cerca Carvajal,2,0,1,3,0,SRC-058,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","CONATEL — Conseil National des Télécommunications, liste des stations de radiodiffusion autorisées 2023-2024",année 2023-2024,"Stations AUTORISÉES par le CONATEL, rattachées à la commune que le document nomme dans sa colonne « Ville ». Une commune sans station n'a pas de station autorisée — ce n'est pas une commune sans radio : les stations non autorisées, par définition, n'y figurent pas.",2026-08-24
HT0621,Mirebalais,8,0,1,9,0,SRC-058,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","CONATEL — Conseil National des Télécommunications, liste des stations de radiodiffusion autorisées 2023-2024",année 2023-2024,"Stations AUTORISÉES par le CONATEL, rattachées à la commune que le document nomme dans sa colonne « Ville ». Une commune sans station n'a pas de station autorisée — ce n'est pas une commune sans radio : les stations non autorisées, par définition, n'y figurent pas.",2026-08-24
HT0622,Saut d'Eau,1,0,0,1,0,SRC-058,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","CONATEL — Conseil National des Télécommunications, liste des stations de radiodiffusion autorisées 2023-2024",année 2023-2024,"Stations AUTORISÉES par le CONATEL, rattachées à la commune que le document nomme dans sa colonne « Ville ». Une commune sans station n'a pas de station autorisée — ce n'est pas une commune sans radio : les stations non autorisées, par définition, n'y figurent pas.",2026-08-24
HT0631,Lascahobas,1,0,0,1,0,SRC-058,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","CONATEL — Conseil National des Télécommunications, liste des stations de radiodiffusion autorisées 2023-2024",année 2023-2024,"Stations AUTORISÉES par le CONATEL, rattachées à la commune que le document nomme dans sa colonne « Ville ». Une commune sans station n'a pas de station autorisée — ce n'est pas une commune sans radio : les stations non autorisées, par définition, n'y figurent pas.",2026-08-24
HT0632,Belladère,4,0,0,4,0,SRC-058,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","CONATEL — Conseil National des Télécommunications, liste des stations de radiodiffusion autorisées 2023-2024",année 2023-2024,"Stations AUTORISÉES par le CONATEL, rattachées à la commune que le document nomme dans sa colonne « Ville ». Une commune sans station n'a pas de station autorisée — ce n'est pas une commune sans radio : les stations non autorisées, par définition, n'y figurent pas.",2026-08-24
HT0633,Savanette,1,0,0,1,0,SRC-058,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","CONATEL — Conseil National des Télécommunications, liste des stations de radiodiffusion autorisées 2023-2024",année 2023-2024,"Stations AUTORISÉES par le CONATEL, rattachées à la commune que le document nomme dans sa colonne « Ville ». Une commune sans station n'a pas de station autorisée — ce n'est pas une commune sans radio : les stations non autorisées, par définition, n'y figurent pas.",2026-08-24
HT0711,Les Cayes,58,1,14,73,2,SRC-058,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","CONATEL — Conseil National des Télécommunications, liste des stations de radiodiffusion autorisées 2023-2024",année 2023-2024,"Stations AUTORISÉES par le CONATEL, rattachées à la commune que le document nomme dans sa colonne « Ville ». Une commune sans station n'a pas de station autorisée — ce n'est pas une commune sans radio : les stations non autorisées, par définition, n'y figurent pas.",2026-08-24
HT0712,Torbeck,4,0,2,6,0,SRC-058,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","CONATEL — Conseil National des Télécommunications, liste des stations de radiodiffusion autorisées 2023-2024",année 2023-2024,"Stations AUTORISÉES par le CONATEL, rattachées à la commune que le document nomme dans sa colonne « Ville ». Une commune sans station n'a pas de station autorisée — ce n'est pas une commune sans radio : les stations non autorisées, par définition, n'y figurent pas.",2026-08-24
HT0714,Camp-Perrin,4,0,1,5,0,SRC-058,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","CONATEL — Conseil National des Télécommunications, liste des stations de radiodiffusion autorisées 2023-2024",année 2023-2024,"Stations AUTORISÉES par le CONATEL, rattachées à la commune que le document nomme dans sa colonne « Ville ». Une commune sans station n'a pas de station autorisée — ce n'est pas une commune sans radio : les stations non autorisées, par définition, n'y figurent pas.",2026-08-24
