categorie_agrement,institution,adresse_siege,presente_sur_la_carte_osm,enseigne_correspondante_osm,source_id,source,millesime,limite_connue,date_extraction
Maison de transfert,Rapid Transfè,"70, angle rues Capois et Waag, Port-au-Prince",non,,SRC-053,BRH — listes d'agrément de la supervision bancaire,consulté le 2026-08-21,"Liste des institutions AGRÉÉES, pas des agences : la BRH publie le siège et rien d'autre. La colonne « présente sur la carte » compare au relevé contributif OpenStreetMap et se lit comme un PLANCHER — le rapprochement est volontairement prudent et rate une correspondance plutôt que d'en inventer.",2026-08-21
Maison de transfert,Sogexpress SA,"Angle autoroute de Delmas et Delmas 30, Delmas",oui,SogeXPress,SRC-053,BRH — listes d'agrément de la supervision bancaire,consulté le 2026-08-21,"Liste des institutions AGRÉÉES, pas des agences : la BRH publie le siège et rien d'autre. La colonne « présente sur la carte » compare au relevé contributif OpenStreetMap et se lit comme un PLANCHER — le rapprochement est volontairement prudent et rate une correspondance plutôt que d'en inventer.",2026-08-21
Maison de transfert,Unitransfer S.A.,"1, rue F Ouest, Parc Industriel de l’aéroport, Port-au-Prince",oui,UNITRANSFER,SRC-053,BRH — listes d'agrément de la supervision bancaire,consulté le 2026-08-21,"Liste des institutions AGRÉÉES, pas des agences : la BRH publie le siège et rien d'autre. La colonne « présente sur la carte » compare au relevé contributif OpenStreetMap et se lit comme un PLANCHER — le rapprochement est volontairement prudent et rate une correspondance plutôt que d'en inventer.",2026-08-21
Maison de transfert,NatTransfer,"Angle avenue Martin Luther King et Fernand, Pont-Morin Port-au-Prince",non,,SRC-053,BRH — listes d'agrément de la supervision bancaire,consulté le 2026-08-21,"Liste des institutions AGRÉÉES, pas des agences : la BRH publie le siège et rien d'autre. La colonne « présente sur la carte » compare au relevé contributif OpenStreetMap et se lit comme un PLANCHER — le rapprochement est volontairement prudent et rate une correspondance plutôt que d'en inventer.",2026-08-21
Bureau de change,"General Trading Associates, SA (GTA, S.A.)","60, rue Mérisier, Delmas 48, Delmas",non,,SRC-053,BRH — listes d'agrément de la supervision bancaire,consulté le 2026-08-21,"Liste des institutions AGRÉÉES, pas des agences : la BRH publie le siège et rien d'autre. La colonne « présente sur la carte » compare au relevé contributif OpenStreetMap et se lit comme un PLANCHER — le rapprochement est volontairement prudent et rate une correspondance plutôt que d'en inventer.",2026-08-21
Bureau de change,"Global Delima Maison de Change, S.A. (GDM, S.A.)","28, rue A. Qualo, Péguy-Ville, Pétion-Ville",non,,SRC-053,BRH — listes d'agrément de la supervision bancaire,consulté le 2026-08-21,"Liste des institutions AGRÉÉES, pas des agences : la BRH publie le siège et rien d'autre. La colonne « présente sur la carte » compare au relevé contributif OpenStreetMap et se lit comme un PLANCHER — le rapprochement est volontairement prudent et rate une correspondance plutôt que d'en inventer.",2026-08-21
Bureau de change,Gabel Bureau de change,"Saint-Marc, Angle rues Christophe et Surpris Laurent",oui,Bureau De Change,SRC-053,BRH — listes d'agrément de la supervision bancaire,consulté le 2026-08-21,"Liste des institutions AGRÉÉES, pas des agences : la BRH publie le siège et rien d'autre. La colonne « présente sur la carte » compare au relevé contributif OpenStreetMap et se lit comme un PLANCHER — le rapprochement est volontairement prudent et rate une correspondance plutôt que d'en inventer.",2026-08-21
Bureau de change,Haiti Xchange Bureau,"1A , Impasse vieux, Rue Borno ,Petion Ville",non,,SRC-053,BRH — listes d'agrément de la supervision bancaire,consulté le 2026-08-21,"Liste des institutions AGRÉÉES, pas des agences : la BRH publie le siège et rien d'autre. La colonne « présente sur la carte » compare au relevé contributif OpenStreetMap et se lit comme un PLANCHER — le rapprochement est volontairement prudent et rate une correspondance plutôt que d'en inventer.",2026-08-21
Paiement électronique,HaitiPay SA,"32, Suite 4, rue Latortue, Musseau, Delmas 60 , Haïti",non,,SRC-053,BRH — listes d'agrément de la supervision bancaire,consulté le 2026-08-21,"Liste des institutions AGRÉÉES, pas des agences : la BRH publie le siège et rien d'autre. La colonne « présente sur la carte » compare au relevé contributif OpenStreetMap et se lit comme un PLANCHER — le rapprochement est volontairement prudent et rate une correspondance plutôt que d'en inventer.",2026-08-21
Paiement électronique,"Société National Telecom S.A. (NATCOM, S.A.) / NATCASH","Angle Avenue Martin Luther King et rue Fernand, Pont-Morin, Port-au-Prince , Haïti",oui,ona,SRC-053,BRH — listes d'agrément de la supervision bancaire,consulté le 2026-08-21,"Liste des institutions AGRÉÉES, pas des agences : la BRH publie le siège et rien d'autre. La colonne « présente sur la carte » compare au relevé contributif OpenStreetMap et se lit comme un PLANCHER — le rapprochement est volontairement prudent et rate une correspondance plutôt que d'en inventer.",2026-08-21
Paiement électronique,"Société Générale Haïtienne de Banque S.A. (SOGEBANK, S.A.) / MAGO","Autoroute de Delmas, Delmas 30, Delmas , Haïti",oui,SOGEBANK,SRC-053,BRH — listes d'agrément de la supervision bancaire,consulté le 2026-08-21,"Liste des institutions AGRÉÉES, pas des agences : la BRH publie le siège et rien d'autre. La colonne « présente sur la carte » compare au relevé contributif OpenStreetMap et se lit comme un PLANCHER — le rapprochement est volontairement prudent et rate une correspondance plutôt que d'en inventer.",2026-08-21
Paiement électronique,Unigestion Holding S.A. / MONCASH,"151, angle avenue Jean Paul II et impasse Duverger, Port-au-Prince , Haïti",oui,Mon Cash,SRC-053,BRH — listes d'agrément de la supervision bancaire,consulté le 2026-08-21,"Liste des institutions AGRÉÉES, pas des agences : la BRH publie le siège et rien d'autre. La colonne « présente sur la carte » compare au relevé contributif OpenStreetMap et se lit comme un PLANCHER — le rapprochement est volontairement prudent et rate une correspondance plutôt que d'en inventer.",2026-08-21
Paiement électronique,"Kiskeya Technologies Group, S.A. / KashPaw","8 , Rue Gabart , Pétion Ville , Haïti",non,,SRC-053,BRH — listes d'agrément de la supervision bancaire,consulté le 2026-08-21,"Liste des institutions AGRÉÉES, pas des agences : la BRH publie le siège et rien d'autre. La colonne « présente sur la carte » compare au relevé contributif OpenStreetMap et se lit comme un PLANCHER — le rapprochement est volontairement prudent et rate une correspondance plutôt que d'en inventer.",2026-08-21
Microfinance,"(ACME, SA)","4, Impasse P. Legrand, Puits-Blain, route de Frères, Pétion-Ville",oui,ACME,SRC-053,BRH — listes d'agrément de la supervision bancaire,consulté le 2026-08-21,"Liste des institutions AGRÉÉES, pas des agences : la BRH publie le siège et rien d'autre. La colonne « présente sur la carte » compare au relevé contributif OpenStreetMap et se lit comme un PLANCHER — le rapprochement est volontairement prudent et rate une correspondance plutôt que d'en inventer.",2026-08-21
Microfinance,FONKOZE,"119, Ave Christophe, Port-au-Prince",oui,FONKOZE,SRC-053,BRH — listes d'agrément de la supervision bancaire,consulté le 2026-08-21,"Liste des institutions AGRÉÉES, pas des agences : la BRH publie le siège et rien d'autre. La colonne « présente sur la carte » compare au relevé contributif OpenStreetMap et se lit comme un PLANCHER — le rapprochement est volontairement prudent et rate une correspondance plutôt que d'en inventer.",2026-08-21
Compagnie d'assurance,PROFASA,,non,,SRC-053,BRH — listes d'agrément de la supervision bancaire,consulté le 2026-08-21,"Liste des institutions AGRÉÉES, pas des agences : la BRH publie le siège et rien d'autre. La colonne « présente sur la carte » compare au relevé contributif OpenStreetMap et se lit comme un PLANCHER — le rapprochement est volontairement prudent et rate une correspondance plutôt que d'en inventer.",2026-08-21
Compagnie d'assurance,ASSURANCE LEGER,,non,,SRC-053,BRH — listes d'agrément de la supervision bancaire,consulté le 2026-08-21,"Liste des institutions AGRÉÉES, pas des agences : la BRH publie le siège et rien d'autre. La colonne « présente sur la carte » compare au relevé contributif OpenStreetMap et se lit comme un PLANCHER — le rapprochement est volontairement prudent et rate une correspondance plutôt que d'en inventer.",2026-08-21
Compagnie d'assurance,COMPAGNIE D’ASSURANCE D’HAITI,,non,,SRC-053,BRH — listes d'agrément de la supervision bancaire,consulté le 2026-08-21,"Liste des institutions AGRÉÉES, pas des agences : la BRH publie le siège et rien d'autre. La colonne « présente sur la carte » compare au relevé contributif OpenStreetMap et se lit comme un PLANCHER — le rapprochement est volontairement prudent et rate une correspondance plutôt que d'en inventer.",2026-08-21
Compagnie d'assurance,GROUPEMENT FRANCAIS D’ASSURANCE,,non,,SRC-053,BRH — listes d'agrément de la supervision bancaire,consulté le 2026-08-21,"Liste des institutions AGRÉÉES, pas des agences : la BRH publie le siège et rien d'autre. La colonne « présente sur la carte » compare au relevé contributif OpenStreetMap et se lit comme un PLANCHER — le rapprochement est volontairement prudent et rate une correspondance plutôt que d'en inventer.",2026-08-21
Compagnie d'assurance,ALTERNATIVE INSURANCE COMPANY,,non,,SRC-053,BRH — listes d'agrément de la supervision bancaire,consulté le 2026-08-21,"Liste des institutions AGRÉÉES, pas des agences : la BRH publie le siège et rien d'autre. La colonne « présente sur la carte » compare au relevé contributif OpenStreetMap et se lit comme un PLANCHER — le rapprochement est volontairement prudent et rate une correspondance plutôt que d'en inventer.",2026-08-21
