pcode_commune,atmart_geo_id,nom_commune,lieux_culte_total,chretien,vodou,spiritualiste,musulman,autre,non_renseigne,source_id,licence,attribution,millesime,limite_connue,date_extraction
HT0323,HTC-0323,Milot,9,9,0,0,0,0,0,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0331,HTC-0331,Grande Rivière Du Nord,6,6,0,0,0,0,0,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0332,HTC-0332,Bahon,22,17,5,0,0,0,0,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0341,HTC-0341,Saint-Raphaël,19,13,0,0,0,0,6,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0342,HTC-0342,Dondon,2,1,0,0,0,0,1,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0343,HTC-0343,Ranquitte,20,17,0,0,0,0,3,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0344,HTC-0344,Pignon,18,14,0,0,0,0,4,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0345,HTC-0345,La Victoire,16,13,3,0,0,0,0,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0351,HTC-0351,Borgne,45,16,24,0,0,0,5,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0361,HTC-0361,Limbé,8,8,0,0,0,0,0,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0372,HTC-0372,Pilate,2,2,0,0,0,0,0,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0411,HTC-0411,Fort-Liberté,37,30,1,0,0,1,5,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0412,HTC-0412,Ferrier,25,14,10,0,0,0,1,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0421,HTC-0421,Ouanaminthe,63,44,14,0,0,2,3,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0431,HTC-0431,Trou du Nord,22,15,3,0,0,1,3,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0432,HTC-0432,Sainte Suzanne,6,3,0,0,0,0,3,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0433,HTC-0433,Terrier Rouge,17,14,0,0,0,1,2,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0434,HTC-0434,Caracol,22,20,2,0,0,0,0,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0442,HTC-0442,Carice,1,1,0,0,0,0,0,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0511,HTC-0511,Gonaïves,169,145,3,10,1,0,10,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0512,HTC-0512,Ennery,4,2,0,0,0,0,2,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0513,HTC-0513,L'Estère,7,2,5,0,0,0,0,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0521,HTC-0521,Gros Morne,6,6,0,0,0,0,0,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0523,HTC-0523,Anse Rouge,24,12,0,0,0,0,12,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0531,HTC-0531,Saint-Marc,272,212,55,0,0,0,5,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0532,HTC-0532,Verrettes,7,3,0,0,0,0,4,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0533,HTC-0533,La Chapelle,14,9,5,0,0,0,0,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0541,HTC-0541,Dessalines,16,11,1,0,0,0,4,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0542,HTC-0542,Petite Rivière de l'Artibonite,8,5,1,0,0,0,2,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0543,HTC-0543,Grande Saline,7,5,2,0,0,0,0,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0544,HTC-0544,Desdunes,3,3,0,0,0,0,0,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0551,HTC-0551,Saint-Michel de l'Attalaye,22,20,0,0,0,0,2,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0552,HTC-0552,Marmelade,1,1,0,0,0,0,0,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0611,HTC-0611,Hinche,17,14,0,0,0,0,3,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0612,HTC-0612,Maïssade,2,2,0,0,0,0,0,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0613,HTC-0613,Thomonde,1,0,0,0,0,0,1,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0614,HTC-0614,Cerca Carvajal,28,23,0,0,0,0,5,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0621,HTC-0621,Mirebalais,37,29,7,0,0,0,1,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0622,HTC-0622,Saut d'Eau,20,16,4,0,0,0,0,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0623,HTC-0623,Boucan Carré,18,16,2,0,0,0,0,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0631,HTC-0631,Lascahobas,4,4,0,0,0,0,0,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
