categorie,nom,sigle,numero_inscription,date_reconnaissance,adresse_siege,courriel,domaine_intervention,zones_declarees,departements_reconnus,communes_reconnues,pcodes_communes,methode_rattachement,nationalite,nationalite_source,moniteur,source_id,source,date_extraction,statut_valeur,niveau_qualite,version
ONG enregistrées (registre légal),Action pour le Développement du Nord-Ouest,ADNO,B-0272,25-Sep-00,"Nan Gris Gris, Port-de-Paix, Angle Lalue &amp; Nazon # 86bis",,. Agriculture . Municipalité,Port de Paix Nord-Ouest,Ouest ; Nord ; Nord-Ouest,Port-de-Paix,HT0911,noms reconnus dans le texte libre des zones déclarées,Haïtienne,Haïtienne,# 46 - 31/5/01,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Adventist Development and Relief Agency,SAWS-ADRA,A-0070,26-Aug-85,"70, Diquini 63, Rte de la Mairie, Carrefour BP. 11196, Carrefour",,Santé; Aide Alimentaire,Haïti,,,,zones déclarées non reconnues,Américaine,Américaine,# 68 - 26/9/85,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Afe Neg Combite,ANC,A-0068,25-Jul-85,"Route de Kenscoff, BP. 1703, P-au-P",Kombite@yahoo.frafengcombitgmail.com,Education; Santé; Développement Communautaire,Ouest (Kenscoff),Ouest,Kenscoff,HT0115,noms reconnus dans le texte libre des zones déclarées,Haïtienne,Haïtienne,# 64 - 12/9/85,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),African Methodist Episcopal Church Service And Development Agency,AME/SADA,A-0124,17-Nov-88,"25, Rue 7, Babiole",haiti@ame-sada.org,Santé Communautaire,Santé Communautaire,,,,zones déclarées non reconnues,Africaine,Africaine,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Agence d\&#039;Aide à la Coopération Technique et au Développement,ACTED,B-0382,,"42, Imp. Aubry, Pétion-Ville",,Eau; Santé; Assainissement,"Villes des Gonaïves et les zones rurales environnantes (Com. Ennery, Passe-Rène, Mapou Sou)",,Ennery ; Gonaïves,HT0511 ; HT0512,noms reconnus dans le texte libre des zones déclarées,Française,Française,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Agence Haïtienne de Développement Economique et Social,AHDES,B-0191,5-Jul-95,"92, Route de Bois Boulé, Saint Médard, Arcahaie B.P.15220, PV.",,Agriculture,Arcahaie,,Arcahaie,HT0141,noms reconnus dans le texte libre des zones déclarées,Haïtienne,Haïtienne,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),"Agence Haitienne de Développement Social , Educatif et Environnemental",AHDSEE,B-0602,3-Oct-13,"16, angles des rues bouckman et delmas 49",levymichel04@gmail.com,agriculture,"plateau central,commune saut-d&#039;eau",,,,zones déclarées non reconnues,Haïtienne,Haitienne,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Agence Pentecostale de Service Social,ASSPEN,B-0436,3-Mar-08,"1A, Duplan, Fermathe (à côté de l&#039;Eglise Catholique)",,. Assistance Sociale,Fermathe,,,,zones déclarées non reconnues,Haïtienne,Haïtienne,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Agrisud,AGRISUD,B-0591,16-Apr-15,"Dubout,Veterined, Limonade, route Nationale #6",,Agriculture,"Limbe, Bas-limbe, Limonade",,Bas Limbé ; Limbé ; Limonade,HT0313 ; HT0361 ; HT0362,noms reconnus dans le texte libre des zones déclarées,Française,Française,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Agro Action Allemande,AAA,B-0211,11-Jan-96,"52, Rue Mangonès, Berthé, Pétion-Ville",hti.pap.bra@welthungerlife.de,Agriculture; Education,Nord\\\&#039;Ouest Ile de la Tortue Artibonite Sud\\\&#039;Est Ouest,Ouest ; Nord ; Artibonite ; Sud,La Tortue,HT0912,noms reconnus dans le texte libre des zones déclarées,Allemande,Allemande,22/2/95,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Aid to Artisans,ATA,B-0245,12-Sep-02,,,,,,,,aucune zone déclarée au registre,Haïtienne,Haïtienne,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Aide de l&#039;Eglise Norvegienne / Norwegian Church Aid,NCA,B-0536,3-Aug-11,"Rue Boisrond Canal(Puits Blain)Route de Freres,Petion Ville",nca-oslo@nca.no,Eau et Assainissement,Cite Soleil,,Cité Soleil,HT0117,noms reconnus dans le texte libre des zones déclarées,Norvegienne,Norvegienne,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Aide et Action,AeA,B-0378,16-Aug-05,"3, Imp Dumont, Rue Garnier Bourdon HT6111 B.P 19077 P-au-P www.aide-et-action.org",info@aide-et-action.org,Education,Artibonite (Marchand Dessalines) Nippes Centre,Artibonite ; Centre ; Nippes,Dessalines,HT0541,noms reconnus dans le texte libre des zones déclarées,Française,Française,5/8/2006,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Aide Médicale Internationale,AMI,B-0308,25-Nov-02,"77, Rue Tippenauer, Route de Frères",,Santé,Saint-Michel de l&#039;Attalaye,,,,zones déclarées non reconnues,Française,Française,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Aide Suisse à l&#039;Action Communautaire en Haïti,ASACH,A-0136,26-Apr-89,"204, Constantin Mayard, BP. 15005, P-V",,Education,Education,,,,zones déclarées non reconnues,Suisse,Suisse,# 67-A - 31/8/89,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Aids Healthcare Foundation,AHF,B-0512,28-Apr-11,"14,rue Garnier ,Bourdon, P-au-Pce",,Sante,Ouest/Commune de Tabarre,Ouest,Tabarre,HT0118,noms reconnus dans le texte libre des zones déclarées,Américaine,Americaine,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),"All Hands Volunteers ,Inc /Ci-devant Hands on Disaster Response",HODR,B-0576,24-Sep-12,,,,,,,,aucune zone déclarée au registre,,,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Alliance d&#039;Action Chrétienne,AAC,B-0409,25-Sep-06,"5, Impasse Registre, Thomassin 32",,Education; Santé; Alphabétisation,Pélerin Courlette Turin Thomassin Régions avoisinantes de Pétion-Ville,,Pétion-Ville,HT0114,noms reconnus dans le texte libre des zones déclarées,Haïtienne,Haïtienne,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Alliance d&#039;Amour,AA,B-0217,22-Dec-95,"79, Imp. Eddy, Carrefour-Feuilles",,Assistance Sociale,Port-au-Prince Léogane,,Léogâne ; Port-au-Prince,HT0111 ; HT0121,noms reconnus dans le texte libre des zones déclarées,Haïtienne,Haïtienne,18/3/96,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Alliance for International Medical Action,ALIMA,B-0569,29-Aug-12,"13,rue Armand Holly,Debussy,Turgeau",haiti.rp@alima-ngo.orghaiti.confirh,Sante,"Croix-des-bouquets, Kenscoff,Petion-ville",,Croix-Des-Bouquets ; Kenscoff ; Pétion-Ville,HT0114 ; HT0115 ; HT0131,noms reconnus dans le texte libre des zones déclarées,,,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Alliance Nationale des Directeurs de Programme Sida des Etats et Territoires(National Alliance of State and Territorial Aids Directors),NASTAD,B-0480,5-Jul-10,"10,Delmas 81",,Sante,Ouest,Ouest,,,noms reconnus dans le texte libre des zones déclarées,Américaine,Americaine,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Alliance pour l&#039;Enfance et le Developpement Communautaire,AEDC,A-0027,13-Jun-84,"8, Imp. Baron, Turgeau",,Agriculture Education Devt communautaire,Agriculture Education Devt communautaire,,,,zones déclarées non reconnues,Haïtienne,Haïtienne,"# 76, 29/10/84",SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),American Friends Service Commite,AFSC,B-0241,10-Apr-96,"Delmas 71, rue Fougère, P-au-P",,Assistance Sociale; Agriculture; Santé; Education,Grand&#039;Anse,,,,zones déclarées non reconnues,Américaine,Américaine,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),American Refugee Committee,ARC,B-0548,21-Oct-11,"9,Delmas 75",haitihradmin@archq.org,Sante,Delmas,,Delmas,HT0112,noms reconnus dans le texte libre des zones déclarées,Américaine,Americaine,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Amicale des Saint-Marcois Reunis,L&#039;AMICALE,B-0159,13-Aug-93,,,,,,,,aucune zone déclarée au registre,Haïtienne,Haïtienne,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),An nou Lite Pou Ayiti Miyò,ALPAM,B-0653,9-Jun-20,"Rue des fleurs, chantilly, camp perrin",Mdenis@alpamgroup.org,Sud/ Grand-Anse,education - Sante -Psycho Social,,,,zones déclarées non reconnues,Haïtienne,Haitienne,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Ananda Marga-Universal Relief Team,AMURT,B-0424,10-Oct-07,"8, Rue Monitor, Delmas 33",haiti@amurt.net,Education; Assistance Sociale,Ouest (Bourdon),Ouest,,,noms reconnus dans le texte libre des zones déclarées,Haïtienne,Haïtienne,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Annavan Ayiti,AA,B-0660,26-Mai-2021,"52,TABARRE 70, Torcel, Haiti",graciadesforges@hotmail.com,Sante,Sante,,,,zones déclarées non reconnues,Haïtienne,Haitienne,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Ansanm pou yon Demen Miyó an Ayiti,ADEMA,B-0613,19-Fev-15,"#76,boulevard 15 octobre, route de tabarre",association@ademahaiti.org,education,jean rabel,,Jean Rabel,HT0934,noms reconnus dans le texte libre des zones déclarées,Haïtienne,Haitienne,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Arbeiter-Samariter-Bund Deutschland E.V.,ASB,B-0671,,,,,,,,,aucune zone déclarée au registre,,,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Arbo de Vivo Haiti,ADVH,B-0471,23-Mar-10,"Rue Manno Sanon, Vaudreuil, Cap Haitien",,Agriculture,La Source (localite de Fort-Liberté),,Fort-Liberté,HT0411,noms reconnus dans le texte libre des zones déclarées,Haïtienne,Haïtienne,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Architectes Sans Frontières Espagne,ASF-E,B-0395,10-Jul-06,"2 bis, Rue Kernisant, Delmas 33",,Agriculture; Education; Environnement,Anse-à-Pitre,,Anse-à-Pître,HT0234,noms reconnus dans le texte libre des zones déclarées,Espagnole,Espagnole,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Armée du Salut,AS,A-0063,5-Jul-85,"20, Delmas 2, BP. 301, P-AU-P",,Education; Santé; Assistance Sociale,Sud Ouest,Ouest ; Sud,,,noms reconnus dans le texte libre des zones déclarées,Américaine,Americaine,# 74 - 21/11/85,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Asamblea de Cooperacion Por la Paz,ACPP,B-0435,27-Feb-08,"Lamandon 1, à côté du Saint Sosyal Lakonbit",,Agriculture,"Belle-Anse, Marbial, Calumette, Corail Lamothe",,Belle-Anse ; Corail,HT0231 ; HT0831,noms reconnus dans le texte libre des zones déclarées,Espagnole,Espagnole,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Asosyasyon Peyizan Fondwa,APF,B-0465,24-Aug-09,"31,Rue Cheriez(Angles Rues Bois Patate et FausTin 1er)",apf222@aol.com,Education,Sud-Est,Sud ; Sud-Est,,,noms reconnus dans le texte libre des zones déclarées,Haïtienne,Haïtienne,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Assemblée Spirituelle Nationale des Bahai\&#039;s d\&#039;Haïti,ASN,A-0012,15-Dec-83,"22-24, Ave Ducoste BP. 1247, P-au-P",,Education; Agriculture,Ouest Artibonite,Ouest ; Artibonite,,,noms reconnus dans le texte libre des zones déclarées,Haïtienne,Haïtienne,# 18 - 5/3/84,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Assistance Medicale d&#039;Urgence Internationale / Medical Emergency Relief International,MERLIN,B-0511,31-Mar-11,"8,rue Simon, Delmas 83",hq@merlin.org.uk,Sante,Aire Metropolitaine de Port-au-Prince/Petit-Goave/Grd Goave,,Petit-Goâve ; Port-au-Prince,HT0111 ; HT0122,noms reconnus dans le texte libre des zones déclarées,Britanique,Britanique,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Association Arche d&#039;Haïti,AAH,A-0015,4-Jan-84,"Thor 67, Rue Oran, BP. 11075, Carrefour",,Aide aux Handi-capés,Sud Ouest,Ouest ; Sud,,,noms reconnus dans le texte libre des zones déclarées,Haïtienne,Haïtienne,# 22 - 19/3/84,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Association d&#039;Aide aux Enfants Deshérités Haïtiens,AAEDH,A-0099,8-Apr-87,"13, Ruelle Berne, Bois-Verna",,Education; Santé; Développement Communautaire,Ouest,Ouest,,,noms reconnus dans le texte libre des zones déclarées,Haïtienne,Haïtienne,# 64 - 6/8/87,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Association d&#039;Assistance Medicale aux Humbles,AAMH,A-0052,28-Nov-84,"2, Imp. Rigaud, Bois Verna",,Sante Education Assistance Sociale,Sante Education Assistance Sociale,,,,zones déclarées non reconnues,Haïtienne,Haïtienne,#6 - 21/1/85,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Association d&#039;Encadrement pour le Développement de l&#039;Arrière-Pays,AEDAP,A-0018,8-Feb-84,"Delmas 29 # 16, rue des Miracles # 96",,Education; Agriculture; Développement Communautaire,Sud,Sud,,,noms reconnus dans le texte libre des zones déclarées,Haïtienne,Haïtienne,# 37 27/5/84,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Association des Eglises Missionnaires,AEM,A-0053,20-Dec-84,"Delmas 41, rue Faustin 1er # 13",,Agriculture; Santé; Education,Centre Nord-Est Sud-Est,Nord ; Nord-Est ; Centre ; Sud ; Sud-Est,,,noms reconnus dans le texte libre des zones déclarées,Américaine,Américaine,# 67 - 23/9/85,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Association des Familles et des Femmes pour le Developpement du Plateau Central,AFFDPC,B-0470,23-Nov-09,"170, Rue Toussaint Louverture, Hinche",affdechinche@yahoo.fr,Agriculture; Santé; Education,Hinche Cerca Cavajal,,Hinche,HT0611,noms reconnus dans le texte libre des zones déclarées,Haïtienne,Haïtienne,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Association des Oeuvres Privées de Santé,AOPS,A-0001,3-Jul-83,"Rue Borno # 41, P-V, BP1389, Delmas",lealyarcher@gmail.com,Santé,Haïti,,,,zones déclarées non reconnues,Haïtienne,Haïtienne,# 71 - 4/10/84,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Association des Paysans de Value,APV,A-0137,26-Apr-89,"Vallue, 12e. Section communale de Petit-Goâve BP.11014, Carrefour",apvallue@gmail.com,Santé; Education; Agriculture,Ouest (Vallue),Ouest,,,noms reconnus dans le texte libre des zones déclarées,Haïtienne,Haïtienne,# 67-A - 31/8/89,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Association For Aid and Relief Japan,AAR-JAPAN,B-0565,,"Imp. Chacha Laguerre, route de freres,vivy Mitchel",,"Assistance sociale, Assistance technique",port-au-prine et les zones environnantes,,,,zones déclarées non reconnues,,,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Association Haïtienne d&#039;Aide aux Enfants Nécessiteux et au Relèvement des Communes de l&#039;Artibonite,ASENACA,B-0183,26-May-95,"49, Angle Rues Chavanes-Geffrard, Pétion-Ville",,Agriculture,Artibonite (Marmelade),Artibonite,Marmelade,HT0552,noms reconnus dans le texte libre des zones déclarées,Haïtienne,Haïtienne,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Association Haïtienne des Agences Bénévoles,HAVA,A-0064,5-Jul-85,"Rue Chochotte, Babiole, BP.2481, P-au-P",,Association d&#039;ONG,Association d&#039;ONG,,,,zones déclarées non reconnues,Haïtienne,Haïtienne,# 64 - 12/9/85,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Association Haïtienne pour la Maîtrise des Eaux et des Sols,ASSODLO,B-0150,,,,,,,,,aucune zone déclarée au registre,,,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Association Haïtienne pour la Maitrise des Eaux et des Sols,ASSODLO,B-0150,,"3, Vallée Michel, Kenskoff 72",assodlo@yahoo.fr,,,,,,aucune zone déclarée au registre,Haïtienne,Haïtienne,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Association Haïtienne pour la Promotion d\&#039;un Développement Autonome,PRODEVA,B-0280,5-Jun-01,"60, Tabarre 76, Blvd 15 Octobre",,. Agriculture . Santé . Hydraulogie . Education,Artibonite: Ennery,Artibonite,Ennery,HT0512,noms reconnus dans le texte libre des zones déclarées,Haïtienne,Haïtienne,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Association Haïtienne Pour le Développement Local,AHDL,B-0401,25-Sep-06,"Eden Plaza, Apt 109, Rue Rigaud, Pétion-Ville",,Education; Santé; Développement; Formation,"Deslandes, 4e Section Communale de Savanne-à-Roche (Petite Rivière)",,,,zones déclarées non reconnues,Haïtienne,Haïtienne,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Association Konbit Neg Lakay,KONELAK,A-0069,26-Jul-85,"509, Haut Delmas",,Agriculture; Santé; Education; Développement Communautaire,Agriculture; Santé; Education; Développement Communautaire,,,,zones déclarées non reconnues,Haïtienne,Haïtienne,# 68 - 26/9/85,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
