atmart_id,source_id,pcode,niveau,nom_fr,nom_ht,parent_id,millesime,date_debut_validite,date_fin_validite,source,statut,note_divergence
HTA-023,HT023,,arrondissement,Belle-Anse,Bèlans,HTD-02,CNIGS 2018,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti (structure du p-code),en vigueur dans ce millesime,"Millesime CNIGS en vigueur au 29/11/2018, republie par OCHA le 26/01/2026. Des referentiels haitiens plus recents reconnaissent des communes creees apres cette date : leur absence ici ne signifie pas qu'elles n'existent pas."
HTA-031,HT031,,arrondissement,Cap-Haïtien,Kap Ayisyen,HTD-03,CNIGS 2018,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti (structure du p-code),en vigueur dans ce millesime,"Millesime CNIGS en vigueur au 29/11/2018, republie par OCHA le 26/01/2026. Des referentiels haitiens plus recents reconnaissent des communes creees apres cette date : leur absence ici ne signifie pas qu'elles n'existent pas."
HTA-032,HT032,,arrondissement,Acul du Nord,Akil dinò,HTD-03,CNIGS 2018,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti (structure du p-code),en vigueur dans ce millesime,"Millesime CNIGS en vigueur au 29/11/2018, republie par OCHA le 26/01/2026. Des referentiels haitiens plus recents reconnaissent des communes creees apres cette date : leur absence ici ne signifie pas qu'elles n'existent pas."
HTA-033,HT033,,arrondissement,Grande Rivière Du Nord,Grann Rivyè dinò,HTD-03,CNIGS 2018,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti (structure du p-code),en vigueur dans ce millesime,"Millesime CNIGS en vigueur au 29/11/2018, republie par OCHA le 26/01/2026. Des referentiels haitiens plus recents reconnaissent des communes creees apres cette date : leur absence ici ne signifie pas qu'elles n'existent pas."
HTA-034,HT034,,arrondissement,Saint-Raphaël,Sen Rafayèl,HTD-03,CNIGS 2018,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti (structure du p-code),en vigueur dans ce millesime,"Millesime CNIGS en vigueur au 29/11/2018, republie par OCHA le 26/01/2026. Des referentiels haitiens plus recents reconnaissent des communes creees apres cette date : leur absence ici ne signifie pas qu'elles n'existent pas."
HTA-035,HT035,,arrondissement,Borgne,Bòn,HTD-03,CNIGS 2018,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti (structure du p-code),en vigueur dans ce millesime,"Millesime CNIGS en vigueur au 29/11/2018, republie par OCHA le 26/01/2026. Des referentiels haitiens plus recents reconnaissent des communes creees apres cette date : leur absence ici ne signifie pas qu'elles n'existent pas."
HTA-036,HT036,,arrondissement,Limbé,Lenbe,HTD-03,CNIGS 2018,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti (structure du p-code),en vigueur dans ce millesime,"Millesime CNIGS en vigueur au 29/11/2018, republie par OCHA le 26/01/2026. Des referentiels haitiens plus recents reconnaissent des communes creees apres cette date : leur absence ici ne signifie pas qu'elles n'existent pas."
HTA-037,HT037,,arrondissement,Plaisance,Plezans,HTD-03,CNIGS 2018,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti (structure du p-code),en vigueur dans ce millesime,"Millesime CNIGS en vigueur au 29/11/2018, republie par OCHA le 26/01/2026. Des referentiels haitiens plus recents reconnaissent des communes creees apres cette date : leur absence ici ne signifie pas qu'elles n'existent pas."
HTA-041,HT041,,arrondissement,Fort-Liberté,Fòlibète,HTD-04,CNIGS 2018,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti (structure du p-code),en vigueur dans ce millesime,"Millesime CNIGS en vigueur au 29/11/2018, republie par OCHA le 26/01/2026. Des referentiels haitiens plus recents reconnaissent des communes creees apres cette date : leur absence ici ne signifie pas qu'elles n'existent pas."
HTA-042,HT042,,arrondissement,Ouanaminthe,Wanament,HTD-04,CNIGS 2018,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti (structure du p-code),en vigueur dans ce millesime,"Millesime CNIGS en vigueur au 29/11/2018, republie par OCHA le 26/01/2026. Des referentiels haitiens plus recents reconnaissent des communes creees apres cette date : leur absence ici ne signifie pas qu'elles n'existent pas."
HTA-043,HT043,,arrondissement,Trou du Nord,Twou dinò,HTD-04,CNIGS 2018,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti (structure du p-code),en vigueur dans ce millesime,"Millesime CNIGS en vigueur au 29/11/2018, republie par OCHA le 26/01/2026. Des referentiels haitiens plus recents reconnaissent des communes creees apres cette date : leur absence ici ne signifie pas qu'elles n'existent pas."
HTA-044,HT044,,arrondissement,Vallières,Valyè,HTD-04,CNIGS 2018,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti (structure du p-code),en vigueur dans ce millesime,"Millesime CNIGS en vigueur au 29/11/2018, republie par OCHA le 26/01/2026. Des referentiels haitiens plus recents reconnaissent des communes creees apres cette date : leur absence ici ne signifie pas qu'elles n'existent pas."
HTA-051,HT051,,arrondissement,Gonaïves,Gonayiv,HTD-05,CNIGS 2018,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti (structure du p-code),en vigueur dans ce millesime,"Millesime CNIGS en vigueur au 29/11/2018, republie par OCHA le 26/01/2026. Des referentiels haitiens plus recents reconnaissent des communes creees apres cette date : leur absence ici ne signifie pas qu'elles n'existent pas."
HTA-052,HT052,,arrondissement,Gros Morne,Gro Mòn,HTD-05,CNIGS 2018,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti (structure du p-code),en vigueur dans ce millesime,"Millesime CNIGS en vigueur au 29/11/2018, republie par OCHA le 26/01/2026. Des referentiels haitiens plus recents reconnaissent des communes creees apres cette date : leur absence ici ne signifie pas qu'elles n'existent pas."
HTA-053,HT053,,arrondissement,Saint-Marc,Sen Mak,HTD-05,CNIGS 2018,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti (structure du p-code),en vigueur dans ce millesime,"Millesime CNIGS en vigueur au 29/11/2018, republie par OCHA le 26/01/2026. Des referentiels haitiens plus recents reconnaissent des communes creees apres cette date : leur absence ici ne signifie pas qu'elles n'existent pas."
HTA-054,HT054,,arrondissement,Dessalines,Desalin,HTD-05,CNIGS 2018,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti (structure du p-code),en vigueur dans ce millesime,"Millesime CNIGS en vigueur au 29/11/2018, republie par OCHA le 26/01/2026. Des referentiels haitiens plus recents reconnaissent des communes creees apres cette date : leur absence ici ne signifie pas qu'elles n'existent pas."
HTA-055,HT055,,arrondissement,Saint-Michel de l'Attalaye,Sen Michèl Latalay,HTD-05,CNIGS 2018,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti (structure du p-code),en vigueur dans ce millesime,"Millesime CNIGS en vigueur au 29/11/2018, republie par OCHA le 26/01/2026. Des referentiels haitiens plus recents reconnaissent des communes creees apres cette date : leur absence ici ne signifie pas qu'elles n'existent pas."
HTA-061,HT061,,arrondissement,Hinche,Ench,HTD-06,CNIGS 2018,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti (structure du p-code),en vigueur dans ce millesime,"Millesime CNIGS en vigueur au 29/11/2018, republie par OCHA le 26/01/2026. Des referentiels haitiens plus recents reconnaissent des communes creees apres cette date : leur absence ici ne signifie pas qu'elles n'existent pas."
HTA-062,HT062,,arrondissement,Mirebalais,Mibalè,HTD-06,CNIGS 2018,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti (structure du p-code),en vigueur dans ce millesime,"Millesime CNIGS en vigueur au 29/11/2018, republie par OCHA le 26/01/2026. Des referentiels haitiens plus recents reconnaissent des communes creees apres cette date : leur absence ici ne signifie pas qu'elles n'existent pas."
HTA-063,HT063,,arrondissement,Lascahobas,Laskawobas,HTD-06,CNIGS 2018,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti (structure du p-code),en vigueur dans ce millesime,"Millesime CNIGS en vigueur au 29/11/2018, republie par OCHA le 26/01/2026. Des referentiels haitiens plus recents reconnaissent des communes creees apres cette date : leur absence ici ne signifie pas qu'elles n'existent pas."
HTA-064,HT064,,arrondissement,Cerca La Source,Sèka Lasous,HTD-06,CNIGS 2018,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti (structure du p-code),en vigueur dans ce millesime,"Millesime CNIGS en vigueur au 29/11/2018, republie par OCHA le 26/01/2026. Des referentiels haitiens plus recents reconnaissent des communes creees apres cette date : leur absence ici ne signifie pas qu'elles n'existent pas."
HTA-071,HT071,,arrondissement,Les Cayes,Okay,HTD-07,CNIGS 2018,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti (structure du p-code),en vigueur dans ce millesime,"Millesime CNIGS en vigueur au 29/11/2018, republie par OCHA le 26/01/2026. Des referentiels haitiens plus recents reconnaissent des communes creees apres cette date : leur absence ici ne signifie pas qu'elles n'existent pas."
HTA-072,HT072,,arrondissement,Port-Salut,Pò Sali,HTD-07,CNIGS 2018,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti (structure du p-code),en vigueur dans ce millesime,"Millesime CNIGS en vigueur au 29/11/2018, republie par OCHA le 26/01/2026. Des referentiels haitiens plus recents reconnaissent des communes creees apres cette date : leur absence ici ne signifie pas qu'elles n'existent pas."
HTA-073,HT073,,arrondissement,Aquin,Aken,HTD-07,CNIGS 2018,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti (structure du p-code),en vigueur dans ce millesime,"Millesime CNIGS en vigueur au 29/11/2018, republie par OCHA le 26/01/2026. Des referentiels haitiens plus recents reconnaissent des communes creees apres cette date : leur absence ici ne signifie pas qu'elles n'existent pas."
HTA-074,HT074,,arrondissement,Côteaux,Okoto,HTD-07,CNIGS 2018,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti (structure du p-code),en vigueur dans ce millesime,"Millesime CNIGS en vigueur au 29/11/2018, republie par OCHA le 26/01/2026. Des referentiels haitiens plus recents reconnaissent des communes creees apres cette date : leur absence ici ne signifie pas qu'elles n'existent pas."
HTA-075,HT075,,arrondissement,Chardonnières,Chadonyè,HTD-07,CNIGS 2018,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti (structure du p-code),en vigueur dans ce millesime,"Millesime CNIGS en vigueur au 29/11/2018, republie par OCHA le 26/01/2026. Des referentiels haitiens plus recents reconnaissent des communes creees apres cette date : leur absence ici ne signifie pas qu'elles n'existent pas."
HTA-081,HT081,,arrondissement,Jérémie,Jeremi,HTD-08,CNIGS 2018,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti (structure du p-code),en vigueur dans ce millesime,"Millesime CNIGS en vigueur au 29/11/2018, republie par OCHA le 26/01/2026. Des referentiels haitiens plus recents reconnaissent des communes creees apres cette date : leur absence ici ne signifie pas qu'elles n'existent pas."
HTA-082,HT082,,arrondissement,Anse d'Hainault,Ansdeno,HTD-08,CNIGS 2018,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti (structure du p-code),en vigueur dans ce millesime,"Millesime CNIGS en vigueur au 29/11/2018, republie par OCHA le 26/01/2026. Des referentiels haitiens plus recents reconnaissent des communes creees apres cette date : leur absence ici ne signifie pas qu'elles n'existent pas."
HTA-083,HT083,,arrondissement,Corail,Koray,HTD-08,CNIGS 2018,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti (structure du p-code),en vigueur dans ce millesime,"Millesime CNIGS en vigueur au 29/11/2018, republie par OCHA le 26/01/2026. Des referentiels haitiens plus recents reconnaissent des communes creees apres cette date : leur absence ici ne signifie pas qu'elles n'existent pas."
HTA-091,HT091,,arrondissement,Port-de-Paix,Pòdpè,HTD-09,CNIGS 2018,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti (structure du p-code),en vigueur dans ce millesime,"Millesime CNIGS en vigueur au 29/11/2018, republie par OCHA le 26/01/2026. Des referentiels haitiens plus recents reconnaissent des communes creees apres cette date : leur absence ici ne signifie pas qu'elles n'existent pas."
HTA-092,HT092,,arrondissement,Saint-Louis du Nord,Sen Lwi dinò,HTD-09,CNIGS 2018,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti (structure du p-code),en vigueur dans ce millesime,"Millesime CNIGS en vigueur au 29/11/2018, republie par OCHA le 26/01/2026. Des referentiels haitiens plus recents reconnaissent des communes creees apres cette date : leur absence ici ne signifie pas qu'elles n'existent pas."
HTA-093,HT093,,arrondissement,Môle Saint Nicolas,Mòl Sen Nikola,HTD-09,CNIGS 2018,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti (structure du p-code),en vigueur dans ce millesime,"Millesime CNIGS en vigueur au 29/11/2018, republie par OCHA le 26/01/2026. Des referentiels haitiens plus recents reconnaissent des communes creees apres cette date : leur absence ici ne signifie pas qu'elles n'existent pas."
HTA-101,HT101,,arrondissement,Miragoâne,Miragwàn,HTD-10,CNIGS 2018,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti (structure du p-code),en vigueur dans ce millesime,"Millesime CNIGS en vigueur au 29/11/2018, republie par OCHA le 26/01/2026. Des referentiels haitiens plus recents reconnaissent des communes creees apres cette date : leur absence ici ne signifie pas qu'elles n'existent pas."
HTA-102,HT102,,arrondissement,Anse-à-Veau,Ansavo,HTD-10,CNIGS 2018,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti (structure du p-code),en vigueur dans ce millesime,"Millesime CNIGS en vigueur au 29/11/2018, republie par OCHA le 26/01/2026. Des referentiels haitiens plus recents reconnaissent des communes creees apres cette date : leur absence ici ne signifie pas qu'elles n'existent pas."
HTA-103,HT103,,arrondissement,Baradères,Baradè,HTD-10,CNIGS 2018,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti (structure du p-code),en vigueur dans ce millesime,"Millesime CNIGS en vigueur au 29/11/2018, republie par OCHA le 26/01/2026. Des referentiels haitiens plus recents reconnaissent des communes creees apres cette date : leur absence ici ne signifie pas qu'elles n'existent pas."
HTC-0111,HT0111,HT0111,commune,Port-au-Prince,Pòtoprens,HTA-011,CNIGS 2018,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti,en vigueur dans ce millesime,"Millesime CNIGS en vigueur au 29/11/2018, republie par OCHA le 26/01/2026. Des referentiels haitiens plus recents reconnaissent des communes creees apres cette date : leur absence ici ne signifie pas qu'elles n'existent pas."
HTC-0112,HT0112,HT0112,commune,Delmas,Dèlma,HTA-011,CNIGS 2018,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti,en vigueur dans ce millesime,"Millesime CNIGS en vigueur au 29/11/2018, republie par OCHA le 26/01/2026. Des referentiels haitiens plus recents reconnaissent des communes creees apres cette date : leur absence ici ne signifie pas qu'elles n'existent pas."
HTC-0113,HT0113,HT0113,commune,Carrefour,Kafou,HTA-011,CNIGS 2018,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti,en vigueur dans ce millesime,"Millesime CNIGS en vigueur au 29/11/2018, republie par OCHA le 26/01/2026. Des referentiels haitiens plus recents reconnaissent des communes creees apres cette date : leur absence ici ne signifie pas qu'elles n'existent pas."
HTC-0114,HT0114,HT0114,commune,Pétion-Ville,Petyonvil,HTA-011,CNIGS 2018,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti,en vigueur dans ce millesime,"Millesime CNIGS en vigueur au 29/11/2018, republie par OCHA le 26/01/2026. Des referentiels haitiens plus recents reconnaissent des communes creees apres cette date : leur absence ici ne signifie pas qu'elles n'existent pas."
HTC-0115,HT0115,HT0115,commune,Kenscoff,Kenskòf,HTA-011,CNIGS 2018,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti,en vigueur dans ce millesime,"Millesime CNIGS en vigueur au 29/11/2018, republie par OCHA le 26/01/2026. Des referentiels haitiens plus recents reconnaissent des communes creees apres cette date : leur absence ici ne signifie pas qu'elles n'existent pas."
HTC-0116,HT0116,HT0116,commune,Gressier,Gresye,HTA-011,CNIGS 2018,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti,en vigueur dans ce millesime,"Millesime CNIGS en vigueur au 29/11/2018, republie par OCHA le 26/01/2026. Des referentiels haitiens plus recents reconnaissent des communes creees apres cette date : leur absence ici ne signifie pas qu'elles n'existent pas."
HTC-0117,HT0117,HT0117,commune,Cité Soleil,Site Solèy,HTA-011,CNIGS 2018,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti,en vigueur dans ce millesime,"Millesime CNIGS en vigueur au 29/11/2018, republie par OCHA le 26/01/2026. Des referentiels haitiens plus recents reconnaissent des communes creees apres cette date : leur absence ici ne signifie pas qu'elles n'existent pas."
HTC-0118,HT0118,HT0118,commune,Tabarre,Taba,HTA-011,CNIGS 2018,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti,en vigueur dans ce millesime,"Millesime CNIGS en vigueur au 29/11/2018, republie par OCHA le 26/01/2026. Des referentiels haitiens plus recents reconnaissent des communes creees apres cette date : leur absence ici ne signifie pas qu'elles n'existent pas."
HTC-0121,HT0121,HT0121,commune,Léogâne,Leyogàn,HTA-012,CNIGS 2018,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti,en vigueur dans ce millesime,"Millesime CNIGS en vigueur au 29/11/2018, republie par OCHA le 26/01/2026. Des referentiels haitiens plus recents reconnaissent des communes creees apres cette date : leur absence ici ne signifie pas qu'elles n'existent pas."
HTC-0122,HT0122,HT0122,commune,Petit-Goâve,Tigwav,HTA-012,CNIGS 2018,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti,en vigueur dans ce millesime,"Millesime CNIGS en vigueur au 29/11/2018, republie par OCHA le 26/01/2026. Des referentiels haitiens plus recents reconnaissent des communes creees apres cette date : leur absence ici ne signifie pas qu'elles n'existent pas."
HTC-0123,HT0123,HT0123,commune,Grand-Goâve,Gran Gwav,HTA-012,CNIGS 2018,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti,en vigueur dans ce millesime,"Millesime CNIGS en vigueur au 29/11/2018, republie par OCHA le 26/01/2026. Des referentiels haitiens plus recents reconnaissent des communes creees apres cette date : leur absence ici ne signifie pas qu'elles n'existent pas."
HTC-0131,HT0131,HT0131,commune,Croix-Des-Bouquets,Kwadèboukè,HTA-013,CNIGS 2018,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti,en vigueur dans ce millesime,"Millesime CNIGS en vigueur au 29/11/2018, republie par OCHA le 26/01/2026. Des referentiels haitiens plus recents reconnaissent des communes creees apres cette date : leur absence ici ne signifie pas qu'elles n'existent pas."
HTC-0132,HT0132,HT0132,commune,Thomazeau,Tomazo,HTA-013,CNIGS 2018,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti,en vigueur dans ce millesime,"Millesime CNIGS en vigueur au 29/11/2018, republie par OCHA le 26/01/2026. Des referentiels haitiens plus recents reconnaissent des communes creees apres cette date : leur absence ici ne signifie pas qu'elles n'existent pas."
HTC-0133,HT0133,HT0133,commune,Ganthier,Gantye,HTA-013,CNIGS 2018,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti,en vigueur dans ce millesime,"Millesime CNIGS en vigueur au 29/11/2018, republie par OCHA le 26/01/2026. Des referentiels haitiens plus recents reconnaissent des communes creees apres cette date : leur absence ici ne signifie pas qu'elles n'existent pas."
HTC-0134,HT0134,HT0134,commune,Cornillon / Grand Bois,Kòniyon / Gran Bwa,HTA-013,CNIGS 2018,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti,en vigueur dans ce millesime,"Millesime CNIGS en vigueur au 29/11/2018, republie par OCHA le 26/01/2026. Des referentiels haitiens plus recents reconnaissent des communes creees apres cette date : leur absence ici ne signifie pas qu'elles n'existent pas."
HTC-0135,HT0135,HT0135,commune,Fonds-Verrettes,Fonvèrèt,HTA-013,CNIGS 2018,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti,en vigueur dans ce millesime,"Millesime CNIGS en vigueur au 29/11/2018, republie par OCHA le 26/01/2026. Des referentiels haitiens plus recents reconnaissent des communes creees apres cette date : leur absence ici ne signifie pas qu'elles n'existent pas."
HTC-0141,HT0141,HT0141,commune,Arcahaie,Akayè,HTA-014,CNIGS 2018,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti,en vigueur dans ce millesime,"Millesime CNIGS en vigueur au 29/11/2018, republie par OCHA le 26/01/2026. Des referentiels haitiens plus recents reconnaissent des communes creees apres cette date : leur absence ici ne signifie pas qu'elles n'existent pas."
HTC-0142,HT0142,HT0142,commune,Cabaret,Kabarè,HTA-014,CNIGS 2018,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti,en vigueur dans ce millesime,"Millesime CNIGS en vigueur au 29/11/2018, republie par OCHA le 26/01/2026. Des referentiels haitiens plus recents reconnaissent des communes creees apres cette date : leur absence ici ne signifie pas qu'elles n'existent pas."
HTC-0151,HT0151,HT0151,commune,Anse à Galets,Ansa galè ,HTA-015,CNIGS 2018,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti,en vigueur dans ce millesime,"Millesime CNIGS en vigueur au 29/11/2018, republie par OCHA le 26/01/2026. Des referentiels haitiens plus recents reconnaissent des communes creees apres cette date : leur absence ici ne signifie pas qu'elles n'existent pas."
HTC-0152,HT0152,HT0152,commune,Pointe à Raquette,Pwent a Rakèt,HTA-015,CNIGS 2018,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti,en vigueur dans ce millesime,"Millesime CNIGS en vigueur au 29/11/2018, republie par OCHA le 26/01/2026. Des referentiels haitiens plus recents reconnaissent des communes creees apres cette date : leur absence ici ne signifie pas qu'elles n'existent pas."
