departement,sens,periode,periode_libelle,montant_usd,part_pourcent,source_id,source,licence,attribution,limite_connue,date_extraction
Artibonite,expédié,2022-2023,exercice fiscal 2022-2023,15807853.17,6.227,SRC-061,"BRH — BRH-Infos à la loupe n° 1, avril 2024","Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, « BRH-Infos à la loupe » n° 1, avril 2024 : les transferts sans contrepartie, tendance, distribution et dynamique du marché","Enregistré au lieu de PAIEMENT du transfert, pas au domicile du bénéficiaire",2026-08-25
Nord,expédié,2022-2023,exercice fiscal 2022-2023,14551884.82,5.732,SRC-061,"BRH — BRH-Infos à la loupe n° 1, avril 2024","Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, « BRH-Infos à la loupe » n° 1, avril 2024 : les transferts sans contrepartie, tendance, distribution et dynamique du marché","Enregistré au lieu de PAIEMENT du transfert, pas au domicile du bénéficiaire",2026-08-25
Sud,expédié,2022-2023,exercice fiscal 2022-2023,10990126.94,4.329,SRC-061,"BRH — BRH-Infos à la loupe n° 1, avril 2024","Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, « BRH-Infos à la loupe » n° 1, avril 2024 : les transferts sans contrepartie, tendance, distribution et dynamique du marché","Enregistré au lieu de PAIEMENT du transfert, pas au domicile du bénéficiaire",2026-08-25
Nord-Ouest,expédié,2022-2023,exercice fiscal 2022-2023,8272145.57,3.259,SRC-061,"BRH — BRH-Infos à la loupe n° 1, avril 2024","Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, « BRH-Infos à la loupe » n° 1, avril 2024 : les transferts sans contrepartie, tendance, distribution et dynamique du marché","Enregistré au lieu de PAIEMENT du transfert, pas au domicile du bénéficiaire",2026-08-25
Centre,expédié,2022-2023,exercice fiscal 2022-2023,5423913.35,2.137,SRC-061,"BRH — BRH-Infos à la loupe n° 1, avril 2024","Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, « BRH-Infos à la loupe » n° 1, avril 2024 : les transferts sans contrepartie, tendance, distribution et dynamique du marché","Enregistré au lieu de PAIEMENT du transfert, pas au domicile du bénéficiaire",2026-08-25
Sud-Est,expédié,2022-2023,exercice fiscal 2022-2023,4495474.96,1.771,SRC-061,"BRH — BRH-Infos à la loupe n° 1, avril 2024","Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, « BRH-Infos à la loupe » n° 1, avril 2024 : les transferts sans contrepartie, tendance, distribution et dynamique du marché","Enregistré au lieu de PAIEMENT du transfert, pas au domicile du bénéficiaire",2026-08-25
Nippes,expédié,2022-2023,exercice fiscal 2022-2023,3813441.61,1.502,SRC-061,"BRH — BRH-Infos à la loupe n° 1, avril 2024","Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, « BRH-Infos à la loupe » n° 1, avril 2024 : les transferts sans contrepartie, tendance, distribution et dynamique du marché","Enregistré au lieu de PAIEMENT du transfert, pas au domicile du bénéficiaire",2026-08-25
Nord-Est,expédié,2022-2023,exercice fiscal 2022-2023,2557771.32,1.008,SRC-061,"BRH — BRH-Infos à la loupe n° 1, avril 2024","Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, « BRH-Infos à la loupe » n° 1, avril 2024 : les transferts sans contrepartie, tendance, distribution et dynamique du marché","Enregistré au lieu de PAIEMENT du transfert, pas au domicile du bénéficiaire",2026-08-25
Grand'Anse,expédié,2022-2023,exercice fiscal 2022-2023,1472199.05,0.58,SRC-061,"BRH — BRH-Infos à la loupe n° 1, avril 2024","Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, « BRH-Infos à la loupe » n° 1, avril 2024 : les transferts sans contrepartie, tendance, distribution et dynamique du marché","Enregistré au lieu de PAIEMENT du transfert, pas au domicile du bénéficiaire",2026-08-25
Ouest,reçu,2021-2022,exercice fiscal 2021-2022,2399352807.16,70.282,SRC-061,"BRH — BRH-Infos à la loupe n° 1, avril 2024","Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, « BRH-Infos à la loupe » n° 1, avril 2024 : les transferts sans contrepartie, tendance, distribution et dynamique du marché","Enregistré au lieu de PAIEMENT du transfert, pas au domicile du bénéficiaire",2026-08-25
Artibonite,reçu,2021-2022,exercice fiscal 2021-2022,300994937.75,8.817,SRC-061,"BRH — BRH-Infos à la loupe n° 1, avril 2024","Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, « BRH-Infos à la loupe » n° 1, avril 2024 : les transferts sans contrepartie, tendance, distribution et dynamique du marché","Enregistré au lieu de PAIEMENT du transfert, pas au domicile du bénéficiaire",2026-08-25
Nord,reçu,2021-2022,exercice fiscal 2021-2022,194920001.39,5.71,SRC-061,"BRH — BRH-Infos à la loupe n° 1, avril 2024","Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, « BRH-Infos à la loupe » n° 1, avril 2024 : les transferts sans contrepartie, tendance, distribution et dynamique du marché","Enregistré au lieu de PAIEMENT du transfert, pas au domicile du bénéficiaire",2026-08-25
Sud,reçu,2021-2022,exercice fiscal 2021-2022,130675223.08,3.828,SRC-061,"BRH — BRH-Infos à la loupe n° 1, avril 2024","Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, « BRH-Infos à la loupe » n° 1, avril 2024 : les transferts sans contrepartie, tendance, distribution et dynamique du marché","Enregistré au lieu de PAIEMENT du transfert, pas au domicile du bénéficiaire",2026-08-25
Nord-Ouest,reçu,2021-2022,exercice fiscal 2021-2022,115686247.68,3.389,SRC-061,"BRH — BRH-Infos à la loupe n° 1, avril 2024","Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, « BRH-Infos à la loupe » n° 1, avril 2024 : les transferts sans contrepartie, tendance, distribution et dynamique du marché","Enregistré au lieu de PAIEMENT du transfert, pas au domicile du bénéficiaire",2026-08-25
Centre,reçu,2021-2022,exercice fiscal 2021-2022,82705729.62,2.423,SRC-061,"BRH — BRH-Infos à la loupe n° 1, avril 2024","Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, « BRH-Infos à la loupe » n° 1, avril 2024 : les transferts sans contrepartie, tendance, distribution et dynamique du marché","Enregistré au lieu de PAIEMENT du transfert, pas au domicile du bénéficiaire",2026-08-25
Sud-Est,reçu,2021-2022,exercice fiscal 2021-2022,75858897.69,2.222,SRC-061,"BRH — BRH-Infos à la loupe n° 1, avril 2024","Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, « BRH-Infos à la loupe » n° 1, avril 2024 : les transferts sans contrepartie, tendance, distribution et dynamique du marché","Enregistré au lieu de PAIEMENT du transfert, pas au domicile du bénéficiaire",2026-08-25
Nippes,reçu,2021-2022,exercice fiscal 2021-2022,53852097.62,1.577,SRC-061,"BRH — BRH-Infos à la loupe n° 1, avril 2024","Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, « BRH-Infos à la loupe » n° 1, avril 2024 : les transferts sans contrepartie, tendance, distribution et dynamique du marché","Enregistré au lieu de PAIEMENT du transfert, pas au domicile du bénéficiaire",2026-08-25
Nord-Est,reçu,2021-2022,exercice fiscal 2021-2022,33465588.8,0.98,SRC-061,"BRH — BRH-Infos à la loupe n° 1, avril 2024","Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, « BRH-Infos à la loupe » n° 1, avril 2024 : les transferts sans contrepartie, tendance, distribution et dynamique du marché","Enregistré au lieu de PAIEMENT du transfert, pas au domicile du bénéficiaire",2026-08-25
Grand'Anse,reçu,2021-2022,exercice fiscal 2021-2022,26381504.83,0.773,SRC-061,"BRH — BRH-Infos à la loupe n° 1, avril 2024","Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, « BRH-Infos à la loupe » n° 1, avril 2024 : les transferts sans contrepartie, tendance, distribution et dynamique du marché","Enregistré au lieu de PAIEMENT du transfert, pas au domicile du bénéficiaire",2026-08-25
Ouest,reçu,2022-2023,exercice fiscal 2022-2023,2246163260.09,68.394,SRC-061,"BRH — BRH-Infos à la loupe n° 1, avril 2024","Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, « BRH-Infos à la loupe » n° 1, avril 2024 : les transferts sans contrepartie, tendance, distribution et dynamique du marché","Enregistré au lieu de PAIEMENT du transfert, pas au domicile du bénéficiaire",2026-08-25
Artibonite,reçu,2022-2023,exercice fiscal 2022-2023,316407666.41,9.634,SRC-061,"BRH — BRH-Infos à la loupe n° 1, avril 2024","Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, « BRH-Infos à la loupe » n° 1, avril 2024 : les transferts sans contrepartie, tendance, distribution et dynamique du marché","Enregistré au lieu de PAIEMENT du transfert, pas au domicile du bénéficiaire",2026-08-25
Nord,reçu,2022-2023,exercice fiscal 2022-2023,161874029.18,4.929,SRC-061,"BRH — BRH-Infos à la loupe n° 1, avril 2024","Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, « BRH-Infos à la loupe » n° 1, avril 2024 : les transferts sans contrepartie, tendance, distribution et dynamique du marché","Enregistré au lieu de PAIEMENT du transfert, pas au domicile du bénéficiaire",2026-08-25
Sud,reçu,2022-2023,exercice fiscal 2022-2023,148994223.1,4.537,SRC-061,"BRH — BRH-Infos à la loupe n° 1, avril 2024","Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, « BRH-Infos à la loupe » n° 1, avril 2024 : les transferts sans contrepartie, tendance, distribution et dynamique du marché","Enregistré au lieu de PAIEMENT du transfert, pas au domicile du bénéficiaire",2026-08-25
Centre,reçu,2022-2023,exercice fiscal 2022-2023,112149757.25,3.415,SRC-061,"BRH — BRH-Infos à la loupe n° 1, avril 2024","Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, « BRH-Infos à la loupe » n° 1, avril 2024 : les transferts sans contrepartie, tendance, distribution et dynamique du marché","Enregistré au lieu de PAIEMENT du transfert, pas au domicile du bénéficiaire",2026-08-25
Nord-Ouest,reçu,2022-2023,exercice fiscal 2022-2023,96912986.8,2.951,SRC-061,"BRH — BRH-Infos à la loupe n° 1, avril 2024","Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, « BRH-Infos à la loupe » n° 1, avril 2024 : les transferts sans contrepartie, tendance, distribution et dynamique du marché","Enregistré au lieu de PAIEMENT du transfert, pas au domicile du bénéficiaire",2026-08-25
Sud-Est,reçu,2022-2023,exercice fiscal 2022-2023,77387246.1,2.356,SRC-061,"BRH — BRH-Infos à la loupe n° 1, avril 2024","Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, « BRH-Infos à la loupe » n° 1, avril 2024 : les transferts sans contrepartie, tendance, distribution et dynamique du marché","Enregistré au lieu de PAIEMENT du transfert, pas au domicile du bénéficiaire",2026-08-25
Nippes,reçu,2022-2023,exercice fiscal 2022-2023,66292699.26,2.019,SRC-061,"BRH — BRH-Infos à la loupe n° 1, avril 2024","Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, « BRH-Infos à la loupe » n° 1, avril 2024 : les transferts sans contrepartie, tendance, distribution et dynamique du marché","Enregistré au lieu de PAIEMENT du transfert, pas au domicile du bénéficiaire",2026-08-25
Nord-Est,reçu,2022-2023,exercice fiscal 2022-2023,33886621.83,1.032,SRC-061,"BRH — BRH-Infos à la loupe n° 1, avril 2024","Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, « BRH-Infos à la loupe » n° 1, avril 2024 : les transferts sans contrepartie, tendance, distribution et dynamique du marché","Enregistré au lieu de PAIEMENT du transfert, pas au domicile du bénéficiaire",2026-08-25
Grand'Anse,reçu,2022-2023,exercice fiscal 2022-2023,24068970.14,0.733,SRC-061,"BRH — BRH-Infos à la loupe n° 1, avril 2024","Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, « BRH-Infos à la loupe » n° 1, avril 2024 : les transferts sans contrepartie, tendance, distribution et dynamique du marché","Enregistré au lieu de PAIEMENT du transfert, pas au domicile du bénéficiaire",2026-08-25
Ouest,reçu,2023-10_2024-01,octobre 2023 à janvier 2024 (4 mois),757858047.35,61.604,SRC-061,"BRH — BRH-Infos à la loupe n° 1, avril 2024","Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, « BRH-Infos à la loupe » n° 1, avril 2024 : les transferts sans contrepartie, tendance, distribution et dynamique du marché","Enregistré au lieu de PAIEMENT du transfert, pas au domicile du bénéficiaire",2026-08-25
Artibonite,reçu,2023-10_2024-01,octobre 2023 à janvier 2024 (4 mois),140133831.51,11.391,SRC-061,"BRH — BRH-Infos à la loupe n° 1, avril 2024","Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, « BRH-Infos à la loupe » n° 1, avril 2024 : les transferts sans contrepartie, tendance, distribution et dynamique du marché","Enregistré au lieu de PAIEMENT du transfert, pas au domicile du bénéficiaire",2026-08-25
Nord,reçu,2023-10_2024-01,octobre 2023 à janvier 2024 (4 mois),71675261.0,5.826,SRC-061,"BRH — BRH-Infos à la loupe n° 1, avril 2024","Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, « BRH-Infos à la loupe » n° 1, avril 2024 : les transferts sans contrepartie, tendance, distribution et dynamique du marché","Enregistré au lieu de PAIEMENT du transfert, pas au domicile du bénéficiaire",2026-08-25
Sud,reçu,2023-10_2024-01,octobre 2023 à janvier 2024 (4 mois),67999710.51,5.527,SRC-061,"BRH — BRH-Infos à la loupe n° 1, avril 2024","Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, « BRH-Infos à la loupe » n° 1, avril 2024 : les transferts sans contrepartie, tendance, distribution et dynamique du marché","Enregistré au lieu de PAIEMENT du transfert, pas au domicile du bénéficiaire",2026-08-25
Nord-Ouest,reçu,2023-10_2024-01,octobre 2023 à janvier 2024 (4 mois),54446445.55,4.426,SRC-061,"BRH — BRH-Infos à la loupe n° 1, avril 2024","Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, « BRH-Infos à la loupe » n° 1, avril 2024 : les transferts sans contrepartie, tendance, distribution et dynamique du marché","Enregistré au lieu de PAIEMENT du transfert, pas au domicile du bénéficiaire",2026-08-25
Centre,reçu,2023-10_2024-01,octobre 2023 à janvier 2024 (4 mois),43633305.35,3.547,SRC-061,"BRH — BRH-Infos à la loupe n° 1, avril 2024","Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, « BRH-Infos à la loupe » n° 1, avril 2024 : les transferts sans contrepartie, tendance, distribution et dynamique du marché","Enregistré au lieu de PAIEMENT du transfert, pas au domicile du bénéficiaire",2026-08-25
Sud-Est,reçu,2023-10_2024-01,octobre 2023 à janvier 2024 (4 mois),34717911.6,2.822,SRC-061,"BRH — BRH-Infos à la loupe n° 1, avril 2024","Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, « BRH-Infos à la loupe » n° 1, avril 2024 : les transferts sans contrepartie, tendance, distribution et dynamique du marché","Enregistré au lieu de PAIEMENT du transfert, pas au domicile du bénéficiaire",2026-08-25
Nippes,reçu,2023-10_2024-01,octobre 2023 à janvier 2024 (4 mois),31025991.12,2.522,SRC-061,"BRH — BRH-Infos à la loupe n° 1, avril 2024","Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, « BRH-Infos à la loupe » n° 1, avril 2024 : les transferts sans contrepartie, tendance, distribution et dynamique du marché","Enregistré au lieu de PAIEMENT du transfert, pas au domicile du bénéficiaire",2026-08-25
Nord-Est,reçu,2023-10_2024-01,octobre 2023 à janvier 2024 (4 mois),17683855.83,1.437,SRC-061,"BRH — BRH-Infos à la loupe n° 1, avril 2024","Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, « BRH-Infos à la loupe » n° 1, avril 2024 : les transferts sans contrepartie, tendance, distribution et dynamique du marché","Enregistré au lieu de PAIEMENT du transfert, pas au domicile du bénéficiaire",2026-08-25
Grand'Anse,reçu,2023-10_2024-01,octobre 2023 à janvier 2024 (4 mois),11044182.87,0.898,SRC-061,"BRH — BRH-Infos à la loupe n° 1, avril 2024","Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, « BRH-Infos à la loupe » n° 1, avril 2024 : les transferts sans contrepartie, tendance, distribution et dynamique du marché","Enregistré au lieu de PAIEMENT du transfert, pas au domicile du bénéficiaire",2026-08-25
