pcode_commune,atmart_geo_id,nom_commune,caisses_desservant,sigles,source_id,source,millesime,limite_connue,date_extraction
HT0211,HTC-0211,Jacmel,3,COOPESE CPE SUCCES,SRC-053,"BRH — liste des caisses populaires agréées, sièges et comptoirs rattachés par Atmart",mars 2025,"Une commune est comptée comme DESSERVIE si une caisse y a son siège ou y déclare un comptoir. Sur 71 libellés de comptoir, 43 ne désignent pas une commune : ce sont des localités (Montrouis, Pont-Sondé, Liancourt) ou des adresses de rue. Ils ne sont pas rattachés — une localité n'est pas une commune, et deviner son rattachement demande de connaître le pays plutôt que de lire le fichier. Le compte des communes desservies est donc un PLANCHER.",2026-08-21
HT0212,HTC-0212,Marigot,1,CPRCM,SRC-053,"BRH — liste des caisses populaires agréées, sièges et comptoirs rattachés par Atmart",mars 2025,"Une commune est comptée comme DESSERVIE si une caisse y a son siège ou y déclare un comptoir. Sur 71 libellés de comptoir, 43 ne désignent pas une commune : ce sont des localités (Montrouis, Pont-Sondé, Liancourt) ou des adresses de rue. Ils ne sont pas rattachés — une localité n'est pas une commune, et deviner son rattachement demande de connaître le pays plutôt que de lire le fichier. Le compte des communes desservies est donc un PLANCHER.",2026-08-21
HT0213,HTC-0213,Cayes-Jacmel,1,CPAC,SRC-053,"BRH — liste des caisses populaires agréées, sièges et comptoirs rattachés par Atmart",mars 2025,"Une commune est comptée comme DESSERVIE si une caisse y a son siège ou y déclare un comptoir. Sur 71 libellés de comptoir, 43 ne désignent pas une commune : ce sont des localités (Montrouis, Pont-Sondé, Liancourt) ou des adresses de rue. Ils ne sont pas rattachés — une localité n'est pas une commune, et deviner son rattachement demande de connaître le pays plutôt que de lire le fichier. Le compte des communes desservies est donc un PLANCHER.",2026-08-21
HT0214,HTC-0214,La Vallée,1,CAPPEV,SRC-053,"BRH — liste des caisses populaires agréées, sièges et comptoirs rattachés par Atmart",mars 2025,"Une commune est comptée comme DESSERVIE si une caisse y a son siège ou y déclare un comptoir. Sur 71 libellés de comptoir, 43 ne désignent pas une commune : ce sont des localités (Montrouis, Pont-Sondé, Liancourt) ou des adresses de rue. Ils ne sont pas rattachés — une localité n'est pas une commune, et deviner son rattachement demande de connaître le pays plutôt que de lire le fichier. Le compte des communes desservies est donc un PLANCHER.",2026-08-21
HT0221,HTC-0221,Bainet,1,CPRCM,SRC-053,"BRH — liste des caisses populaires agréées, sièges et comptoirs rattachés par Atmart",mars 2025,"Une commune est comptée comme DESSERVIE si une caisse y a son siège ou y déclare un comptoir. Sur 71 libellés de comptoir, 43 ne désignent pas une commune : ce sont des localités (Montrouis, Pont-Sondé, Liancourt) ou des adresses de rue. Ils ne sont pas rattachés — une localité n'est pas une commune, et deviner son rattachement demande de connaître le pays plutôt que de lire le fichier. Le compte des communes desservies est donc un PLANCHER.",2026-08-21
HT0222,HTC-0222,Côtes de Fer,1,CPE,SRC-053,"BRH — liste des caisses populaires agréées, sièges et comptoirs rattachés par Atmart",mars 2025,"Une commune est comptée comme DESSERVIE si une caisse y a son siège ou y déclare un comptoir. Sur 71 libellés de comptoir, 43 ne désignent pas une commune : ce sont des localités (Montrouis, Pont-Sondé, Liancourt) ou des adresses de rue. Ils ne sont pas rattachés — une localité n'est pas une commune, et deviner son rattachement demande de connaître le pays plutôt que de lire le fichier. Le compte des communes desservies est donc un PLANCHER.",2026-08-21
HT0231,HTC-0231,Belle-Anse,1,CODEB,SRC-053,"BRH — liste des caisses populaires agréées, sièges et comptoirs rattachés par Atmart",mars 2025,"Une commune est comptée comme DESSERVIE si une caisse y a son siège ou y déclare un comptoir. Sur 71 libellés de comptoir, 43 ne désignent pas une commune : ce sont des localités (Montrouis, Pont-Sondé, Liancourt) ou des adresses de rue. Ils ne sont pas rattachés — une localité n'est pas une commune, et deviner son rattachement demande de connaître le pays plutôt que de lire le fichier. Le compte des communes desservies est donc un PLANCHER.",2026-08-21
HT0233,HTC-0233,Thiotte,1,CREPES,SRC-053,"BRH — liste des caisses populaires agréées, sièges et comptoirs rattachés par Atmart",mars 2025,"Une commune est comptée comme DESSERVIE si une caisse y a son siège ou y déclare un comptoir. Sur 71 libellés de comptoir, 43 ne désignent pas une commune : ce sont des localités (Montrouis, Pont-Sondé, Liancourt) ou des adresses de rue. Ils ne sont pas rattachés — une localité n'est pas une commune, et deviner son rattachement demande de connaître le pays plutôt que de lire le fichier. Le compte des communes desservies est donc un PLANCHER.",2026-08-21
HT0234,HTC-0234,Anse-à-Pître,1,CPE,SRC-053,"BRH — liste des caisses populaires agréées, sièges et comptoirs rattachés par Atmart",mars 2025,"Une commune est comptée comme DESSERVIE si une caisse y a son siège ou y déclare un comptoir. Sur 71 libellés de comptoir, 43 ne désignent pas une commune : ce sont des localités (Montrouis, Pont-Sondé, Liancourt) ou des adresses de rue. Ils ne sont pas rattachés — une localité n'est pas une commune, et deviner son rattachement demande de connaître le pays plutôt que de lire le fichier. Le compte des communes desservies est donc un PLANCHER.",2026-08-21
HT0311,HTC-0311,Cap-Haïtien,1,CPF,SRC-053,"BRH — liste des caisses populaires agréées, sièges et comptoirs rattachés par Atmart",mars 2025,"Une commune est comptée comme DESSERVIE si une caisse y a son siège ou y déclare un comptoir. Sur 71 libellés de comptoir, 43 ne désignent pas une commune : ce sont des localités (Montrouis, Pont-Sondé, Liancourt) ou des adresses de rue. Ils ne sont pas rattachés — une localité n'est pas une commune, et deviner son rattachement demande de connaître le pays plutôt que de lire le fichier. Le compte des communes desservies est donc un PLANCHER.",2026-08-21
HT0313,HTC-0313,Limonade,1,CPF,SRC-053,"BRH — liste des caisses populaires agréées, sièges et comptoirs rattachés par Atmart",mars 2025,"Une commune est comptée comme DESSERVIE si une caisse y a son siège ou y déclare un comptoir. Sur 71 libellés de comptoir, 43 ne désignent pas une commune : ce sont des localités (Montrouis, Pont-Sondé, Liancourt) ou des adresses de rue. Ils ne sont pas rattachés — une localité n'est pas une commune, et deviner son rattachement demande de connaître le pays plutôt que de lire le fichier. Le compte des communes desservies est donc un PLANCHER.",2026-08-21
HT0322,HTC-0322,Plaine du Nord,1,CPF,SRC-053,"BRH — liste des caisses populaires agréées, sièges et comptoirs rattachés par Atmart",mars 2025,"Une commune est comptée comme DESSERVIE si une caisse y a son siège ou y déclare un comptoir. Sur 71 libellés de comptoir, 43 ne désignent pas une commune : ce sont des localités (Montrouis, Pont-Sondé, Liancourt) ou des adresses de rue. Ils ne sont pas rattachés — une localité n'est pas une commune, et deviner son rattachement demande de connaître le pays plutôt que de lire le fichier. Le compte des communes desservies est donc un PLANCHER.",2026-08-21
HT0323,HTC-0323,Milot,1,KPLKM,SRC-053,"BRH — liste des caisses populaires agréées, sièges et comptoirs rattachés par Atmart",mars 2025,"Une commune est comptée comme DESSERVIE si une caisse y a son siège ou y déclare un comptoir. Sur 71 libellés de comptoir, 43 ne désignent pas une commune : ce sont des localités (Montrouis, Pont-Sondé, Liancourt) ou des adresses de rue. Ils ne sont pas rattachés — une localité n'est pas une commune, et deviner son rattachement demande de connaître le pays plutôt que de lire le fichier. Le compte des communes desservies est donc un PLANCHER.",2026-08-21
HT0331,HTC-0331,Grande Rivière Du Nord,1,KPLKM,SRC-053,"BRH — liste des caisses populaires agréées, sièges et comptoirs rattachés par Atmart",mars 2025,"Une commune est comptée comme DESSERVIE si une caisse y a son siège ou y déclare un comptoir. Sur 71 libellés de comptoir, 43 ne désignent pas une commune : ce sont des localités (Montrouis, Pont-Sondé, Liancourt) ou des adresses de rue. Ils ne sont pas rattachés — une localité n'est pas une commune, et deviner son rattachement demande de connaître le pays plutôt que de lire le fichier. Le compte des communes desservies est donc un PLANCHER.",2026-08-21
HT0371,HTC-0371,Plaisance,1,CPUP,SRC-053,"BRH — liste des caisses populaires agréées, sièges et comptoirs rattachés par Atmart",mars 2025,"Une commune est comptée comme DESSERVIE si une caisse y a son siège ou y déclare un comptoir. Sur 71 libellés de comptoir, 43 ne désignent pas une commune : ce sont des localités (Montrouis, Pont-Sondé, Liancourt) ou des adresses de rue. Ils ne sont pas rattachés — une localité n'est pas une commune, et deviner son rattachement demande de connaître le pays plutôt que de lire le fichier. Le compte des communes desservies est donc un PLANCHER.",2026-08-21
HT0372,HTC-0372,Pilate,1,CAPOSOL,SRC-053,"BRH — liste des caisses populaires agréées, sièges et comptoirs rattachés par Atmart",mars 2025,"Une commune est comptée comme DESSERVIE si une caisse y a son siège ou y déclare un comptoir. Sur 71 libellés de comptoir, 43 ne désignent pas une commune : ce sont des localités (Montrouis, Pont-Sondé, Liancourt) ou des adresses de rue. Ils ne sont pas rattachés — une localité n'est pas une commune, et deviner son rattachement demande de connaître le pays plutôt que de lire le fichier. Le compte des communes desservies est donc un PLANCHER.",2026-08-21
HT0411,HTC-0411,Fort-Liberté,1,CPD,SRC-053,"BRH — liste des caisses populaires agréées, sièges et comptoirs rattachés par Atmart",mars 2025,"Une commune est comptée comme DESSERVIE si une caisse y a son siège ou y déclare un comptoir. Sur 71 libellés de comptoir, 43 ne désignent pas une commune : ce sont des localités (Montrouis, Pont-Sondé, Liancourt) ou des adresses de rue. Ils ne sont pas rattachés — une localité n'est pas une commune, et deviner son rattachement demande de connaître le pays plutôt que de lire le fichier. Le compte des communes desservies est donc un PLANCHER.",2026-08-21
HT0412,HTC-0412,Ferrier,1,CPD,SRC-053,"BRH — liste des caisses populaires agréées, sièges et comptoirs rattachés par Atmart",mars 2025,"Une commune est comptée comme DESSERVIE si une caisse y a son siège ou y déclare un comptoir. Sur 71 libellés de comptoir, 43 ne désignent pas une commune : ce sont des localités (Montrouis, Pont-Sondé, Liancourt) ou des adresses de rue. Ils ne sont pas rattachés — une localité n'est pas une commune, et deviner son rattachement demande de connaître le pays plutôt que de lire le fichier. Le compte des communes desservies est donc un PLANCHER.",2026-08-21
HT0433,HTC-0433,Terrier Rouge,1,KPTAT,SRC-053,"BRH — liste des caisses populaires agréées, sièges et comptoirs rattachés par Atmart",mars 2025,"Une commune est comptée comme DESSERVIE si une caisse y a son siège ou y déclare un comptoir. Sur 71 libellés de comptoir, 43 ne désignent pas une commune : ce sont des localités (Montrouis, Pont-Sondé, Liancourt) ou des adresses de rue. Ils ne sont pas rattachés — une localité n'est pas une commune, et deviner son rattachement demande de connaître le pays plutôt que de lire le fichier. Le compte des communes desservies est donc un PLANCHER.",2026-08-21
HT0442,HTC-0442,Carice,1,KPSEK,SRC-053,"BRH — liste des caisses populaires agréées, sièges et comptoirs rattachés par Atmart",mars 2025,"Une commune est comptée comme DESSERVIE si une caisse y a son siège ou y déclare un comptoir. Sur 71 libellés de comptoir, 43 ne désignent pas une commune : ce sont des localités (Montrouis, Pont-Sondé, Liancourt) ou des adresses de rue. Ils ne sont pas rattachés — une localité n'est pas une commune, et deviner son rattachement demande de connaître le pays plutôt que de lire le fichier. Le compte des communes desservies est donc un PLANCHER.",2026-08-21
HT0443,HTC-0443,Mombin Crochu,1,CPAM,SRC-053,"BRH — liste des caisses populaires agréées, sièges et comptoirs rattachés par Atmart",mars 2025,"Une commune est comptée comme DESSERVIE si une caisse y a son siège ou y déclare un comptoir. Sur 71 libellés de comptoir, 43 ne désignent pas une commune : ce sont des localités (Montrouis, Pont-Sondé, Liancourt) ou des adresses de rue. Ils ne sont pas rattachés — une localité n'est pas une commune, et deviner son rattachement demande de connaître le pays plutôt que de lire le fichier. Le compte des communes desservies est donc un PLANCHER.",2026-08-21
HT0511,HTC-0511,Gonaïves,2,KPEGM SOCOLAVIM,SRC-053,"BRH — liste des caisses populaires agréées, sièges et comptoirs rattachés par Atmart",mars 2025,"Une commune est comptée comme DESSERVIE si une caisse y a son siège ou y déclare un comptoir. Sur 71 libellés de comptoir, 43 ne désignent pas une commune : ce sont des localités (Montrouis, Pont-Sondé, Liancourt) ou des adresses de rue. Ils ne sont pas rattachés — une localité n'est pas une commune, et deviner son rattachement demande de connaître le pays plutôt que de lire le fichier. Le compte des communes desservies est donc un PLANCHER.",2026-08-21
HT0512,HTC-0512,Ennery,1,CAPOSOSMA,SRC-053,"BRH — liste des caisses populaires agréées, sièges et comptoirs rattachés par Atmart",mars 2025,"Une commune est comptée comme DESSERVIE si une caisse y a son siège ou y déclare un comptoir. Sur 71 libellés de comptoir, 43 ne désignent pas une commune : ce sont des localités (Montrouis, Pont-Sondé, Liancourt) ou des adresses de rue. Ils ne sont pas rattachés — une localité n'est pas une commune, et deviner son rattachement demande de connaître le pays plutôt que de lire le fichier. Le compte des communes desservies est donc un PLANCHER.",2026-08-21
HT0513,HTC-0513,L'Estère,1,SOCOLAVIM,SRC-053,"BRH — liste des caisses populaires agréées, sièges et comptoirs rattachés par Atmart",mars 2025,"Une commune est comptée comme DESSERVIE si une caisse y a son siège ou y déclare un comptoir. Sur 71 libellés de comptoir, 43 ne désignent pas une commune : ce sont des localités (Montrouis, Pont-Sondé, Liancourt) ou des adresses de rue. Ils ne sont pas rattachés — une localité n'est pas une commune, et deviner son rattachement demande de connaître le pays plutôt que de lire le fichier. Le compte des communes desservies est donc un PLANCHER.",2026-08-21
HT0521,HTC-0521,Gros Morne,2,CAPOR KPEGM,SRC-053,"BRH — liste des caisses populaires agréées, sièges et comptoirs rattachés par Atmart",mars 2025,"Une commune est comptée comme DESSERVIE si une caisse y a son siège ou y déclare un comptoir. Sur 71 libellés de comptoir, 43 ne désignent pas une commune : ce sont des localités (Montrouis, Pont-Sondé, Liancourt) ou des adresses de rue. Ils ne sont pas rattachés — une localité n'est pas une commune, et deviner son rattachement demande de connaître le pays plutôt que de lire le fichier. Le compte des communes desservies est donc un PLANCHER.",2026-08-21
HT0531,HTC-0531,Saint-Marc,1,SOCOLAVIM,SRC-053,"BRH — liste des caisses populaires agréées, sièges et comptoirs rattachés par Atmart",mars 2025,"Une commune est comptée comme DESSERVIE si une caisse y a son siège ou y déclare un comptoir. Sur 71 libellés de comptoir, 43 ne désignent pas une commune : ce sont des localités (Montrouis, Pont-Sondé, Liancourt) ou des adresses de rue. Ils ne sont pas rattachés — une localité n'est pas une commune, et deviner son rattachement demande de connaître le pays plutôt que de lire le fichier. Le compte des communes desservies est donc un PLANCHER.",2026-08-21
HT0532,HTC-0532,Verrettes,2,CAPOSOV KPD,SRC-053,"BRH — liste des caisses populaires agréées, sièges et comptoirs rattachés par Atmart",mars 2025,"Une commune est comptée comme DESSERVIE si une caisse y a son siège ou y déclare un comptoir. Sur 71 libellés de comptoir, 43 ne désignent pas une commune : ce sont des localités (Montrouis, Pont-Sondé, Liancourt) ou des adresses de rue. Ils ne sont pas rattachés — une localité n'est pas une commune, et deviner son rattachement demande de connaître le pays plutôt que de lire le fichier. Le compte des communes desservies est donc un PLANCHER.",2026-08-21
HT0533,HTC-0533,La Chapelle,1,CAPOSOV,SRC-053,"BRH — liste des caisses populaires agréées, sièges et comptoirs rattachés par Atmart",mars 2025,"Une commune est comptée comme DESSERVIE si une caisse y a son siège ou y déclare un comptoir. Sur 71 libellés de comptoir, 43 ne désignent pas une commune : ce sont des localités (Montrouis, Pont-Sondé, Liancourt) ou des adresses de rue. Ils ne sont pas rattachés — une localité n'est pas une commune, et deviner son rattachement demande de connaître le pays plutôt que de lire le fichier. Le compte des communes desservies est donc un PLANCHER.",2026-08-21
HT0542,HTC-0542,Petite Rivière de l'Artibonite,1,COOPECPRA,SRC-053,"BRH — liste des caisses populaires agréées, sièges et comptoirs rattachés par Atmart",mars 2025,"Une commune est comptée comme DESSERVIE si une caisse y a son siège ou y déclare un comptoir. Sur 71 libellés de comptoir, 43 ne désignent pas une commune : ce sont des localités (Montrouis, Pont-Sondé, Liancourt) ou des adresses de rue. Ils ne sont pas rattachés — une localité n'est pas une commune, et deviner son rattachement demande de connaître le pays plutôt que de lire le fichier. Le compte des communes desservies est donc un PLANCHER.",2026-08-21
HT0551,HTC-0551,Saint-Michel de l'Attalaye,1,CAPOSOSMA,SRC-053,"BRH — liste des caisses populaires agréées, sièges et comptoirs rattachés par Atmart",mars 2025,"Une commune est comptée comme DESSERVIE si une caisse y a son siège ou y déclare un comptoir. Sur 71 libellés de comptoir, 43 ne désignent pas une commune : ce sont des localités (Montrouis, Pont-Sondé, Liancourt) ou des adresses de rue. Ils ne sont pas rattachés — une localité n'est pas une commune, et deviner son rattachement demande de connaître le pays plutôt que de lire le fichier. Le compte des communes desservies est donc un PLANCHER.",2026-08-21
HT0611,HTC-0611,Hinche,1,COOPECLAS,SRC-053,"BRH — liste des caisses populaires agréées, sièges et comptoirs rattachés par Atmart",mars 2025,"Une commune est comptée comme DESSERVIE si une caisse y a son siège ou y déclare un comptoir. Sur 71 libellés de comptoir, 43 ne désignent pas une commune : ce sont des localités (Montrouis, Pont-Sondé, Liancourt) ou des adresses de rue. Ils ne sont pas rattachés — une localité n'est pas une commune, et deviner son rattachement demande de connaître le pays plutôt que de lire le fichier. Le compte des communes desservies est donc un PLANCHER.",2026-08-21
HT0612,HTC-0612,Maïssade,1,COOPECLAS,SRC-053,"BRH — liste des caisses populaires agréées, sièges et comptoirs rattachés par Atmart",mars 2025,"Une commune est comptée comme DESSERVIE si une caisse y a son siège ou y déclare un comptoir. Sur 71 libellés de comptoir, 43 ne désignent pas une commune : ce sont des localités (Montrouis, Pont-Sondé, Liancourt) ou des adresses de rue. Ils ne sont pas rattachés — une localité n'est pas une commune, et deviner son rattachement demande de connaître le pays plutôt que de lire le fichier. Le compte des communes desservies est donc un PLANCHER.",2026-08-21
HT0613,HTC-0613,Thomonde,1,COOPECLAS,SRC-053,"BRH — liste des caisses populaires agréées, sièges et comptoirs rattachés par Atmart",mars 2025,"Une commune est comptée comme DESSERVIE si une caisse y a son siège ou y déclare un comptoir. Sur 71 libellés de comptoir, 43 ne désignent pas une commune : ce sont des localités (Montrouis, Pont-Sondé, Liancourt) ou des adresses de rue. Ils ne sont pas rattachés — une localité n'est pas une commune, et deviner son rattachement demande de connaître le pays plutôt que de lire le fichier. Le compte des communes desservies est donc un PLANCHER.",2026-08-21
HT0621,HTC-0621,Mirebalais,1,CODECREM,SRC-053,"BRH — liste des caisses populaires agréées, sièges et comptoirs rattachés par Atmart",mars 2025,"Une commune est comptée comme DESSERVIE si une caisse y a son siège ou y déclare un comptoir. Sur 71 libellés de comptoir, 43 ne désignent pas une commune : ce sont des localités (Montrouis, Pont-Sondé, Liancourt) ou des adresses de rue. Ils ne sont pas rattachés — une localité n'est pas une commune, et deviner son rattachement demande de connaître le pays plutôt que de lire le fichier. Le compte des communes desservies est donc un PLANCHER.",2026-08-21
HT0631,HTC-0631,Lascahobas,2,COOPECLAS KOSODES,SRC-053,"BRH — liste des caisses populaires agréées, sièges et comptoirs rattachés par Atmart",mars 2025,"Une commune est comptée comme DESSERVIE si une caisse y a son siège ou y déclare un comptoir. Sur 71 libellés de comptoir, 43 ne désignent pas une commune : ce sont des localités (Montrouis, Pont-Sondé, Liancourt) ou des adresses de rue. Ils ne sont pas rattachés — une localité n'est pas une commune, et deviner son rattachement demande de connaître le pays plutôt que de lire le fichier. Le compte des communes desservies est donc un PLANCHER.",2026-08-21
HT0632,HTC-0632,Belladère,1,COOPDES,SRC-053,"BRH — liste des caisses populaires agréées, sièges et comptoirs rattachés par Atmart",mars 2025,"Une commune est comptée comme DESSERVIE si une caisse y a son siège ou y déclare un comptoir. Sur 71 libellés de comptoir, 43 ne désignent pas une commune : ce sont des localités (Montrouis, Pont-Sondé, Liancourt) ou des adresses de rue. Ils ne sont pas rattachés — une localité n'est pas une commune, et deviner son rattachement demande de connaître le pays plutôt que de lire le fichier. Le compte des communes desservies est donc un PLANCHER.",2026-08-21
HT0711,HTC-0711,Les Cayes,1,CAPOSUD,SRC-053,"BRH — liste des caisses populaires agréées, sièges et comptoirs rattachés par Atmart",mars 2025,"Une commune est comptée comme DESSERVIE si une caisse y a son siège ou y déclare un comptoir. Sur 71 libellés de comptoir, 43 ne désignent pas une commune : ce sont des localités (Montrouis, Pont-Sondé, Liancourt) ou des adresses de rue. Ils ne sont pas rattachés — une localité n'est pas une commune, et deviner son rattachement demande de connaître le pays plutôt que de lire le fichier. Le compte des communes desservies est donc un PLANCHER.",2026-08-21
HT0712,HTC-0712,Torbeck,1,CAPOSAC,SRC-053,"BRH — liste des caisses populaires agréées, sièges et comptoirs rattachés par Atmart",mars 2025,"Une commune est comptée comme DESSERVIE si une caisse y a son siège ou y déclare un comptoir. Sur 71 libellés de comptoir, 43 ne désignent pas une commune : ce sont des localités (Montrouis, Pont-Sondé, Liancourt) ou des adresses de rue. Ils ne sont pas rattachés — une localité n'est pas une commune, et deviner son rattachement demande de connaître le pays plutôt que de lire le fichier. Le compte des communes desservies est donc un PLANCHER.",2026-08-21
HT0714,HTC-0714,Camp-Perrin,1,CAPOSAC,SRC-053,"BRH — liste des caisses populaires agréées, sièges et comptoirs rattachés par Atmart",mars 2025,"Une commune est comptée comme DESSERVIE si une caisse y a son siège ou y déclare un comptoir. Sur 71 libellés de comptoir, 43 ne désignent pas une commune : ce sont des localités (Montrouis, Pont-Sondé, Liancourt) ou des adresses de rue. Ils ne sont pas rattachés — une localité n'est pas une commune, et deviner son rattachement demande de connaître le pays plutôt que de lire le fichier. Le compte des communes desservies est donc un PLANCHER.",2026-08-21
HT0715,HTC-0715,Maniche,1,CPSRM,SRC-053,"BRH — liste des caisses populaires agréées, sièges et comptoirs rattachés par Atmart",mars 2025,"Une commune est comptée comme DESSERVIE si une caisse y a son siège ou y déclare un comptoir. Sur 71 libellés de comptoir, 43 ne désignent pas une commune : ce sont des localités (Montrouis, Pont-Sondé, Liancourt) ou des adresses de rue. Ils ne sont pas rattachés — une localité n'est pas une commune, et deviner son rattachement demande de connaître le pays plutôt que de lire le fichier. Le compte des communes desservies est donc un PLANCHER.",2026-08-21
