pcode_commune,atmart_geo_id,nom_commune,etablissements_classes,note_maximale,note_moyenne,dont_4_ou_5_hibiscus,source_id,source,millesime,limite_connue,date_extraction
HT0211,HTC-0211,Jacmel,6,2,1.5,0,SRC-051,Ministère du Tourisme et des Industries créatives (MTIC) — Classification Hibiscus 2013-2015,2013-2015,"Établissements CLASSÉS par le ministère entre 2013 et 2015, pas l'offre existante : un hôtel non classé n'y figure pas, et un hôtel classé peut avoir fermé depuis. Aucune classification n'a été publiée depuis 2015.",2026-08-21
HT0212,HTC-0212,Marigot,2,3,2.5,0,SRC-051,Ministère du Tourisme et des Industries créatives (MTIC) — Classification Hibiscus 2013-2015,2013-2015,"Établissements CLASSÉS par le ministère entre 2013 et 2015, pas l'offre existante : un hôtel non classé n'y figure pas, et un hôtel classé peut avoir fermé depuis. Aucune classification n'a été publiée depuis 2015.",2026-08-21
HT0214,HTC-0214,La Vallée,1,2,2.0,0,SRC-051,Ministère du Tourisme et des Industries créatives (MTIC) — Classification Hibiscus 2013-2015,2013-2015,"Établissements CLASSÉS par le ministère entre 2013 et 2015, pas l'offre existante : un hôtel non classé n'y figure pas, et un hôtel classé peut avoir fermé depuis. Aucune classification n'a été publiée depuis 2015.",2026-08-21
HT0222,HTC-0222,Côtes de Fer,1,2,2.0,0,SRC-051,Ministère du Tourisme et des Industries créatives (MTIC) — Classification Hibiscus 2013-2015,2013-2015,"Établissements CLASSÉS par le ministère entre 2013 et 2015, pas l'offre existante : un hôtel non classé n'y figure pas, et un hôtel classé peut avoir fermé depuis. Aucune classification n'a été publiée depuis 2015.",2026-08-21
HT0311,HTC-0311,Cap-Haïtien,14,4,2.36,1,SRC-051,Ministère du Tourisme et des Industries créatives (MTIC) — Classification Hibiscus 2013-2015,2013-2015,"Établissements CLASSÉS par le ministère entre 2013 et 2015, pas l'offre existante : un hôtel non classé n'y figure pas, et un hôtel classé peut avoir fermé depuis. Aucune classification n'a été publiée depuis 2015.",2026-08-21
HT0421,HTC-0421,Ouanaminthe,1,2,2.0,0,SRC-051,Ministère du Tourisme et des Industries créatives (MTIC) — Classification Hibiscus 2013-2015,2013-2015,"Établissements CLASSÉS par le ministère entre 2013 et 2015, pas l'offre existante : un hôtel non classé n'y figure pas, et un hôtel classé peut avoir fermé depuis. Aucune classification n'a été publiée depuis 2015.",2026-08-21
HT0511,HTC-0511,Gonaïves,6,2,1.83,0,SRC-051,Ministère du Tourisme et des Industries créatives (MTIC) — Classification Hibiscus 2013-2015,2013-2015,"Établissements CLASSÉS par le ministère entre 2013 et 2015, pas l'offre existante : un hôtel non classé n'y figure pas, et un hôtel classé peut avoir fermé depuis. Aucune classification n'a été publiée depuis 2015.",2026-08-21
HT0512,HTC-0512,Ennery,1,4,4.0,1,SRC-051,Ministère du Tourisme et des Industries créatives (MTIC) — Classification Hibiscus 2013-2015,2013-2015,"Établissements CLASSÉS par le ministère entre 2013 et 2015, pas l'offre existante : un hôtel non classé n'y figure pas, et un hôtel classé peut avoir fermé depuis. Aucune classification n'a été publiée depuis 2015.",2026-08-21
HT0521,HTC-0521,Gros Morne,2,2,2.0,0,SRC-051,Ministère du Tourisme et des Industries créatives (MTIC) — Classification Hibiscus 2013-2015,2013-2015,"Établissements CLASSÉS par le ministère entre 2013 et 2015, pas l'offre existante : un hôtel non classé n'y figure pas, et un hôtel classé peut avoir fermé depuis. Aucune classification n'a été publiée depuis 2015.",2026-08-21
HT0531,HTC-0531,Saint-Marc,6,3,2.5,0,SRC-051,Ministère du Tourisme et des Industries créatives (MTIC) — Classification Hibiscus 2013-2015,2013-2015,"Établissements CLASSÉS par le ministère entre 2013 et 2015, pas l'offre existante : un hôtel non classé n'y figure pas, et un hôtel classé peut avoir fermé depuis. Aucune classification n'a été publiée depuis 2015.",2026-08-21
HT0532,HTC-0532,Verrettes,3,1,1.0,0,SRC-051,Ministère du Tourisme et des Industries créatives (MTIC) — Classification Hibiscus 2013-2015,2013-2015,"Établissements CLASSÉS par le ministère entre 2013 et 2015, pas l'offre existante : un hôtel non classé n'y figure pas, et un hôtel classé peut avoir fermé depuis. Aucune classification n'a été publiée depuis 2015.",2026-08-21
HT0541,HTC-0541,Dessalines,1,3,3.0,0,SRC-051,Ministère du Tourisme et des Industries créatives (MTIC) — Classification Hibiscus 2013-2015,2013-2015,"Établissements CLASSÉS par le ministère entre 2013 et 2015, pas l'offre existante : un hôtel non classé n'y figure pas, et un hôtel classé peut avoir fermé depuis. Aucune classification n'a été publiée depuis 2015.",2026-08-21
HT0611,HTC-0611,Hinche,2,3,2.5,0,SRC-051,Ministère du Tourisme et des Industries créatives (MTIC) — Classification Hibiscus 2013-2015,2013-2015,"Établissements CLASSÉS par le ministère entre 2013 et 2015, pas l'offre existante : un hôtel non classé n'y figure pas, et un hôtel classé peut avoir fermé depuis. Aucune classification n'a été publiée depuis 2015.",2026-08-21
HT0621,HTC-0621,Mirebalais,3,3,2.33,0,SRC-051,Ministère du Tourisme et des Industries créatives (MTIC) — Classification Hibiscus 2013-2015,2013-2015,"Établissements CLASSÉS par le ministère entre 2013 et 2015, pas l'offre existante : un hôtel non classé n'y figure pas, et un hôtel classé peut avoir fermé depuis. Aucune classification n'a été publiée depuis 2015.",2026-08-21
HT0711,HTC-0711,Les Cayes,8,3,2.12,0,SRC-051,Ministère du Tourisme et des Industries créatives (MTIC) — Classification Hibiscus 2013-2015,2013-2015,"Établissements CLASSÉS par le ministère entre 2013 et 2015, pas l'offre existante : un hôtel non classé n'y figure pas, et un hôtel classé peut avoir fermé depuis. Aucune classification n'a été publiée depuis 2015.",2026-08-21
HT0712,HTC-0712,Torbeck,2,3,2.5,0,SRC-051,Ministère du Tourisme et des Industries créatives (MTIC) — Classification Hibiscus 2013-2015,2013-2015,"Établissements CLASSÉS par le ministère entre 2013 et 2015, pas l'offre existante : un hôtel non classé n'y figure pas, et un hôtel classé peut avoir fermé depuis. Aucune classification n'a été publiée depuis 2015.",2026-08-21
HT0714,HTC-0714,Camp-Perrin,1,2,2.0,0,SRC-051,Ministère du Tourisme et des Industries créatives (MTIC) — Classification Hibiscus 2013-2015,2013-2015,"Établissements CLASSÉS par le ministère entre 2013 et 2015, pas l'offre existante : un hôtel non classé n'y figure pas, et un hôtel classé peut avoir fermé depuis. Aucune classification n'a été publiée depuis 2015.",2026-08-21
HT0716,HTC-0716,Île à Vache,2,4,4.0,2,SRC-051,Ministère du Tourisme et des Industries créatives (MTIC) — Classification Hibiscus 2013-2015,2013-2015,"Établissements CLASSÉS par le ministère entre 2013 et 2015, pas l'offre existante : un hôtel non classé n'y figure pas, et un hôtel classé peut avoir fermé depuis. Aucune classification n'a été publiée depuis 2015.",2026-08-21
HT0721,HTC-0721,Port-Salut,6,3,1.67,0,SRC-051,Ministère du Tourisme et des Industries créatives (MTIC) — Classification Hibiscus 2013-2015,2013-2015,"Établissements CLASSÉS par le ministère entre 2013 et 2015, pas l'offre existante : un hôtel non classé n'y figure pas, et un hôtel classé peut avoir fermé depuis. Aucune classification n'a été publiée depuis 2015.",2026-08-21
HT0731,HTC-0731,Aquin,2,2,2.0,0,SRC-051,Ministère du Tourisme et des Industries créatives (MTIC) — Classification Hibiscus 2013-2015,2013-2015,"Établissements CLASSÉS par le ministère entre 2013 et 2015, pas l'offre existante : un hôtel non classé n'y figure pas, et un hôtel classé peut avoir fermé depuis. Aucune classification n'a été publiée depuis 2015.",2026-08-21
HT0741,HTC-0741,Côteaux,1,1,1.0,0,SRC-051,Ministère du Tourisme et des Industries créatives (MTIC) — Classification Hibiscus 2013-2015,2013-2015,"Établissements CLASSÉS par le ministère entre 2013 et 2015, pas l'offre existante : un hôtel non classé n'y figure pas, et un hôtel classé peut avoir fermé depuis. Aucune classification n'a été publiée depuis 2015.",2026-08-21
HT0811,HTC-0811,Jérémie,4,3,2.25,0,SRC-051,Ministère du Tourisme et des Industries créatives (MTIC) — Classification Hibiscus 2013-2015,2013-2015,"Établissements CLASSÉS par le ministère entre 2013 et 2015, pas l'offre existante : un hôtel non classé n'y figure pas, et un hôtel classé peut avoir fermé depuis. Aucune classification n'a été publiée depuis 2015.",2026-08-21
HT0921,HTC-0921,Saint-Louis du Nord,1,3,3.0,0,SRC-051,Ministère du Tourisme et des Industries créatives (MTIC) — Classification Hibiscus 2013-2015,2013-2015,"Établissements CLASSÉS par le ministère entre 2013 et 2015, pas l'offre existante : un hôtel non classé n'y figure pas, et un hôtel classé peut avoir fermé depuis. Aucune classification n'a été publiée depuis 2015.",2026-08-21
HT0922,HTC-0922,Anse-à-Foleur,1,2,2.0,0,SRC-051,Ministère du Tourisme et des Industries créatives (MTIC) — Classification Hibiscus 2013-2015,2013-2015,"Établissements CLASSÉS par le ministère entre 2013 et 2015, pas l'offre existante : un hôtel non classé n'y figure pas, et un hôtel classé peut avoir fermé depuis. Aucune classification n'a été publiée depuis 2015.",2026-08-21
HT0931,HTC-0931,Môle Saint Nicolas,2,3,3.0,0,SRC-051,Ministère du Tourisme et des Industries créatives (MTIC) — Classification Hibiscus 2013-2015,2013-2015,"Établissements CLASSÉS par le ministère entre 2013 et 2015, pas l'offre existante : un hôtel non classé n'y figure pas, et un hôtel classé peut avoir fermé depuis. Aucune classification n'a été publiée depuis 2015.",2026-08-21
HT1011,HTC-1011,Miragoâne,1,2,2.0,0,SRC-051,Ministère du Tourisme et des Industries créatives (MTIC) — Classification Hibiscus 2013-2015,2013-2015,"Établissements CLASSÉS par le ministère entre 2013 et 2015, pas l'offre existante : un hôtel non classé n'y figure pas, et un hôtel classé peut avoir fermé depuis. Aucune classification n'a été publiée depuis 2015.",2026-08-21
HT1012,HTC-1012,Petite Rivière de Nippes,1,2,2.0,0,SRC-051,Ministère du Tourisme et des Industries créatives (MTIC) — Classification Hibiscus 2013-2015,2013-2015,"Établissements CLASSÉS par le ministère entre 2013 et 2015, pas l'offre existante : un hôtel non classé n'y figure pas, et un hôtel classé peut avoir fermé depuis. Aucune classification n'a été publiée depuis 2015.",2026-08-21
