fichier,licence_sortante,regime,pourquoi,sources,attribution,provenance_attestee_par,clauses_declenchees
atmart_couche_telecom_HT.geojson,ODbL 1.0,partage à l'identique,Partage à l'identique : une base dérivée redistribuée doit porter la même licence que sa source.,SRC-036,OpenStreetMap (contributeurs) via Overpass API,déclarée dans le fichier,SRC-036 (ODbL 1.0)
atmart_couche_tourisme_HT.geojson,ODbL 1.0,partage à l'identique,Partage à l'identique : une base dérivée redistribuée doit porter la même licence que sa source.,SRC-028,Humanitarian OpenStreetMap Team (HOT) via HDX,déclarée dans le fichier,SRC-028 (ODbL 1.0)
atmart_couches_carte_HT.csv,à déclarer,provenance non déclarée,Ce fichier ne porte aucun source_id et n'a pas d'entrée au catalogue. Sa licence ne peut pas être calculée tant que son producteur ne déclare pas ses sources.,,,aucune,
atmart_credits_departements.json,CC BY 4.0,attribution,Attribution des sources et d'Atmart Data.,SRC-047,Ministère de l'Économie et des Finances — Direction générale du budget,déclarée dans le fichier,
atmart_cyclones_communes.json,Accès complet et ouvert (World Data Center) — usage non commercial libre selon la Résolution 40 OMM,déclarée par le producteur,"Reprise verbatim de l'en-tête du fichier. Non calculée depuis le registre : le passeport cité n'a pas encore de source_id, donc la chaîne registre → fichier ne se ferme pas.",,NOAA NCEI IBTrACS v04r01 — bassin Atlantique Nord,licence déclarée dans l'en-tête,
atmart_deplaces_HT.csv,sous réserve,sous réserve,"Une source attend la réponse de son producteur. Publié, mais la licence de sortie n'est pas arrêtée.",SRC-032,OIM — Displacement Tracking Matrix (via HDX),déclarée dans le fichier,SRC-032 (sous réserve)
atmart_diaspora_destinations.json,CC BY 4.0,attribution,Attribution des sources et d'Atmart Data.,SRC-054,"ONU DESA — Division de la population, Département des affaires économiques et sociales des Nations unies",déclarée dans le fichier,
atmart_diaspora_destinations_HT.csv,CC BY 4.0,attribution,Attribution des sources et d'Atmart Data.,SRC-054,"ONU DESA — Division de la population, Département des affaires économiques et sociales des Nations unies",déclarée dans le fichier,
atmart_eau_surface.json,"Copernicus — free of charge, without restriction of use (aucune licence nommée)",déclarée par le producteur,"Reprise verbatim de l'en-tête du fichier. Non calculée depuis le registre : le passeport cité n'a pas encore de source_id, donc la chaîne registre → fichier ne se ferme pas.",,"Source: EC JRC/Google — Pekel et al., Nature 540, 418-422 (2016)",licence déclarée dans l'en-tête,
atmart_ecoles_declarees.json,CC BY 4.0,attribution,Attribution des sources et d'Atmart Data.,SRC-004,MENFP — Direction de la planification et de la coopération externe (DPCE) ; application SIGEEE,déclarée dans le fichier,
atmart_equipements_hot.json,ODbL 1.0,déclarée par le producteur,"Reprise verbatim de l'en-tête du fichier. Non calculée depuis le registre : le passeport cité n'a pas encore de source_id, donc la chaîne registre → fichier ne se ferme pas.",,"© OpenStreetMap contributors, extrait par HOT",licence déclarée dans l'en-tête,
atmart_finance_agrements_HT.csv,CC BY 4.0,rien à imposer,"Aucune source n'impose de condition — décret haïtien du 12/10/2005, art. 5, ou domaine public. Atmart demande l'attribution pour son propre travail de rattachement et de calcul.",SRC-053,BRH — Banque de la République d'Haïti,déclarée dans le fichier,
atmart_finance_cooperative.json,ODbL 1.0,partage à l'identique,Partage à l'identique : une base dérivée redistribuée doit porter la même licence que sa source.,SRC-028,Humanitarian OpenStreetMap Team (HOT) via HDX,déclarée dans le fichier,SRC-028 (ODbL 1.0)
atmart_finance_cooperative_communes_HT.csv,ODbL 1.0,partage à l'identique,Partage à l'identique : une base dérivée redistribuée doit porter la même licence que sa source.,SRC-028,Humanitarian OpenStreetMap Team (HOT) via HDX,déclarée dans le fichier,SRC-028 (ODbL 1.0)
atmart_hibiscus_communes.json,CC BY 4.0,rien à imposer,"Aucune source n'impose de condition — décret haïtien du 12/10/2005, art. 5, ou domaine public. Atmart demande l'attribution pour son propre travail de rattachement et de calcul.",SRC-051,Ministère du Tourisme et des Industries créatives (MTIC),déclarée dans le fichier,
atmart_hibiscus_communes_HT.csv,CC BY 4.0,rien à imposer,"Aucune source n'impose de condition — décret haïtien du 12/10/2005, art. 5, ou domaine public. Atmart demande l'attribution pour son propre travail de rattachement et de calcul.",SRC-051,Ministère du Tourisme et des Industries créatives (MTIC),déclarée dans le fichier,
atmart_hibiscus_non_rattachees_HT.csv,CC BY 4.0,rien à imposer,"Aucune source n'impose de condition — décret haïtien du 12/10/2005, art. 5, ou domaine public. Atmart demande l'attribution pour son propre travail de rattachement et de calcul.",SRC-051,Ministère du Tourisme et des Industries créatives (MTIC),déclarée dans le fichier,
atmart_indicateurs_communes_HT.csv,à déclarer,provenance non déclarée,Ce fichier ne porte aucun source_id et n'a pas d'entrée au catalogue. Sa licence ne peut pas être calculée tant que son producteur ne déclare pas ses sources.,,,aucune,
atmart_indicateurs_national_HT.csv,CC BY 4.0,attribution,Attribution des sources et d'Atmart Data.,SRC-024,MEF / Direction Générale du Budget (DGB),déclarée dans le fichier,
atmart_infrastructures_communes_HT.csv,par ligne — voir la colonne « licence »,base collective,"Table longue : chaque ligne porte son source_id et sa licence, et aucune valeur ne combine deux sources. Rien n'est fusionné, donc les partages à l'identique ne se rencontrent pas — l'ODbL autorise expressément cette juxtaposition sous le nom de base collective. Licences présentes : CC BY-SA (OpenCelliD / Unwired Labs) (4 lignes) ; CC BY-SA (Water Point Data Exchange) (128 lignes) ; ODbL (© contributeurs OpenStreetMap) (1986 lignes)",SRC-028 SRC-029 SRC-030 SRC-031 SRC-036,Humanitarian OpenStreetMap Team (HOT) via HDX ; OpenCelliD (Unwired Labs) / GSMA / Ookla ; OpenStreetMap (contributeurs) via Overpass API ; OpenStreetMap via Overpass ; Water Point Data Exchange (WPdx) via HDX,déclarée dans le fichier,SRC-028 (ODbL 1.0) ; SRC-029 (CC BY-SA 4.0) ; SRC-030 (ODbL 1.0) ; SRC-031 (CC BY-SA 4.0) ; SRC-036 (ODbL 1.0)
atmart_ipc_HT.csv,CC BY 4.0,attribution,Attribution des sources et d'Atmart Data.,SRC-033,IPC — Cadre intégré de classification de la sécurité alimentaire,déclarée dans le fichier,
atmart_ipc_regions.json,CC BY 4.0,rien à imposer,"Aucune source n'impose de condition — décret haïtien du 12/10/2005, art. 5, ou domaine public. Atmart demande l'attribution pour son propre travail de rattachement et de calcul.",SRC-052,IHSI — Institut Haïtien de Statistique et d'Informatique,déclarée dans le fichier,
atmart_ipc_regions_HT.csv,CC BY 4.0,rien à imposer,"Aucune source n'impose de condition — décret haïtien du 12/10/2005, art. 5, ou domaine public. Atmart demande l'attribution pour son propre travail de rattachement et de calcul.",SRC-052,IHSI — Institut Haïtien de Statistique et d'Informatique,déclarée dans le fichier,
atmart_ipc_regions_communes_HT.csv,CC BY 4.0,rien à imposer,"Aucune source n'impose de condition — décret haïtien du 12/10/2005, art. 5, ou domaine public. Atmart demande l'attribution pour son propre travail de rattachement et de calcul.",SRC-052,IHSI — Institut Haïtien de Statistique et d'Informatique,déclarée dans le fichier,
atmart_licences.json,CC BY 4.0,attribution,Attribution des sources et d'Atmart Data.,SRC-ATM-001,Atmart Data,catalogue de sources,
atmart_licences_donnees_HT.csv,CC BY 4.0,attribution,Attribution des sources et d'Atmart Data.,SRC-ATM-001,Atmart Data,catalogue de sources,
atmart_lieux_culte.json,ODbL 1.0,partage à l'identique,Partage à l'identique : une base dérivée redistribuée doit porter la même licence que sa source.,SRC-057,OpenStreetMap — contributeurs,déclarée dans le fichier,SRC-057 (ODbL 1.0)
atmart_lieux_culte_communes_HT.csv,ODbL 1.0,partage à l'identique,Partage à l'identique : une base dérivée redistribuée doit porter la même licence que sa source.,SRC-057,OpenStreetMap — contributeurs,déclarée dans le fichier,SRC-057 (ODbL 1.0)
atmart_marches_HT.geojson,CC BY 4.0,attribution,Attribution des sources et d'Atmart Data.,SRC-011,PAM (WFP),catalogue PRD-009,
atmart_medias.json,CC BY 4.0,rien à imposer,"Aucune source n'impose de condition — décret haïtien du 12/10/2005, art. 5, ou domaine public. Atmart demande l'attribution pour son propre travail de rattachement et de calcul.",SRC-058,CONATEL — Conseil National des Télécommunications,déclarée dans le fichier,
atmart_medias_communes_HT.csv,CC BY 4.0,rien à imposer,"Aucune source n'impose de condition — décret haïtien du 12/10/2005, art. 5, ou domaine public. Atmart demande l'attribution pour son propre travail de rattachement et de calcul.",SRC-058,CONATEL — Conseil National des Télécommunications,déclarée dans le fichier,
atmart_medias_stations_HT.csv,CC BY 4.0,rien à imposer,"Aucune source n'impose de condition — décret haïtien du 12/10/2005, art. 5, ou domaine public. Atmart demande l'attribution pour son propre travail de rattachement et de calcul.",SRC-058,CONATEL — Conseil National des Télécommunications,déclarée dans le fichier,
atmart_menages_transferts.json,CC BY 4.0,attribution,Attribution des sources et d'Atmart Data.,SRC-064,FAO — Organisation des Nations unies pour l'alimentation et l'agriculture,déclarée dans le fichier,
atmart_menages_transferts_HT.csv,CC BY 4.0,attribution,Attribution des sources et d'Atmart Data.,SRC-064,FAO — Organisation des Nations unies pour l'alimentation et l'agriculture,déclarée dans le fichier,
atmart_millesimes_territoriaux.csv,CC BY 4.0,attribution,Attribution des sources et d'Atmart Data.,SRC-001,CNIGS / UN OCHA,catalogue colonne source en clair,
atmart_occupation_sol.json,CC BY 4.0,déclarée par le producteur,"Reprise verbatim de l'en-tête du fichier. Non calculée depuis le registre : le passeport cité n'a pas encore de source_id, donc la chaîne registre → fichier ne se ferme pas.",,© ESA WorldCover project 2021 / Contains modified Copernicus Sentinel data (2021) processed by ESA WorldCover consortium,licence déclarée dans l'en-tête,
atmart_occupation_sol_communes_HT.csv,CC BY 4.0,attribution,Attribution des sources et d'Atmart Data.,SRC-035,CNIGS via HaitiData (geoserver WFS),déclarée dans le fichier,
atmart_opinion_lapop.json,CC BY 4.0 — transformation ou citation,agrégat transformé seulement,"Le fichier source ne peut pas être redistribué. Celui-ci n'en est pas une copie : soit un agrégat substantiellement transformé, soit des valeurs citées avec attribution — deux usages que le producteur autorise, contrairement à la reprise du fichier.",SRC-067,"LAPOP Lab, Vanderbilt University — financé par l'USAID",déclarée dans le fichier,SRC-067 (agrégat transformé seulement)
atmart_opinion_lapop_HT.csv,CC BY 4.0 — transformation ou citation,agrégat transformé seulement,"Le fichier source ne peut pas être redistribué. Celui-ci n'en est pas une copie : soit un agrégat substantiellement transformé, soit des valeurs citées avec attribution — deux usages que le producteur autorise, contrairement à la reprise du fichier.",SRC-067,"LAPOP Lab, Vanderbilt University — financé par l'USAID",déclarée dans le fichier,SRC-067 (agrégat transformé seulement)
atmart_opinion_regions.json,CC BY 4.0 — transformation ou citation,agrégat transformé seulement,"Le fichier source ne peut pas être redistribué. Celui-ci n'en est pas une copie : soit un agrégat substantiellement transformé, soit des valeurs citées avec attribution — deux usages que le producteur autorise, contrairement à la reprise du fichier.",SRC-014,"LAPOP Lab / Center for Global Democracy, Vanderbilt University",déclarée dans le fichier,SRC-014 (agrégat transformé seulement)
atmart_opinion_regions_HT.csv,CC BY 4.0 — transformation ou citation,agrégat transformé seulement,"Le fichier source ne peut pas être redistribué. Celui-ci n'en est pas une copie : soit un agrégat substantiellement transformé, soit des valeurs citées avec attribution — deux usages que le producteur autorise, contrairement à la reprise du fichier.",SRC-014,"LAPOP Lab / Center for Global Democracy, Vanderbilt University",déclarée dans le fichier,SRC-014 (agrégat transformé seulement)
atmart_pluie_communes.json,Domaine public,déclarée par le producteur,"Reprise verbatim de l'en-tête du fichier. Non calculée depuis le registre : le passeport cité n'a pas encore de source_id, donc la chaîne registre → fichier ne se ferme pas.",,"CHIRPS 2.0 (Climate Hazards Center, UC Santa Barbara)",licence déclarée dans l'en-tête,
atmart_points_transfert.json,CC BY 4.0 — transformation ou citation,agrégat transformé seulement,"Le fichier source ne peut pas être redistribué. Celui-ci n'en est pas une copie : soit un agrégat substantiellement transformé, soit des valeurs citées avec attribution — deux usages que le producteur autorise, contrairement à la reprise du fichier.",SRC-065,CAM Transfer — maison de transfert agréée par la BRH,déclarée dans le fichier,SRC-065 (agrégat transformé seulement)
atmart_points_transfert_communes_HT.csv,CC BY 4.0 — transformation ou citation,agrégat transformé seulement,"Le fichier source ne peut pas être redistribué. Celui-ci n'en est pas une copie : soit un agrégat substantiellement transformé, soit des valeurs citées avec attribution — deux usages que le producteur autorise, contrairement à la reprise du fichier.",SRC-065,CAM Transfer — maison de transfert agréée par la BRH,déclarée dans le fichier,SRC-065 (agrégat transformé seulement)
atmart_population_modelisee.json,CC BY 4.0,déclarée par le producteur,"Reprise verbatim de l'en-tête du fichier. Non calculée depuis le registre : le passeport cité n'a pas encore de source_id, donc la chaîne registre → fichier ne se ferme pas.",,"WorldPop 2020, ajusté sur les projections des Nations unies",licence déclarée dans l'en-tête,
atmart_population_trois_sources.json,CC BY 4.0,attribution,Attribution des sources et d'Atmart Data.,SRC-003,IHSI,déclarée dans le fichier,
atmart_presence_organisations_HT.csv,CC BY 4.0,attribution,Attribution des sources et d'Atmart Data.,SRC-026,OCHA Haïti (via HDX),déclarée dans le fichier,
atmart_prix_denrees.json,CC BY 4.0,attribution,Attribution des sources et d'Atmart Data.,SRC-011,PAM (WFP),déclarée dans le fichier,
atmart_prix_denrees_marches_HT.csv,CC BY 4.0,attribution,Attribution des sources et d'Atmart Data.,SRC-011,PAM (WFP),déclarée dans le fichier,
atmart_prix_marches_HT.csv,CC BY 4.0,attribution,Attribution des sources et d'Atmart Data.,SRC-011,PAM (WFP),catalogue PRD-008,
atmart_professions_communes_HT.csv,CC BY 4.0 — transformation ou citation,agrégat transformé seulement,"Le fichier source ne peut pas être redistribué. Celui-ci n'en est pas une copie : soit un agrégat substantiellement transformé, soit des valeurs citées avec attribution — deux usages que le producteur autorise, contrairement à la reprise du fichier.",SRC-025,Compilation Perplexity.ai (multi-sources web),déclarée dans le fichier,SRC-025 (agrégat transformé seulement)
atmart_projets_national.json,CC BY 4.0,déclarée par le producteur,"Reprise verbatim de l'en-tête du fichier. Non calculée depuis le registre : le passeport cité n'a pas encore de source_id, donc la chaîne registre → fichier ne se ferme pas.",,Banque mondiale — API Projects & Operations,licence déclarée dans l'en-tête,
atmart_pyramide_ages_HT.csv,CC BY 4.0,attribution,Attribution des sources et d'Atmart Data.,SRC-013,UNFPA via OCHA HDX,catalogue PRD-007,
atmart_referentiel_indicateurs.csv,CC BY 4.0,attribution,Attribution des sources et d'Atmart Data.,SRC-024,MEF / Direction Générale du Budget (DGB),déclarée dans le fichier,
atmart_referentiel_indicateurs_i18n.csv,CC BY 4.0,attribution,Attribution des sources et d'Atmart Data.,SRC-ATM-001,Atmart Data,catalogue traductions Atmart,
atmart_referentiel_temps_HT.csv,CC BY 4.0,attribution,Attribution des sources et d'Atmart Data.,SRC-ATM-001,Atmart Data,catalogue calendrier Atmart,
atmart_referentiel_territoire_base_HT.csv,CC BY 4.0,attribution,Attribution des sources et d'Atmart Data.,SRC-001 SRC-002,CNIGS / UN OCHA ; GeoNames,catalogue referentiel CNIGS + GeoNames,
atmart_registre_marches_HT.csv,CC BY 4.0,attribution,Attribution des sources et d'Atmart Data.,SRC-011,PAM (WFP),déclarée dans le fichier,
atmart_registre_ong_HT.csv,CC BY 4.0,attribution,Attribution des sources et d'Atmart Data.,SRC-027,MPCE / UCAONG,déclarée dans le fichier,
atmart_registre_sources.csv,CC BY 4.0,attribution,Attribution des sources et d'Atmart Data.,SRC-ATM-001,Atmart Data,catalogue de sources,
atmart_renvois_us.json,CC BY 4.0,attribution,Attribution des sources et d'Atmart Data.,SRC-056,U.S. Department of Homeland Security — Office of Homeland Security Statistics (OHSS),déclarée dans le fichier,
atmart_renvois_us_annuel.csv,CC BY 4.0,attribution,Attribution des sources et d'Atmart Data.,SRC-056,U.S. Department of Homeland Security — Office of Homeland Security Statistics (OHSS),déclarée dans le fichier,
atmart_renvois_us_mensuel.csv,CC BY 4.0,attribution,Attribution des sources et d'Atmart Data.,SRC-056,U.S. Department of Homeland Security — Office of Homeland Security Statistics (OHSS),déclarée dans le fichier,
atmart_resultats_emmus.json,CC BY 4.0,attribution,Attribution des sources et d'Atmart Data.,SRC-066,"The DHS Program (ICF International), financé par l'USAID",déclarée dans le fichier,
atmart_resultats_emmus_HT.csv,CC BY 4.0,attribution,Attribution des sources et d'Atmart Data.,SRC-066,"The DHS Program (ICF International), financé par l'USAID",déclarée dans le fichier,
atmart_retours_forces.json,sous réserve,sous réserve,"Une source attend la réponse de son producteur. Publié, mais la licence de sortie n'est pas arrêtée.",SRC-055,"OIM — Displacement Tracking Matrix, avec l'Office National de la Migration (ONM) et le Groupe d'appui aux rapatriés et aux réfugiés (GARR)",déclarée dans le fichier,SRC-055 (sous réserve)
atmart_retours_forces_HT.csv,sous réserve,sous réserve,"Une source attend la réponse de son producteur. Publié, mais la licence de sortie n'est pas arrêtée.",SRC-055,"OIM — Displacement Tracking Matrix, avec l'Office National de la Migration (ONM) et le Groupe d'appui aux rapatriés et aux réfugiés (GARR)",déclarée dans le fichier,SRC-055 (sous réserve)
atmart_retours_forces_points_HT.csv,sous réserve,sous réserve,"Une source attend la réponse de son producteur. Publié, mais la licence de sortie n'est pas arrêtée.",SRC-055,"OIM — Displacement Tracking Matrix, avec l'Office National de la Migration (ONM) et le Groupe d'appui aux rapatriés et aux réfugiés (GARR)",déclarée dans le fichier,SRC-055 (sous réserve)
atmart_sante_declaree.json,CC BY 4.0,attribution,Attribution des sources et d'Atmart Data.,SRC-048,Ministère de la Santé publique et de la Population (MSPP),déclarée dans le fichier,
atmart_seismes_communes.json,Domaine public (USGS),déclarée par le producteur,"Reprise verbatim de l'en-tête du fichier. Non calculée depuis le registre : le passeport cité n'a pas encore de source_id, donc la chaîne registre → fichier ne se ferme pas.",,USGS ComCat,licence déclarée dans l'en-tête,
atmart_series_nationales.json,CC BY 4.0 — transformation ou citation,agrégat transformé seulement,"Le fichier source ne peut pas être redistribué. Celui-ci n'en est pas une copie : soit un agrégat substantiellement transformé, soit des valeurs citées avec attribution — deux usages que le producteur autorise, contrairement à la reprise du fichier.",SRC-015 SRC-COMTRADE SRC-FAOSTAT SRC-ILOSTAT,Banque mondiale ; Division de statistique des Nations unies (UNSD) ; FAO — Organisation des Nations unies pour l'alimentation et l'agriculture ; OIT — Organisation internationale du Travail,catalogue PRD-027,SRC-COMTRADE (agrégat transformé seulement) ; SRC-FAOSTAT (usage non commercial)
atmart_series_nationales_HT.csv,CC BY 4.0 — transformation ou citation,agrégat transformé seulement,"Le fichier source ne peut pas être redistribué. Celui-ci n'en est pas une copie : soit un agrégat substantiellement transformé, soit des valeurs citées avec attribution — deux usages que le producteur autorise, contrairement à la reprise du fichier.",SRC-015 SRC-COMTRADE SRC-FAOSTAT SRC-ILOSTAT,Banque mondiale ; Division de statistique des Nations unies (UNSD) ; FAO — Organisation des Nations unies pour l'alimentation et l'agriculture ; OIT — Organisation internationale du Travail,déclarée dans le fichier,SRC-COMTRADE (agrégat transformé seulement) ; SRC-FAOSTAT (usage non commercial)
atmart_solaire_communes.json,CC BY 4.0,déclarée par le producteur,"Reprise verbatim de l'en-tête du fichier. Non calculée depuis le registre : le passeport cité n'a pas encore de source_id, donc la chaîne registre → fichier ne se ferme pas.",,Global Solar Atlas 2.0 (ESMAP / Banque mondiale / Solargis),licence déclarée dans l'en-tête,
